interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,date,observations,mean_price_spread_gb_minus_zone,mean_signed_mw,mean_signed_pct_capacity,mean_abs_price_spread,mean_abs_signed_mw,import_share_pct,export_share_pct,aligned_share_pct
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-24 00:00:00+00:00,2,-18.72999999999999,0.0,0.0,18.72999999999999,0.0,0.0,0.0,0.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-25 00:00:00+00:00,48,-50.26958333333334,-467.375,-37.09325396825397,50.26958333333334,467.375,0.0,58.333333333333336,58.333333333333336
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-26 00:00:00+00:00,48,-32.30583333333333,-782.5833333333334,-62.109788359788354,32.65416666666666,782.5833333333334,0.0,100.0,91.66666666666666
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-27 00:00:00+00:00,48,-40.513749999999995,-788.5416666666666,-62.58267195767195,40.694583333333334,788.5416666666666,0.0,100.0,91.66666666666666
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-28 00:00:00+00:00,48,-11.467083333333335,-514.0416666666666,-40.79695767195767,14.982916666666668,550.2916666666666,8.333333333333332,91.66666666666666,79.16666666666666
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-29 00:00:00+00:00,48,12.29458333333333,316.0833333333333,25.085978835978835,16.542083333333334,349.75,70.83333333333334,6.25,66.66666666666666
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-30 00:00:00+00:00,48,-12.584999999999999,-284.3333333333333,-22.566137566137566,14.058333333333332,285.6666666666667,6.25,56.25,52.083333333333336
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-05-31 00:00:00+00:00,48,-8.897916666666669,-492.5416666666667,-39.09060846560846,13.64625,492.5416666666667,0.0,100.0,58.333333333333336
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-01 00:00:00+00:00,48,-16.817916666666665,-489.7916666666667,-38.8723544973545,16.817916666666665,489.7916666666667,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-02 00:00:00+00:00,48,-20.167916666666667,-856.875,-68.00595238095238,20.240416666666665,856.875,0.0,100.0,95.83333333333334
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-03 00:00:00+00:00,48,-56.98791666666667,-900.5416666666666,-71.47156084656085,57.27208333333334,900.5416666666666,0.0,100.0,95.83333333333334
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-04 00:00:00+00:00,48,-22.856666666666666,-881.7083333333334,-69.97685185185185,22.856666666666666,881.7083333333334,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-05 00:00:00+00:00,48,-3.5437500000000015,-475.75,-37.757936507936506,10.959583333333327,560.6666666666666,16.666666666666664,83.33333333333334,58.333333333333336
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-06 00:00:00+00:00,48,7.282083333333333,-213.58333333333334,-16.9510582010582,19.531250000000004,228.33333333333334,12.5,87.5,58.333333333333336
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-07 00:00:00+00:00,48,-3.8995833333333336,-457.3333333333333,-36.2962962962963,7.606250000000002,457.3333333333333,0.0,93.75,54.166666666666664
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-08 00:00:00+00:00,48,-37.99,-907.0833333333334,-71.99074074074073,37.99,907.0833333333334,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-09 00:00:00+00:00,48,-44.857916666666675,-899.375,-71.37896825396825,44.857916666666675,899.375,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-10 00:00:00+00:00,48,-73.31875000000001,-805.1666666666666,-63.9021164021164,73.31875000000001,805.1666666666666,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-11 00:00:00+00:00,48,-118.19083333333333,-791.6666666666666,-62.83068783068782,118.19083333333333,791.6666666666666,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-12 00:00:00+00:00,48,-20.25208333333333,-569.5,-45.19841269841269,27.129583333333333,569.5,0.0,81.25,60.416666666666664
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-13 00:00:00+00:00,48,-32.6,-599.8333333333334,-47.6058201058201,32.725833333333334,599.8333333333334,0.0,72.91666666666666,68.75
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-14 00:00:00+00:00,48,-26.733749999999997,-865.5,-68.69047619047619,26.733749999999997,865.5,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-15 00:00:00+00:00,48,-42.846666666666664,-898.0833333333334,-71.27645502645503,42.846666666666664,898.0833333333334,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-16 00:00:00+00:00,48,-60.07333333333333,-872.0,-69.2063492063492,60.07333333333333,872.0,0.0,100.0,100.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2022-06-17 00:00:00+00:00,48,-71.49583333333332,-795.8333333333334,-63.16137566137565,73.1475,795.8333333333334,0.0,100.0,95.83333333333334
