interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,spread_leads_flow_hours,observations,pearson_spread_vs_signed_mw,spearman_spread_vs_signed_mw
INTIRL,Northern Ireland(Moyle),IRELAND,IRL,6,87602,0.15418570170275922,0.16504711289469043
INTIRL,Northern Ireland(Moyle),IRELAND,IRL,12,87590,0.1691056018912655,0.16967172814326098
INTIRL,Northern Ireland(Moyle),IRELAND,IRL,24,87566,0.19787384701686697,0.21908504210521237
INTNED,Netherlands(BritNed),NETHERLANDS,NL,-24,87566,0.3177690714996385,0.4692313965796625
INTNED,Netherlands(BritNed),NETHERLANDS,NL,-12,87590,0.10541353238993433,0.15040421280046265
INTNED,Netherlands(BritNed),NETHERLANDS,NL,-6,87602,0.1663710846916309,0.2431525537040482
INTNED,Netherlands(BritNed),NETHERLANDS,NL,-3,87608,0.31794586469625497,0.46321327836044573
INTNED,Netherlands(BritNed),NETHERLANDS,NL,-1,87612,0.41226676629506415,0.6449133871646625
INTNED,Netherlands(BritNed),NETHERLANDS,NL,0,87614,0.4289439878522591,0.6905072188305023
INTNED,Netherlands(BritNed),NETHERLANDS,NL,1,87612,0.4070215628937116,0.6457176916396892
INTNED,Netherlands(BritNed),NETHERLANDS,NL,3,87608,0.31761996037119494,0.471080459358029
INTNED,Netherlands(BritNed),NETHERLANDS,NL,6,87602,0.20024454931035873,0.27514806429477434
INTNED,Netherlands(BritNed),NETHERLANDS,NL,12,87590,0.09970994451025614,0.1522146514153069
INTNED,Netherlands(BritNed),NETHERLANDS,NL,24,87566,0.3224598221435062,0.47779481467543095
INTNEM,Belgium (Nemolink),BELGIUM,B,-24,87566,0.33543394052818803,0.47805618949880874
INTNEM,Belgium (Nemolink),BELGIUM,B,-12,87590,0.17665437425532252,0.2399606214527192
INTNEM,Belgium (Nemolink),BELGIUM,B,-6,87602,0.25718451406853665,0.35726257887024965
INTNEM,Belgium (Nemolink),BELGIUM,B,-3,87608,0.36564571958069275,0.5318986937386905
INTNEM,Belgium (Nemolink),BELGIUM,B,-1,87612,0.4401808937347,0.6832647435152208
INTNEM,Belgium (Nemolink),BELGIUM,B,0,87614,0.45732247312709,0.7271368223894612
