interconnectorId,interconnectorName,interconnectorBiddingZone,price_zone_code,spread_quantile_order,spread_quantile_band,observations,min_price_spread,max_price_spread,mean_price_spread_gb_minus_zone,mean_signed_mw,mean_signed_pct_capacity,import_share_pct,export_share_pct,aligned_share_pct,counter_price_share_pct,duration_hours
INTELEC,Eleclink (INTELEC),FRANCE,FR,1,"(-498.381, -20.003]",7190,-498.38,-20.00999999999999,-87.63825869262864,-758.7821974965229,-60.22080932512087,2.433936022253129,85.0904033379694,85.0904033379694,2.433936022253129,3595.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,2,"(-20.003, -4.47]",7196,-20.0,-4.469999999999999,-9.71372984991662,-112.48916064480267,-8.927711162285926,37.34018899388549,49.708171206225686,49.708171206225686,37.34018899388549,3598.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,3,"(-4.47, 0.77]",7184,-4.460000000000008,0.769999999999996,-1.6197703229398661,252.6890311804009,20.054685014317528,64.5740534521158,24.37360801781737,15.924276169265033,37.639198218262806,3592.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,4,"(0.77, 5.05]",7192,0.7700000000000031,5.050000000000011,2.866012235817575,414.7091212458287,32.913422321097514,74.49944382647385,14.363181312569523,70.87041156840934,13.445494994438265,3596.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,5,"(5.05, 10.32]",7200,5.059999999999988,10.319999999999993,7.61171388888889,562.7144444444444,44.659876543209876,81.23611111111111,7.430555555555555,81.23611111111111,7.430555555555555,3600.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,6,"(10.32, 18.48]",7178,10.32,18.480000000000004,14.105243800501533,684.03204235163,54.28825732949444,82.41850097520201,4.876010030649206,82.41850097520201,4.876010030649206,3589.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,7,"(18.48, 32.629]",7188,18.480000000000018,32.620000000000005,24.928277685030604,756.1371730662215,60.010886751287416,82.12298274902615,4.062326099053979,82.12298274902615,4.062326099053979,3594.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,8,"(32.629, 51.98]",7194,32.629999999999995,51.980000000000004,41.858696135668616,809.2062830136225,64.22272087409702,84.5148735056992,2.9886016124548234,84.5148735056992,2.9886016124548234,3597.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,9,"(51.98, 75.383]",7186,52.000000000000014,75.38000000000001,63.344500417478436,843.3626495964376,66.93354361876489,86.43195101586419,1.4611745059838577,86.43195101586419,1.4611745059838577,3593.0
INTELEC,Eleclink (INTELEC),FRANCE,FR,10,"(75.383, 1544.71]",7190,75.38999999999999,1544.71,98.72823643949931,842.744645340751,66.88449566196437,86.105702364395,0.8623087621696801,86.105702364395,0.8623087621696801,3595.0
INTEW,Ireland(East-West),IRELAND,IRL,1,"(-340.45099999999996, -69.01]",8762,-340.45,-69.01000000000002,-106.95775279616525,-215.8806208628167,-36.714391303200124,11.92650079890436,61.35585482766491,61.35585482766491,11.92650079890436,4381.0
INTEW,Ireland(East-West),IRELAND,IRL,2,"(-69.01, -42.62]",8762,-69.01,-42.620000000000005,-54.69129879023054,-201.9411093357681,-34.343726077511576,12.040629993152248,58.662405843414746,58.662405843414746,12.040629993152248,4381.0
INTEW,Ireland(East-West),IRELAND,IRL,3,"(-42.62, -27.16]",8761,-42.61999999999999,-27.159999999999997,-34.14415820111859,-190.46044972035156,-32.391232945638016,12.521401666476429,57.96141992923183,57.96141992923183,12.521401666476429,4380.5
INTEW,Ireland(East-West),IRELAND,IRL,4,"(-27.16, -17.32]",8766,-27.150000000000034,-17.319999999999993,-21.93564681724846,-184.87565594341774,-31.441438085615268,12.44581336983801,58.39607574720511,58.39607574720511,12.44581336983801,4383.0
INTEW,Ireland(East-West),IRELAND,IRL,5,"(-17.32, -10.07]",8758,-17.310000000000002,-10.070000000000007,-13.478391185202101,-185.61361041333637,-31.566940546485775,11.144096825759306,57.86709294359442,57.86709294359442,11.144096825759306,4379.0
INTEW,Ireland(East-West),IRELAND,IRL,6,"(-10.07, -4.022]",8759,-10.069999999999993,-4.029999999999999,-7.018244091791301,-180.4486813563192,-30.688551251074696,9.921223884005023,57.71206758762416,57.71206758762416,9.921223884005023,4379.5
INTEW,Ireland(East-West),IRELAND,IRL,7,"(-4.022, 2.68]",8772,-4.02000000000001,2.680000000000007,-0.8414717282261742,-158.6657546739626,-26.983971883326976,12.232102143182855,54.61696306429549,30.939352485180116,17.350661194710444,4386.0
INTEW,Ireland(East-West),IRELAND,IRL,8,"(2.68, 13.21]",8752,2.6899999999999977,13.209999999999994,7.386475091407679,-128.98423217550274,-21.936093907398426,16.830438756855575,49.55438756855576,16.830438756855575,49.55438756855576,4376.0
INTEW,Ireland(East-West),IRELAND,IRL,9,"(13.21, 38.98]",8761,13.210000000000008,38.98,23.780034242666364,-65.36491268120078,-11.116481748503535,26.66362287410113,41.85595251683598,26.66362287410113,41.85595251683598,4380.5
INTEW,Ireland(East-West),IRELAND,IRL,10,"(38.98, 2200.91]",8761,38.989999999999995,2200.91,96.87501312635544,35.26812007761671,5.997979605036854,42.906060951946124,30.487387284556554,42.906060951946124,30.487387284556554,4380.5
INTFR,France(IFA),FRANCE,FR,1,"(-2782.9210000000003, -26.547]",8762,-2782.92,-26.549999999999983,-88.19625656242867,-667.0835425701895,-25.36439325361937,4.462451495092445,84.26158411321616,84.26158411321616,4.462451495092445,4381.0
INTFR,France(IFA),FRANCE,FR,2,"(-26.547, -6.22]",8761,-26.54000000000002,-6.220000000000006,-13.441051249857322,-263.1014724346536,-10.003858267477321,31.73153749571967,65.12955142107066,65.12955142107066,31.73153749571967,4380.5
INTFR,France(IFA),FRANCE,FR,3,"(-6.22, -0.07]",8764,-6.220000000000002,-0.06999999999999318,-2.897299178457325,307.69831127339114,11.699555561725898,62.11775445002282,36.03377453217709,30.956184390689184,49.372432679141944,4382.0
INTFR,France(IFA),FRANCE,FR,4,"(-0.07, 4.57]",8768,-0.060000000000002274,4.569999999999993,2.21571852189781,698.0796076642335,26.54295086175793,78.93476277372264,19.57116788321168,61.849908759124084,14.051094890510948,4384.0
INTFR,France(IFA),FRANCE,FR,5,"(4.57, 10.125]",8752,4.570000000000007,10.120000000000005,7.242510283363802,944.1848720292504,35.900565476397354,86.28884826325411,11.825868372943326,86.28884826325411,11.825868372943326,4376.0
INTFR,France(IFA),FRANCE,FR,6,"(10.125, 18.21]",8763,10.129999999999995,18.21,13.829352961314617,1097.324432272053,41.72336244380429,88.74814561223326,8.695652173913043,88.74814561223326,8.695652173913043,4381.5
INTFR,France(IFA),FRANCE,FR,7,"(18.21, 31.671]",8760,18.210000000000008,31.67000000000001,24.36217579908676,1203.6449771689497,45.765968713648284,90.31963470319636,6.061643835616438,90.31963470319636,6.061643835616438,4380.0
INTFR,France(IFA),FRANCE,FR,8,"(31.671, 50.2]",8762,31.679999999999993,50.19999999999999,40.54792969641635,1274.4731796393517,48.4590562600514,93.72289431636612,3.2755078749144033,93.72289431636612,3.2755078749144033,4381.0
INTFR,France(IFA),FRANCE,FR,9,"(50.2, 74.68]",8763,50.199999999999996,74.68,61.982155654456236,1309.6642702270913,49.79712054095404,95.54946935980828,1.175396553691658,95.54946935980828,1.175396553691658,4381.5
INTFR,France(IFA),FRANCE,FR,10,"(74.68, 2385.91]",8759,74.69,2385.91,110.22494805343075,1265.013586025802,48.09937589451719,94.54275602237698,0.9133462724055257,94.54275602237698,0.9133462724055257,4379.5
INTGRNL,Ireland (Greenlink),IRELAND,IRL,1,"(-291.171, -76.621]",2482,-291.17,-76.63,-113.17543110394843,-334.4302981466559,-64.56183361904554,14.42385173247381,82.55439161966156,82.55439161966156,14.42385173247381,1241.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,2,"(-76.621, -48.52]",2482,-76.60000000000001,-48.52000000000001,-61.34643835616438,-335.96776792908946,-64.85864245735317,14.826752618855762,80.98307816277196,80.98307816277196,14.826752618855762,1241.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,3,"(-48.52, -30.652]",2480,-48.49999999999999,-30.67,-38.97742741935484,-353.94112903225806,-68.32840328808071,13.024193548387098,84.67741935483872,84.67741935483872,13.024193548387098,1240.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,4,"(-30.652, -19.056]",2482,-30.650000000000006,-19.060000000000002,-24.469298952457695,-338.32473811442384,-65.31365600664553,14.5044319097502,83.1587429492345,83.1587429492345,14.5044319097502,1241.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,5,"(-19.056, -11.57]",2484,-19.040000000000006,-11.569999999999993,-15.000450885668277,-334.1384863123994,-64.50549928810798,13.526570048309178,83.29307568438004,83.29307568438004,13.526570048309178,1242.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,6,"(-11.57, -6.152]",2478,-11.560000000000002,-6.159999999999997,-8.794455205811138,-339.82485875706215,-65.60325458630543,13.11541565778854,83.81759483454398,83.81759483454398,13.11541565778854,1239.0
INTGRNL,Ireland (Greenlink),IRELAND,IRL,7,"(-6.152, -1.22]",2488,-6.150000000000006,-1.2199999999999989,-3.678143086816721,-356.9855305466238,-68.9161255881513,11.655948553054662,85.73151125401928,85.73151125401928,11.655948553054662,1244.0
