interconnectorId,interconnectorName,flow_band_pct_capacity,observations,duration_hours,duration_share_pct
INTNED,Netherlands(BritNed),import_25_50pct_capacity,10993,5496.5,12.54708151665259
INTNED,Netherlands(BritNed),import_50_75pct_capacity,28154,14077.0,32.1341338142306
INTNED,Netherlands(BritNed),import_gt_75pct_capacity,4242,2121.0,4.841691967037232
INTNEM,Belgium (Nemolink),export_gt_75pct_capacity,34,17.0,0.03880658342274066
INTNEM,Belgium (Nemolink),export_50_75pct_capacity,10548,5274.0,12.039171821854955
INTNEM,Belgium (Nemolink),export_25_50pct_capacity,6429,3214.5,7.337868377199991
INTNEM,Belgium (Nemolink),export_5_25pct_capacity,6499,3249.5,7.41776428424681
INTNEM,Belgium (Nemolink),near_zero_abs_le_5pct_capacity,5868,2934.0,6.69755975072477
INTNEM,Belgium (Nemolink),import_5_25pct_capacity,8468,4234.0,9.665122012463762
INTNEM,Belgium (Nemolink),import_25_50pct_capacity,12493,6246.5,14.259136667655852
INTNEM,Belgium (Nemolink),import_50_75pct_capacity,37271,18635.5,42.540005022028446
INTNEM,Belgium (Nemolink),import_gt_75pct_capacity,4,2.0,0.004565480402675372
INTNSL,North Sea Link (INTNSL),export_gt_75pct_capacity,1117,558.5,1.3433230710025013
INTNSL,North Sea Link (INTNSL),export_50_75pct_capacity,2922,1461.0,3.5140465653261495
INTNSL,North Sea Link (INTNSL),export_25_50pct_capacity,3689,1844.5,4.436453723301905
INTNSL,North Sea Link (INTNSL),export_5_25pct_capacity,2778,1389.0,3.340869732538003
INTNSL,North Sea Link (INTNSL),near_zero_abs_le_5pct_capacity,5989,2994.5,7.202472580334808
INTNSL,North Sea Link (INTNSL),import_5_25pct_capacity,3899,1949.5,4.689003271117953
INTNSL,North Sea Link (INTNSL),import_25_50pct_capacity,14270,7135.0,17.161343082547624
INTNSL,North Sea Link (INTNSL),import_50_75pct_capacity,17013,8506.5,20.460121223782952
INTNSL,North Sea Link (INTNSL),import_gt_75pct_capacity,31475,15737.5,37.852366750048105
INTVKL,Denmark (Viking link),export_gt_75pct_capacity,0,0.0,0.0
INTVKL,Denmark (Viking link),export_50_75pct_capacity,492,246.0,1.1214953271028036
INTVKL,Denmark (Viking link),export_25_50pct_capacity,7665,3832.5,17.47207658992478
INTVKL,Denmark (Viking link),export_5_25pct_capacity,4541,2270.5,10.351037155231365
INTVKL,Denmark (Viking link),near_zero_abs_le_5pct_capacity,5561,2780.5,12.676088443127423
INTVKL,Denmark (Viking link),import_5_25pct_capacity,5196,2598.0,11.844084795988147
INTVKL,Denmark (Viking link),import_25_50pct_capacity,13160,6580.0,29.997720537953043
INTVKL,Denmark (Viking link),import_50_75pct_capacity,7253,3626.5,16.532938226578526
INTVKL,Denmark (Viking link),import_gt_75pct_capacity,2,1.0,0.0045589240939138366
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_gt_75pct_capacity,0,0.0,0.0
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_50_75pct_capacity,7,3.5,0.007986673664514068
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_25_50pct_capacity,4083,2041.5,4.658512653172991
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_5_25pct_capacity,11002,5501.0,12.552769093854826
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,near_zero_abs_le_5pct_capacity,8865,4432.5,10.114551719416745
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_5_25pct_capacity,26941,13470.5,30.738425027953358
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_25_50pct_capacity,34755,17377.5,39.65383474431235
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_50_75pct_capacity,1993,996.5,2.2739200876252195
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_gt_75pct_capacity,0,0.0,0.0
