interconnectorId_a,interconnectorId_b,common_half_hours,same_direction_share_pct,opposite_direction_share_pct,near_zero_involved_share_pct,both_import_share_pct,both_export_share_pct,a_import_b_export_share_pct,a_export_b_import_share_pct
INTELEC,INTEW,71898,12.058749895685555,50.99585523936688,36.945394864947566,5.143397591031739,6.9153523046538155,43.266850260090685,7.729004979276197
INTELEC,INTFR,71898,79.79359648390776,6.1448162674900555,14.061587248602187,65.16592951125205,14.627666972655707,2.7928454199004147,3.351970847589641
INTELEC,INTGRNL,24814,13.750302248730556,77.01297654549852,9.236721205770936,11.747400660917224,2.0029015878133314,75.60248246957363,1.4104940759248812
INTELEC,INTIFA2,71898,71.53467412167237,16.10615037970458,12.359175498623049,54.02236501710757,17.5123091045648,14.117221619516537,1.9889287601880443
INTELEC,INTIRL,71898,17.314807087818853,64.01568889259785,18.6695040195833,8.549611950262873,8.765195137555983,55.17816907285321,8.837519819744639
INTELEC,INTNED,71898,49.56048846977662,30.817268908731815,19.622242621491555,39.79665637430805,9.76383209546858,22.344154218476177,8.47311469025564
INTELEC,INTNEM,71898,62.6206570419205,22.66544271050655,14.71390024757295,50.64535870260647,11.975298339314028,16.23550029208045,6.429942418426103
INTELEC,INTNSL,71898,65.6708114272998,20.24117499791371,14.088013574786503,58.78327630810315,6.88753511919664,7.790202787281983,12.450972210631727
INTELEC,INTVKL,43870,48.96740369272852,28.308639161157966,22.723957146113516,47.1164805105995,1.8509231821290175,26.015500341919306,2.2931388192386595
INTEW,INTFR,87614,14.309356952085285,53.06343735019517,32.62720569771954,7.11073572716689,7.198621224918392,8.592234117835048,44.471203232360125
INTEW,INTGRNL,24814,52.63560893044249,2.462319658257435,44.90207141130007,3.7801241234786813,48.85548480696381,0.9833158700733458,1.4790037881840896
INTEW,INTIFA2,87614,22.728102814618666,46.939986760106834,30.3319104252745,6.3688451617321435,16.359257652886523,10.478918894240646,36.461067865866184
INTEW,INTIRL,87614,64.25114707695117,2.5692240966055655,33.17962882644326,14.237450635743146,50.01369644120802,1.4004611135206702,1.1687629830848951
INTEW,INTNED,87614,23.27710183304038,39.154701303444654,37.56819686351496,9.030520236491885,14.246581596548497,6.600543292167918,32.55415801127673
INTEW,INTNEM,87614,20.70445362613281,47.40452439107905,31.891021982788136,9.000844613874495,11.703609012258315,7.414340173944803,39.99018421713425
INTEW,INTNSL,83152,18.018808928227823,50.167163748316334,31.81402732345584,12.350875505099095,5.667933423128728,4.529055224167789,45.63810852414855
INTEW,INTVKL,43870,21.388192386596764,43.35764759516754,35.254160018235694,3.4739001595623433,17.91429222703442,2.6031456576248004,40.75450193754274
INTFR,INTGRNL,24814,15.652454259692108,81.25654872249537,3.0909970178125254,12.182638832916902,3.4698154267752073,79.40678649149675,1.84976223099863
INTFR,INTIFA2,87614,79.24190197913575,17.03152464218047,3.726573378683772,57.681420777501316,21.560481201634442,14.919989955943114,2.111534686237359
INTFR,INTIRL,87614,21.603853265459858,68.81434473942521,9.581801995114937,11.30412947702422,10.299723788435639,57.17921793320703,11.635126806218183
