interconnectorId,day_of_week,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw,mean_export_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity_when_importing,mean_export_pct_active_capacity_when_exporting,mean_available_interconnector_count,mean_missing_interconnector_count,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw,primary_state,primary_state_share_pct,import_export_margin_pct,abs_import_export_margin_pct,direction_bias,mostly_direction,day_name
INTIFA2,1,IFA2 (INTIFA2),FRANCE,1626,2021-07-06 00:00:00+00:00,2026-06-30 22:30:00+00:00,12519,87406,74887,14.322815367366085,6259.5,7408,5105,6,59.174055435737685,40.77801741353143,0.04792715073088905,import,291.2114386133078,420.0,-1028.0,-6.0,992.0,992.0,464.3076923076923,173.09625369438453,784.6474082073435,424.4842311459354,1398.0,1030.0,1398.0,1028.0,17.909682571544142,25.830258302583026,-63.22263222632226,61.00861008610086,48.256298167733284,26.106041275887787,85.97785977859779,63.22263222632226,,,,,,,2906.334,1083.4959999999999,1822.838,3989.83,352,5.799210571477604,64.75756849588625,9.305855100247623,0.0,0.04792715073088905,9.257927949516736,0.5,1.0,import,59.174055435737685,18.396038022206255,18.396038022206255,import,mostly_import,Tuesday
INTIFA2,2,IFA2 (INTIFA2),FRANCE,1626,2021-07-07 00:00:00+00:00,2026-06-24 23:30:00+00:00,12477,87072,74595,14.329520396912901,6238.5,7197,5268,12,57.68213512863669,42.22168790574658,0.09617696561673479,import,260.9228179850926,348.0,-1028.0,-30.0,990.0,992.0,446.0575458844273,185.13472789933476,773.3027650409894,438.4825360668185,996.0,1030.0,1030.0,1028.0,16.046913775220943,21.40221402214022,-63.22263222632226,61.00861008610086,47.5585956359772,26.966945637565715,63.34563345633456,63.22263222632226,,,,,,,2782.73,1154.9630000000002,1627.7670000000003,3937.693,340,5.622997324022924,64.35841949186502,10.547407229301916,0.0,0.0,10.547407229301916,1.5,1.0,import,57.68213512863669,15.46044722289011,15.46044722289011,import,mostly_import,Wednesday
INTIFA2,3,IFA2 (INTIFA2),FRANCE,1626,2021-07-01 00:00:00+00:00,2026-06-25 23:30:00+00:00,12522,87408,74886,14.325919824272379,6261.0,7390,5123,9,59.01613160836927,40.911994888995366,0.07187350263536176,import,295.67049992014057,394.0,-1028.0,-4.0,990.0,992.0,461.15748283021884,165.48698291007827,781.409201623816,404.4950224477845,1156.0,1626.0,1626.0,1028.0,18.183917584264485,24.231242312423124,-63.22263222632226,61.00861008610086,48.05714647132939,24.876692647465223,100.0,63.22263222632226,,,,,,,2887.3070000000002,1036.114,1851.1930000000002,3923.4210000000003,365,6.013248366835608,63.536176329659796,9.08001916626737,0.007985944737262418,0.023957834211787255,9.056061332055581,1.0,1.0,import,59.01613160836927,18.104136719373905,18.104136719373905,import,mostly_import,Thursday
INTIFA2,4,IFA2 (INTIFA2),FRANCE,1626,2021-07-02 00:00:00+00:00,2026-06-26 23:30:00+00:00,12525,87408,74883,14.32935200439319,6262.5,7518,4992,15,60.02395209580838,39.8562874251497,0.11976047904191617,import,307.4214770459082,426.0,-1028.0,-4.0,990.0,992.0,469.1774850299401,161.75600798403192,781.6504389465283,405.84815705128204,994.0,1030.0,1030.0,1028.0,18.906609904422396,26.199261992619927,-63.22263222632226,61.00861008610086,48.07198271503864,24.959911257766425,63.34563345633456,63.22263222632226,,,,,,,2938.2240000000006,1012.997,1925.227,3951.2210000000005,343,5.650805999519489,64.1996007984032,9.317365269461078,0.0,0.0,9.317365269461078,1.5,1.0,import,60.02395209580838,20.16766467065868,20.16766467065868,import,mostly_import,Friday
INTIFA2,5,IFA2 (INTIFA2),FRANCE,1626,2021-07-03 00:00:00+00:00,2026-06-27 23:30:00+00:00,12522,87408,74886,14.325919824272379,6261.0,8255,4259,8,65.92397380610126,34.012138636000635,0.06388755789809934,import,391.20843315764256,652.0,-1028.0,-4.0,992.0,992.0,524.5618910717138,133.35345791407124,795.7073288915809,392.07607419582064,994.0,1030.0,1030.0,1028.0,24.05955923478736,40.09840098400984,-63.22263222632226,61.00861008610086,48.936490091733134,24.112919692239892,63.34563345633456,63.22263222632226,,,,,,,3284.282,834.926,2449.356,4119.2080000000005,329,5.420160856681958,67.13783740616515,6.891870308257467,0.0,0.0,6.891870308257467,1.0,1.0,import,65.92397380610126,31.911835170100623,31.911835170100623,import,mostly_import,Saturday
INTIFA2,6,IFA2 (INTIFA2),FRANCE,1626,2021-07-04 00:00:00+00:00,2026-06-28 23:30:00+00:00,12525,87408,74883,14.32935200439319,6262.5,8560,3960,5,68.3433133732535,31.616766467065872,0.03992015968063872,import,430.0228343313373,708.0,-996.0,-4.0,992.0,992.0,551.5337325349301,121.51089820359282,807.0046728971963,384.3242424242424,994.0,1030.0,1030.0,996.0,26.44666877806502,43.542435424354245,-61.254612546125465,61.00861008610086,49.63128369601453,23.636177270863623,63.34563345633456,61.254612546125465,,,,,,,3453.98,760.962,2693.018,4214.942,312,5.140091754664958,69.24550898203593,4.910179640718563,0.0,0.0,4.910179640718563,0.5,1.0,import,68.3433133732535,36.72654690618762,36.72654690618762,import,mostly_import,Sunday
INTIRL,0,Northern Ireland(Moyle),IRELAND,682,2021-07-05 00:00:00+00:00,2026-06-29 23:30:00+00:00,12524,87408,74884,14.328207944352918,6262.0,2927,8817,780,23.371127435324176,70.4008304056212,6.228042159054615,export,-188.11338230597252,-282.0,-452.0,-450.0,0.0,364.0,50.00574896199297,238.1191312679655,213.963785445849,338.2334127254168,500.0,456.0,500.0,452.0,-27.5826073762423,-41.348973607038126,-66.27565982404691,53.3724340175953,31.372989068306303,49.59434204184996,73.31378299120234,66.27565982404691,,,,,,,313.13599999999997,1491.102,-1177.9660000000001,1804.2379999999998,551,9.077533835962795,0.02395400830405621,0.0,0.0,0.0,0.0,60.5,1.0,export,70.4008304056212,-47.02970297029703,47.02970297029703,export,mostly_export,Monday
INTIRL,1,Northern Ireland(Moyle),IRELAND,682,2021-07-06 00:00:00+00:00,2026-06-30 22:30:00+00:00,12519,87406,74887,14.322815367366085,6259.5,3038,8707,774,24.267113986740156,69.55028356897516,6.182602444284687,export,-188.17317677130762,-286.0,-452.0,-452.0,0.0,350.0,51.701573608115666,239.8747503794233,213.05200789993415,344.893993338693,498.0,592.0,592.0,452.0,-27.591374893153606,-41.935483870967744,-66.27565982404691,51.31964809384164,31.239297346031403,50.57096676520425,86.80351906158357,66.27565982404691,,,,,,,323.626,1501.496,-1177.87,1825.1219999999998,535,8.814141067444654,0.01597571691029635,0.0,0.0,0.0,0.0,57.0,1.0,export,69.55028356897516,-45.283169582235004,45.283169582235004,export,mostly_export,Tuesday
INTIRL,2,Northern Ireland(Moyle),IRELAND,682,2021-07-07 00:00:00+00:00,2026-06-24 23:30:00+00:00,12477,87072,74595,14.329520396912901,6238.5,3145,8706,626,25.206379738719242,69.7763885549411,5.017231706339665,export,-179.93075258475596,-262.0,-452.0,-450.0,8.0,384.0,55.69928668750501,235.63003927226097,220.97297297297297,337.693085228578,494.0,456.0,494.0,452.0,-26.382808296885035,-38.41642228739003,-66.27565982404691,56.30498533724341,32.40072917492272,49.515115136155124,72.43401759530792,66.27565982404691,,,,,,,347.48,1469.978,-1122.498,1817.458,550,9.096025082978258,0.0,0.0,0.0,0.0,0.0,34.0,1.0,export,69.7763885549411,-44.57000881622185,44.57000881622185,export,mostly_export,Wednesday
INTIRL,3,Northern Ireland(Moyle),IRELAND,682,2021-07-01 00:00:00+00:00,2026-06-25 23:30:00+00:00,12522,87408,74886,14.325919824272379,6261.0,3140,8563,819,25.075866475003995,68.38364478517809,6.540488739817921,export,-171.3427567481233,-250.0,-452.0,-450.0,3.5,372.0,53.86360006388756,225.20635681201085,214.80254777070064,329.327805675581,682.0,506.0,682.0,452.0,-25.123571370692567,-36.65689149560117,-66.27565982404691,54.54545454545454,31.49597474643705,48.288534556536796,100.0,66.27565982404691,,,,,,,337.24,1410.017,-1072.777,1747.257,590,9.720045305295914,0.05590161316083692,0.0,0.0,0.0,0.0,34.5,1.0,export,68.38364478517809,-43.3077783101741,43.3077783101741,export,mostly_export,Thursday
