interconnectorId,interconnectorName,flow_band_mw,observations,duration_hours,duration_share_pct
INTNED,Netherlands(BritNed),import_1000_1500_mw,18735,9367.5,21.383568836030772
INTNED,Netherlands(BritNed),import_gt_1500_mw,0,0.0,0.0
INTNEM,Belgium (Nemolink),export_gt_1500_mw,0,0.0,0.0
INTNEM,Belgium (Nemolink),export_1000_1500_mw,4409,2204.5,5.032300773848928
INTNEM,Belgium (Nemolink),export_500_1000_mw,9391,4695.5,10.718606615381104
INTNEM,Belgium (Nemolink),export_250_500_mw,5311,2655.5,6.061816604652225
INTNEM,Belgium (Nemolink),export_50_250_mw,4976,2488.0,5.6794576209281615
INTNEM,Belgium (Nemolink),near_zero_abs_le_50_mw,4751,2375.5,5.422649348277672
INTNEM,Belgium (Nemolink),import_50_250_mw,6149,3074.5,7.018284749012715
INTNEM,Belgium (Nemolink),import_250_500_mw,8261,4130.5,9.42885840162531
INTNEM,Belgium (Nemolink),import_500_1000_mw,38269,19134.5,43.67909238249595
INTNEM,Belgium (Nemolink),import_1000_1500_mw,6097,3048.5,6.958933503777935
INTNEM,Belgium (Nemolink),import_gt_1500_mw,0,0.0,0.0
INTNSL,North Sea Link (INTNSL),export_gt_1500_mw,0,0.0,0.0
INTNSL,North Sea Link (INTNSL),export_1000_1500_mw,3714,1857.0,4.466519145660959
INTNSL,North Sea Link (INTNSL),export_500_1000_mw,3684,1842.0,4.4304406388300945
INTNSL,North Sea Link (INTNSL),export_250_500_mw,1949,974.5,2.3439003271117955
INTNSL,North Sea Link (INTNSL),export_50_250_mw,1495,747.5,1.7979122570713872
INTNSL,North Sea Link (INTNSL),near_zero_abs_le_50_mw,5115,2557.5,6.151385414662306
INTNSL,North Sea Link (INTNSL),import_50_250_mw,2040,1020.0,2.4533384644987493
INTNSL,North Sea Link (INTNSL),import_250_500_mw,3002,1501.0,3.61025591687512
INTNSL,North Sea Link (INTNSL),import_500_1000_mw,16412,8206.0,19.73734847027131
INTNSL,North Sea Link (INTNSL),import_1000_1500_mw,45739,22869.5,55.00649413122956
INTNSL,North Sea Link (INTNSL),import_gt_1500_mw,2,1.0,0.002405233788724264
INTVKL,Denmark (Viking link),export_gt_1500_mw,0,0.0,0.0
INTVKL,Denmark (Viking link),export_1000_1500_mw,4643,2321.5,10.58354228402097
INTVKL,Denmark (Viking link),export_500_1000_mw,4578,2289.0,10.435377250968772
INTVKL,Denmark (Viking link),export_250_500_mw,2233,1116.5,5.090038750854798
INTVKL,Denmark (Viking link),export_50_250_mw,1914,957.0,4.362890357875542
INTVKL,Denmark (Viking link),near_zero_abs_le_50_mw,4149,2074.5,9.457488032824253
INTVKL,Denmark (Viking link),import_50_250_mw,2099,1049.5,4.784590836562571
INTVKL,Denmark (Viking link),import_250_500_mw,2569,1284.5,5.855937998632323
INTVKL,Denmark (Viking link),import_500_1000_mw,12450,6225.0,28.379302484613632
INTVKL,Denmark (Viking link),import_1000_1500_mw,9233,4616.5,21.046273079553227
INTVKL,Denmark (Viking link),import_gt_1500_mw,2,1.0,0.0045589240939138366
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_gt_1500_mw,11298,5649.0,12.890491294525704
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_1000_1500_mw,2384,1192.0,2.7200328594573624
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_500_1000_mw,2553,1276.5,2.912853980786345
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_250_500_mw,1405,702.5,1.603039499806038
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,export_50_250_mw,1185,592.5,1.3520297560641672
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,near_zero_abs_le_50_mw,665,332.5,0.7587339981288365
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_50_250_mw,1231,615.5,1.404513611573831
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_250_500_mw,1628,814.0,1.8574721036898432
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_500_1000_mw,3747,1873.5,4.275152317276316
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_1000_1500_mw,4032,2016.0,4.6003240307601025
TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import_gt_1500_mw,57518,28759.0,65.62535654793145
