interconnectorId,season_year,season,interconnectorName,interconnectorBiddingZone,capacity_mw,first_timestamp,last_timestamp,observations,expected_half_hours_between_first_last,missing_half_hours_between_first_last,coverage_pct_between_first_last,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,dominant_direction,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,observed_abs_peak_mw,observed_abs_p95_mw,mean_signed_pct_capacity,median_signed_pct_capacity,p05_signed_pct_capacity,p95_signed_pct_capacity,mean_import_pct_capacity_when_importing,mean_export_pct_capacity_when_exporting,observed_abs_peak_pct_capacity,observed_abs_p95_pct_capacity,import_gwh,export_gwh,net_gwh,abs_flow_gwh,direction_switches_ignoring_near_zero,direction_switches_per_30d,share_abs_ge_500mw_pct,share_abs_ge_1000mw_pct,share_abs_ge_1500mw_pct,share_import_ge_1000mw_pct,share_export_ge_1000mw_pct,longest_near_zero_run_hours,deadband_mw,primary_state,primary_state_share_pct,import_export_margin_pct,abs_import_export_margin_pct,direction_bias,mostly_direction
INTELEC,2022,Autumn,Eleclink (INTELEC),FRANCE,1260,2022-09-01 00:00:00+00:00,2022-11-30 23:30:00+00:00,4367,4368,1,99.97710622710623,2183.5,7.739867185711015,87.33684451568583,4.92328829860316,export,-746.9333638653538,-1022.0,-1024.0,-1024.0,-668.0,282.0,523.6863905325444,901.6423702149974,1002.0,1028.0,1028.0,1024.0,-59.280425703599505,-81.11111111111111,-81.26984126984127,22.380952380952383,41.562411947027336,71.55891827103153,81.58730158730158,81.26984126984127,88.50299999999999,1719.432,-1630.929,1807.935,40,13.189832837188,83.32951683077627,58.850469429814524,0.0,0.20609113808106252,58.64437829173346,89.5,1.0,export,87.33684451568583,-79.5969773299748,79.5969773299748,export,mostly_export
INTELEC,2022,Spring,Eleclink (INTELEC),FRANCE,1260,2022-05-24 23:00:00+00:00,2022-05-31 23:30:00+00:00,338,338,0,100.0,169.0,12.1301775147929,72.7810650887574,15.088757396449704,export,-427.92899408284023,-643.0,-866.0,-804.0,0.0,265.7999999999988,411.7560975609756,656.5934959349594,1000.0,910.0,1000.0,908.0,-33.96261857800319,-51.031746031746025,-68.73015873015873,21.095238095238,32.679055361982186,52.110594915472966,79.36507936507937,72.06349206349206,8.441,80.76100000000001,-72.32000000000001,89.202,4,17.0919881305638,60.650887573964496,0.2958579881656805,0.0,0.2958579881656805,0.0,12.5,1.0,export,72.7810650887574,-60.6508875739645,60.6508875739645,export,mostly_export
INTELEC,2022,Summer,Eleclink (INTELEC),FRANCE,1260,2022-06-01 00:00:00+00:00,2022-08-31 23:30:00+00:00,4413,4416,3,99.93206521739131,2206.5,1.880806707455246,82.324949014276,15.794244278268751,export,-668.5660548379788,-822.0,-1024.0,-952.0,-416.0,0.0,307.06024096385545,819.121387283237,856.0,1026.0,1026.0,1024.0,-53.06079800301418,-65.23809523809524,-81.26984126984127,0.0,24.369860393956785,65.00963391136801,81.42857142857143,81.26984126984127,12.742999999999999,1487.9340000000002,-1475.191,1500.6770000000001,14,4.566251415628539,73.03421708588263,23.022886924994335,0.0,0.0,23.022886924994335,204.0,1.0,export,82.324949014276,-80.44414230682075,80.44414230682075,export,mostly_export
INTELEC,2023,Autumn,Eleclink (INTELEC),FRANCE,1260,2023-09-01 00:00:00+00:00,2023-11-30 23:30:00+00:00,4368,4368,0,100.0,2184.0,75.64102564102564,17.055860805860807,7.303113553113554,import,492.2912087912088,708.0,-667.3,18.0,996.0,998.0,755.1598062953996,462.71140939597313,1002.0,1026.0,1026.0,998.0,39.070730856445145,56.19047619047619,-52.96031746031746,79.2063492063492,59.93331795995234,36.72312772983914,81.42857142857143,79.2063492063492,1247.5240000000001,172.36,1075.164,1419.884,129,42.5372108999313,65.72802197802197,4.418498168498169,0.0,2.60989010989011,1.8086080586080588,50.0,1.0,import,75.64102564102564,58.58516483516483,58.58516483516483,import,mostly_import
INTELEC,2023,Spring,Eleclink (INTELEC),FRANCE,1260,2023-03-01 00:00:00+00:00,2023-05-31 23:30:00+00:00,4416,4416,0,100.0,2208.0,83.8088768115942,16.055253623188406,0.1358695652173913,import,550.8999094202899,771.0,-582.5,223.5,998.0,998.0,738.9159686571197,425.88716502115653,1014.0,1026.0,1026.0,998.0,43.72221503335634,61.19047619047619,-46.23015873015873,79.2063492063492,58.644124496596795,33.80056865247275,81.42857142857143,79.2063492063492,1367.364,150.977,1216.387,1518.341,127,41.42242355605889,68.81793478260869,3.306159420289855,0.0,2.4909420289855073,0.8152173913043478,0.5,1.0,import,83.8088768115942,67.7536231884058,67.7536231884058,import,mostly_import
INTELEC,2023,Summer,Eleclink (INTELEC),FRANCE,1260,2023-06-01 00:00:00+00:00,2023-08-31 23:30:00+00:00,4415,4416,1,99.97735507246377,2207.5,73.81653454133635,25.70781426953567,0.4756511891279729,import,357.22400906002264,410.0,-632.5999999999999,-16.0,834.0,998.0,608.4768333844738,357.60528634361236,1014.0,1024.0,1024.0,998.0,28.351111830160526,32.53968253968254,-50.2063492063492,79.2063492063492,48.291812173370936,28.381371932032728,81.26984126984127,79.2063492063492,991.513,202.941,788.572,1194.454,206,67.18912797281993,52.70668176670442,2.9898074745186864,0.0,2.582106455266138,0.40770101925254815,1.5,1.0,import,73.81653454133635,48.10872027180068,48.10872027180068,import,mostly_import
INTELEC,2023,Winter,Eleclink (INTELEC),FRANCE,1260,2022-12-01 00:00:00+00:00,2023-02-28 23:30:00+00:00,4320,4320,0,100.0,2160.0,63.91203703703704,34.976851851851855,1.1111111111111112,import,234.71203703703705,307.0,-1022.0,-254.0,954.0,998.0,678.7482796088374,569.2045003309067,1002.0,1024.0,1024.0,1022.0,18.627939447383888,24.365079365079364,-81.11111111111111,79.2063492063492,53.86891108006646,45.17496034372276,81.26984126984127,81.11111111111111,937.0120000000001,430.03400000000005,506.97800000000007,1367.046,180,60.01389210465385,61.898148148148145,11.226851851851851,0.0,3.0324074074074074,8.194444444444445,11.0,1.0,import,63.91203703703704,28.935185185185183,28.935185185185183,import,mostly_import
INTELEC,2024,Autumn,Eleclink (INTELEC),FRANCE,1260,2024-09-01 00:00:00+00:00,2024-11-30 23:30:00+00:00,4368,4368,0,100.0,2184.0,26.350732600732602,5.334249084249084,68.31501831501832,import,226.6584249084249,0.0,-2.0,0.0,264.5,998.0,872.1980886185926,59.467811158798284,1000.0,1018.0,1018.0,998.0,17.988763881621026,0.0,-0.15873015873015872,79.2063492063492,69.22207052528512,4.719667552285577,80.7936507936508,79.2063492063492,501.95000000000005,6.928,495.022,508.878,5,1.6487291046485,23.557692307692307,0.045787545787545784,0.0,0.022893772893772892,0.022893772893772892,754.5,1.0,near_zero,68.31501831501832,21.016483516483518,21.016483516483518,import,mostly_near_zero
INTELEC,2024,Spring,Eleclink (INTELEC),FRANCE,1260,2024-03-01 00:00:00+00:00,2024-05-31 23:30:00+00:00,4416,4416,0,100.0,2208.0,98.41485507246377,1.585144927536232,0.0,import,907.9633152173913,996.0,358.0,988.0,998.0,998.0,926.5904279797514,248.5142857142857,1260.0,878.0,1260.0,998.0,72.06058057280883,79.04761904761905,28.41269841269841,79.2063492063492,73.53892285553584,19.723356009070294,100.0,79.2063492063492,2013.4810000000002,8.698,2004.7830000000001,2022.179,30,9.784824462061156,93.22916666666666,0.6114130434782609,0.0,0.6114130434782609,0.0,0.0,1.0,import,98.41485507246377,96.82971014492753,96.82971014492753,import,mostly_import
INTELEC,2024,Summer,Eleclink (INTELEC),FRANCE,1260,2024-06-01 00:00:00+00:00,2024-08-31 23:30:00+00:00,4416,4416,0,100.0,2208.0,96.08242753623189,3.872282608695652,0.04528985507246377,import,837.9080615942029,996.0,62.0,882.0,998.0,998.0,882.448267735093,257.46198830409355,1000.0,1020.0,1020.0,998.0,66.50063980906371,79.04761904761905,4.920634920634921,79.2063492063492,70.03557680437245,20.433491135245525,80.95238095238095,79.2063492063492,1872.114,22.012999999999998,1850.101,1894.127,48,15.65571913929785,86.73007246376811,2.6721014492753623,0.0,2.6494565217391304,0.022644927536231884,0.5,1.0,import,96.08242753623189,92.21014492753623,92.21014492753623,import,mostly_import
