interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_signed_pct_capacity,p10_signed_pct_capacity,p25_signed_pct_capacity,median_signed_pct_capacity,p75_signed_pct_capacity,p90_signed_pct_capacity,mean_import_share_pct,mean_export_share_pct
INTELEC,Eleclink (INTELEC),1,28,507.36309523809524,0.0,153.84375,510.0625,856.2395833333334,979.2791666666667,40.26691232048375,0.0,12.209821428571427,40.4811507936508,67.95552248677248,77.72056878306879,67.7827380952381,7.0684523809523805
INTELEC,Eleclink (INTELEC),2,28,277.7202380952381,-237.19583333333327,-12.03125,56.104166666666664,685.40625,891.7791666666666,22.04128873771731,-18.825066137566132,-0.9548611111111112,4.45271164021164,54.39732142857143,70.77612433862434,52.455357142857146,21.875
INTELEC,Eleclink (INTELEC),3,28,251.50892857142858,-251.5125,-24.1875,201.4375,670.9166666666667,793.5708333333334,19.961026077097504,-19.961309523809522,-1.919642857142857,15.987103174603176,53.2473544973545,62.98181216931217,51.860119047619044,23.139880952380953
INTELEC,Eleclink (INTELEC),4,28,353.3511904761905,-37.33749999999998,0.0,450.85416666666663,684.4479166666666,902.7416666666667,28.043745275888135,-2.9632936507936485,0.0,35.78207671957672,54.32126322751323,71.64616402116403,62.42559523809524,12.5
INTELEC,Eleclink (INTELEC),5,28,293.98214285714283,-117.67916666666659,0.0,295.3541666666667,622.8020833333334,877.1791666666667,23.33191609977324,-9.339616402116397,0.0,23.44080687830688,49.42873677248677,69.61739417989418,56.17559523809524,20.610119047619047
INTELEC,Eleclink (INTELEC),6,28,560.5833333333334,-106.34999999999998,212.85416666666669,684.9166666666667,967.7083333333333,991.9958333333334,44.49074074074074,-8.44047619047619,16.89318783068783,54.35846560846561,76.80224867724868,78.72982804232805,75.37202380952381,15.029761904761907
INTELEC,Eleclink (INTELEC),7,28,621.1636904761905,130.32916666666665,312.09375,674.6458333333333,932.7395833333334,995.7333333333333,49.29870559334845,10.343584656084658,24.769345238095234,53.5433201058201,74.02695105820106,79.02645502645503,88.91369047619048,10.342261904761903
INTELEC,Eleclink (INTELEC),8,28,623.4434523809524,118.19583333333333,269.03125,755.4791666666666,980.4166666666667,995.9458333333333,49.47963907785337,9.380621693121691,21.351686507936506,59.95866402116402,77.81084656084656,79.0433201058201,87.20238095238095,12.723214285714286
INTELEC,Eleclink (INTELEC),9,28,589.3809523809524,-96.46249999999996,311.3958333333333,773.5416666666667,983.875,996.2,46.776266061980344,-7.655753968253966,24.713955026455025,61.39219576719577,78.08531746031746,79.06349206349206,81.69642857142857,17.485119047619047
INTELEC,Eleclink (INTELEC),10,28,681.7470238095239,350.6416666666667,542.2291666666667,823.75,977.6770833333333,995.2083333333334,54.106906651549515,27.828703703703702,43.03406084656085,65.37698412698413,77.59341931216932,78.98478835978837,90.02976190476191,9.970238095238097
INTELEC,Eleclink (INTELEC),11,28,837.6130952380953,618.6958333333333,745.875,866.7916666666667,963.6770833333334,983.2166666666667,66.47722978080121,49.10284391534391,59.19642857142857,68.79298941798942,76.4823082010582,78.03306878306879,97.76785714285714,2.2321428571428568
INTELEC,Eleclink (INTELEC),12,28,844.7276785714286,618.3916666666667,781.6770833333333,964.1041666666667,994.2395833333334,996.15,67.04187925170068,49.0787037037037,62.03786375661376,76.5162037037037,78.90790343915344,79.05952380952381,94.64285714285714,5.208333333333333
INTELEC,Eleclink (INTELEC),13,28,859.9732142857143,679.2166666666667,745.5104166666666,923.375,982.125,995.2,68.25184240362812,53.90608465608466,59.16749338624338,73.28373015873015,77.94642857142857,78.98412698412699,98.51190476190477,1.4880952380952377
INTELEC,Eleclink (INTELEC),14,28,676.0252976190476,133.66666666666669,486.0208333333333,797.625,983.5,996.025,53.65280139833711,10.60846560846561,38.57308201058201,63.30357142857143,78.05555555555556,79.04960317460318,87.79761904761905,12.12797619047619
INTELEC,Eleclink (INTELEC),15,28,715.59375,63.07083333333334,602.09375,923.6041666666666,990.0729166666666,997.4875,56.79315476190476,5.005621693121694,47.78521825396825,73.30191798941799,78.57721560846561,79.1656746031746,89.95535714285714,9.970238095238093
INTELEC,Eleclink (INTELEC),16,28,769.1473214285714,177.29166666666666,712.5520833333334,890.8125,985.7291666666666,996.2083333333334,61.043438208616784,14.070767195767196,56.551752645502646,70.69940476190476,78.23247354497354,79.06415343915344,93.22916666666666,6.622023809523809
INTELEC,Eleclink (INTELEC),17,28,872.9032738095239,594.5,851.0520833333334,957.6458333333334,995.7395833333334,997.6041666666666,69.27803760393046,47.182539682539684,67.54381613756614,76.00363756613757,79.02695105820106,79.17493386243386,97.17261904761905,2.7529761904761902
INTELEC,Eleclink (INTELEC),18,28,916.5877976190476,670.7958333333333,934.8645833333334,994.8333333333333,996.625,998.0208333333334,72.74506330309902,53.23776455026455,74.19560185185186,78.95502645502646,79.09722222222223,79.20800264550265,98.80952380952381,1.1904761904761902
INTELEC,Eleclink (INTELEC),19,28,909.8407738095239,688.6625,951.2395833333333,983.3541666666666,996.7916666666667,997.4125,72.20958522297808,54.65575396825397,75.49520502645503,78.04398148148148,79.11044973544975,79.15972222222223,98.95833333333334,1.0416666666666665
INTELEC,Eleclink (INTELEC),20,28,867.4255952380953,683.1333333333334,897.1770833333334,963.4166666666666,996.3333333333334,997.2083333333334,68.84330120937264,54.216931216931215,71.20453042328042,76.4616402116402,79.07407407407408,79.14351851851852,92.03869047619048,0.14880952380952378
INTELEC,Eleclink (INTELEC),21,34,490.8210784313726,-327.1624999999999,0.0,823.0625,985.7395833333334,995.7791666666666,38.95405384375972,-25.965277777777768,0.0,65.32242063492063,78.23330026455025,79.0300925925926,63.357843137254896,11.213235294117647
