project,connection_site,assigned_charging_zone,updated_charging_zone,latitude,longitude,location_basis,confidence,source_urls,notes,customer_name,project_status,host_to,plant_type,project_id,project_number
Hawkwood Wind Farm,Hawkwood Windfarm 33kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,WILSON RENEWABLES IV LLP,Scoping,SPT,Wind Onshore,a0l8e000000TPcUAAW,PRO-003450
Edrom Green Energy Park,Kelloe Mains 400kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,NP SPV 45 LIMITED,Scoping,SPT,Energy Storage System,a0lJ9000000PEnkIAG,PRO-005818
Heathland Wind Farm,Heathland 132/33kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,EDF ENERGY RENEWABLES LIMITED,Scoping,SPT,Energy Storage System;Wind Onshore,a0l4L0000005igyQAA,PRO-001156
Elmya Dunbar BESS,Thorntonloch 400kV Substation,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Torness 400/132kV). Location matched to TORNESS.,ELMYA ENERGY UK 1 LIMITED,Scoping,SPT,Energy Storage System,a0l4L0000005iwdQAA,PRO-002290
Elmya Hunterston,Hunterston 400/132kV,GZ11,,55.720041,-4.890811,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/308653843; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Hunterston Substation.,ELMYA RPC UK HUNTERSTON LIMITED,Awaiting Consents,SPT,Energy Storage System,a0l8e000000TPBVAA4,PRO-003182
Hoolan Hills Renewable Energy Park,Holm Hill 132kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,RIDGE CLEAN ENERGY LTD,Scoping,SPT,Wind Onshore,a0lJ9000000PNpTIAW,PRO-006001
Elvanfoot (25MW) Energy Storage,ELVANFOOT ENERGY STORAGE 132/33KV COLLECTOR SUBSTATION,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ELVANFOOT.,ELVANFOOT ENERGY STORAGE 3 LIMITED,Scoping,SPT,Energy Storage System,a0l8e000000TPNHAA4,PRO-003278
Elvanfoot (50MW) Energy Storage,ELVANFOOT ENERGY STORAGE 132/33KV COLLECTOR SUBSTATION,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ELVANFOOT.,ELVANFOOT ENERGY STORAGE 2 LIMITED,Scoping,SPT,Energy Storage System,a0l8e000000TPNMAA4,PRO-003279
Elvanfoot (9.8 MW) Energy Storage,Elvanfoot 400/275/33kV,GZ11,,55.437356,-3.672555,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/284874050; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Elvanfoot Substation.,ELVANFOOT ENERGY STORAGE LIMITED,Scoping,SPT,Energy Storage System,a0l4L0000005igKQAQ,PRO-001721
Dealanach WLC WF,Hopsrig Collector 132/33kV Substation,GZ11,GZ12,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,DEALANACH LIMITED,Scoping,SPT,Wind Onshore,a0l4L0000005igLQAQ,PRO-001722
Hareshaw Rig Wind Farm,Hopsrig Collector 132/33kV Substation,GZ11,GZ12,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,HARESHAW RIG WF LIMITED,Scoping,SPT,Wind Onshore,a0l4L0000005ipdQAA,PRO-000543
Hopsrig Wind Farm,Hopsrig Collector Substation,GZ11,GZ12,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,HOPSRIG WIND FARM LIMITED,Consents Approved,SPT,Wind Onshore,a0l4L0000005isfQAA,PRO-000318
Loganhead Windfarm,Hopsrig Collector Substation,GZ11,GZ12,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,LOGANHEAD WF LIMITED,Awaiting Consents,SPT,Wind Onshore,a0l4L0000005isNQAQ,PRO-000306
Fife Energy Centre,Fife Energy Centre 132kV substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,CAMBRIDGE POWER LIMITED,Scoping,SPT,Energy Storage System,a0l4L0000005iPYQAY,PRO-001868
Fife Grid Services,Fife Grid Services Facility 275kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,KINCARDINE GRID 3 LTD,Scoping,SPT,Reactive Compensation,a0l4L0000005inRQAQ,PRO-000453
Flemyland Battery Storage,Kilwinning 132/33kV,GZ11,,55.665246,-4.680515,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/91093679; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Kilwinning Substation.,Flemyland Battery Storage Limited,Scoping,SPT,Energy Storage System,a0l4L0000005iyIQAQ,PRO-002360
Forsa Energy Denny BESS,FORSA ENERGY DENNY BESS 132KV GRID SUPPLY POINT SUBSTATION,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,FORSA ENERGY HOLDINGS LIMITED,Scoping,SPT,Energy Storage System,a0lJ9000000bltAIAQ,PRO-004971
Hunterston Wind Farm,Hunterston 400/132kV,GZ11,,55.720041,-4.890811,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/308653843; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Hunterston Substation.,GALILEO 01 LIMITED,Scoping,SPT,Energy Storage System;Wind Onshore,a0l8e000000TP9yAAG,PRO-003165
GIFFORDLAND 200MW FIELD BESS,Giffordland 400/132kV,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Kilwinning 132/33kV). Location matched to KILWINNING.,VIRMATI ENERGY LTD,Scoping,SPT,Energy Storage System,a0lJ9000000PNKRIA4,PRO-005986
Gilbertfield Farm BESS,Clydesmill 275/33kV,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,GPC 678 LTD,Scoping,SPT,Energy Storage System,a0l8e0000011z1xAAA,PRO-003564
Keith Hill Wind Farm,Keith Hill 33kV,GZ1,GZ11,55.826359,-2.82902,project,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/9632223; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Keith Hill.,DIAMOND WIND LIMITED,Built,SPT,Wind Onshore,a0l4L0000005irFQAQ,PRO-000251
Glenmuckloch Pumped Storage,Glenmuckloch 132kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,GLENMUCKLOCH PUMPED STORAGE HYDRO LIMITED,Consents Approved,SPT,Pump Storage,a0l4L0000005isIQAQ,PRO-000299
Lees Hill Renewable Energy Park,Kelloe Mains 400kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,FRED OLSEN RENEWABLES LIMITED,Scoping,SPT,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0lJ9000000PMekIAG,PRO-005949
Kilgallioch Wind Farm,Kilgallioch 275kV Substation,GZ10,GZ10,55.014197,-4.773399,project,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/9396275; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Kilgallioch Wind Farm.,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Built,SPT,Wind Onshore,a0l4L0000005imcQAA,PRO-000065
Glennifer Road BESS,Glennifer Road BESS 132kV substation,GZ11,,55.766314,-3.31051,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Neilston 400/275/132kV). Location matched to NEILSTON.,Drax BESS Neilston Limited,Scoping,SPT,Energy Storage System,a0l8e0000011zs8AAA,PRO-003600
Benthead Solar,Kilwinning 132/33kV,GZ11,,55.665246,-4.680515,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/91093679; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Kilwinning Substation.,BENTHEAD SOLAR LIMITED,Scoping,SPT,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005iQPQAY,PRO-001881
Glentaggart 150MW BESS,GLENTAGGART 150MW BESS 132kV SUBSTATION,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,BROCKWELL ENERGY LIMITED,Scoping,SPT,Energy Storage System,a0l8e000001HpfGAAS,PRO-004145
Glentaggart 42MW BESS,Glentaggart WF 33kV Substation,GZ11,,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,GLENTAGGART WIND LIMITED,Scoping,SPT,Energy Storage System,a0l4L0000005ik6QAA,PRO-001595
EcoKincardine,Kincardine North 400kV Substation,GZ9,GZ9,56.001546,-3.675246,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to KINCARDINE.,Econergy International Limited,Scoping,SPT,Energy Storage System;PV Array (Photo Voltaic/solar),a0l8e0000011yxGAAQ,PRO-003557
