project,connection_site,assigned_charging_zone,updated_charging_zone,latitude,longitude,location_basis,confidence,source_urls,notes,customer_name,project_status,host_to,plant_type,project_id,project_number
50MW BESS Connagill,New Connagill 275/132kV Substation,GZ1,,58.512123,-3.879166,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/567187951; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Connagill Substation.,Cerulisia Ltd,Scoping,SHET,Energy Storage System,a0lJ9000000blmDIAQ,PRO-004938
Aberarder Extension Wind Farm,Aberarder Extension Wind Farm 132/33kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ABERARDER.,Renewable Energy Systems Limited,Scoping,SHET,Energy Storage System;Wind Onshore,a0l8e0000010wQ0AAI,PRO-002589
Aberarder Wind Farm,Aberarder Wind Farm 132/33kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ABERARDER.,ABERARDER WIND FARM LLP,Consents Approved,SHET,Wind Onshore,a0l4L0000005ilHQAQ,PRO-000368
Aberdeen Offshore Wind Farm,Aberdeen Bay 132kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to ABERDEEN BAY.,ABERDEEN OFFSHORE WIND FARM LIMITED,Built,SHET,Wind Offshore,a0l4L0000005itBQAQ,PRO-000002
Abhainn Dubh Wind Farm,Abhainn Dubh Wind Farm 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,E Power Limited,Scoping,SHET,Wind Onshore,a0l4L0000005ivFQAQ,PRO-002272
Achanalt Battery Storage,Grudie Bridge GSP,GZ1,,57.804814,-5.174501,settlement proxy,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://zenodo.org/records/10866260; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Grudie Bridge.,ADTEK LIMITED,Scoping,SHET,Energy Storage System,a0l8e000001HrmUAAS,PRO-004221
Achany Extension Wind Farm,ACHANY EXTENSION WIND FARM 132/33KV Substation,GZ1,,58.001191,-4.518047,project,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/6949399,Spatial point-in-polygon. Location matched to Achany Wind Farm. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,SSE Generation Limited,Scoping,SHET,Wind Onshore,a0l4L0000005iiYQAQ,PRO-001555
Acheilidh Wind Farm,Acheilidh Wind farm 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENERGYFARM UK ACHEILIDH LTD,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PDsuIAG,PRO-005042
Achies BESS,New Spittal 275kV Substation,GZ1,,58.478991,-3.451722,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/495624573; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Spittal Substation.,IGP ENERGY STORAGE 5 LIMITED,Scoping,SHET,Energy Storage System,a0lJ9000000POVhIAO,PRO-006050
Achrugan Wind Farm,Achrugan 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Statkraft Windco 1 Limited,Scoping,SHET,Energy Storage System;Wind Onshore,a0l4L0000005ivEQAQ,PRO-002267
Aigas (part of the Beauly Cascade),Aigas Hydro 132kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to AIGAS.,SSE Generation Limited,Built,SHET,Hydro,a0l4L0000005itFQAQ,PRO-000006
Alcemi Midmill BESS,Kintore 275kV,GZ1,,55.821836,-4.270968,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/node/985075179; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Kintore.,ALCEMI STORAGE DEVELOPMENTS 2 LIMITED,Scoping,SHET,Energy Storage System,a0l4L0000005iaAQAQ,PRO-002014
Alcemi Score 2 Battery Energy Storage Facility,Alcemi Score Battery 400kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Scoping,SHET,Energy Storage System,a0l4L0000005ikEQAQ,PRO-001790
Alcemi Score Battery Energy Storage Facility,ALCEMI SCORE BATTERY ENERGY STORAGE FACILITY 400KV SUBSTATION,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Scoping,SHET,Energy Storage System,a0l4L0000005izQQAQ,PRO-001575
Allt an Tuir Renewable Energy Park,Shin 1 GSP,GZ1,,57.943244,-4.413312,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/130127395; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Shin.,ALLT AN TUIR RENEWABLE ENERGY PARK LIMITED,Scoping,SHET,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,a0l4L0000005iNjQAI,PRO-001819
Altnabreac Windfarm,Connagill 275kV Substation,GZ1,,58.512123,-3.879166,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/567187951; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Connagill Substation.,ALTNABREAC WIND FARM LIMITED,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000blmcIAA,PRO-004941
ARVEN OFFSHORE WIND FARM,Northern Shetland 400kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Blackhillock 400kV Substation). Location matched to BLACKHILLOCK.,ARVEN OFFSHORE WIND FARM LIMITED,Scoping,SHET,Wind Offshore,a0l8e000000TPOFAA4,PRO-003288
Arven South Offshore Wind Farm,Northern Shetland 400kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Blackhillock 400kV Substation). Location matched to BLACKHILLOCK.,ARVEN SOUTH LIMITED,Scoping,SHET,Wind Offshore,a0l8e000001HxQ5AAK,PRO-004242
AULTCRAGGIE BESS,Brora GSP,GZ1,,58.019981,-3.87492,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/102268474; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Brora Substation.,OPDE UK LIMITED,Scoping,SHET,Energy Storage System,a0l8e000000TPFmAAO,PRO-003228
Aultmore Wind Farm (2023),Aultmore Wind Farm 132/33kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,VATTENFALL WIND POWER LTD,Scoping,SHET,Energy Storage System;Wind Onshore,a0l8e000000f6JjAAI,PRO-003975
Ayre (ex Cluaran Ear - Thuath) Offshore Wind Farm,Banniskirk 400kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,AYRE OFFSHORE WIND FARM LIMITED,Scoping,SHET,Wind Offshore,a0l4L0000005ix0QAA,PRO-002100
Bad a Cheo Wind Farm,Mybster 3 33kV Substation,GZ1,,58.446944,-3.423661,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/495626051; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Mybster Substation.,RWE RENEWABLES UK SWINDON LIMITED,Built,SHET,Wind Onshore,a0l4L0000005ilUQAQ,PRO-000018
Baillie Greener Grid Park,Baillie 275KV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Statkraft UK Ltd,Scoping,SHET,Energy Storage System;Reactive Compensation,a0l4L0000005ig3QAA,PRO-001701
Baillie Wind Farm,Dounreay GSP,GZ1,,58.575726,-3.753721,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/8087295; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Dounreay Substation.,BAILLIE WINDFARM LIMITED,Built,SHET,Wind Onshore,a0l4L0000005iUqQAI,PRO-000020
Balinoe Wind Farm,Balinoe 132kV substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,RWE Renewables UK Onshore Wind Limited,Scoping,SHET,Energy Storage System;Wind Onshore,a0l8e0000012kqNAAQ,PRO-004776
Ballach,New North West 132kV Substation,GZ1,,57.5,-4.5,settlement/regional proxy,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/,Named regional settlement proxy (north west). Location matched to north west. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENERGYFARM UK BALLACH LTD,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PNJcIAO,PRO-005977
Balliemeanoch PSH,Balliemeanoch 275kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ILI (Borders PSH) Ltd,Scoping,SHET,Pump Storage,a0l4L0000005iROQAY,PRO-001901
Ballygroggan Wind Farm,BALLYGROGGAN 132/33KV SUBSTATION,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,DALRIADA RENEWABLES LIMITED,Scoping,SHET,Wind Onshore,a0l8e000000exU0AAI,PRO-003733
Balnespick Wind Farm,Balnespick Wind Farm 132kV/33kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Tomatin 275/132 kV Substation). Location matched to TOMATIN.,FRED OLSEN RENEWABLES LIMITED,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PDv0IAG,PRO-005066
Balrobert Farm BESS,Knocknagael 132kV Substation,GZ1,,57.421981,-4.245769,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/820229174; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Knocknagael Substation.,ELGIN ENERGY ES CO LIMITED,Scoping,SHET,Energy Storage System,a0l8e000001HpUOAA0,PRO-004118
Balvedavist 162 Battery Storage,Spittal 132kV Substation,GZ1,,58.478991,-3.451722,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/495624573; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Spittal Substation.,S4N SPITTAL LTD,Scoping,SHET,Energy Storage System;PV Array (Photo Voltaic/solar),a0l4L0000005iaJQAQ,PRO-002024
Battery Point BESS,Stornoway GSP,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Point and Sandwick Power Limited,Scoping,SHET,Energy Storage System,a0l4L0000005iMMQAY,PRO-002335
Beatrice Sync Comp,Beatrice 400kV Substation,GZ1,,57.524047,-2.955177,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/690326580,Spatial point-in-polygon. Location matched to Beatrice Wind Farm Substation.,TINZ PROGRAMME 1 PROJECTCO 3 LIMITED,Built,SHET,Reactive Compensation,a0l4L0000005ihiQAA,PRO-001757
Beatrice Wind Farm,Beatrice 400kV Substation,GZ1,,57.524047,-2.955177,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/690326580,Spatial point-in-polygon. Location matched to Beatrice Wind Farm Substation.,BEATRICE OFFSHORE WINDFARM LIMITED,Built,SHET,Wind Offshore,a0l4L0000005ilYQAQ,PRO-000025
Beauly 02 BESS,BEAULY 02 BESS 132kV SUBSTATION,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to BEAULY.,FIELD BEAULY LTD,Scoping,SHET,Energy Storage System,a0l8e000000exTqAAI,PRO-003731
Beaw Field Wind Farm,Beaw Field 132/33kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,BEAW FIELD SHETLAND LIMITED,Consents Approved,SHET,Wind Onshore,a0l4L0000005iyaQAA,PRO-000026
Beinn Tharsuinn,Alness GSP,GZ1,,57.708254,-4.274514,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/305627323; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Alness Substation.,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Built,SHET,Wind Onshore,a0l4L0000005iUwQAI,PRO-000030
Beinn Tharsuinn Repower,BEINN THURSUNN REPOWER 275/33KV,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Scoping,SHET,Wind Onshore,a0l4L0000005iaNQAQ,PRO-001035
Berry Burn Wind Farm,Berry Burn GSP,GZ1,,57.504073,-3.599319,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/778717371; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Berry Burn.,BERRY BURN WIND FARM LIMITED,Built,SHET,Wind Onshore,a0l4L0000005iUxQAI,PRO-000033
Berryburn Extension Wind Farm,Berryburn 275/33kV GSP Substation,GZ1,,57.478732,-3.529744,project,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/8836281; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Berry Burn GSP). Location matched to Berry Burn Wind Farm.,BB2 WIND FARM LIMITED,Consents Approved,SHET,Wind Onshore,a0l4L0000005iUGQAY,PRO-001558
Blackhillock Battery,Blackhillock 400kV Substation,GZ1,,57.523227,-2.948539,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/166703766; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Blackhillock Substation.,BLACKHILLOCK FLEXPOWER LTD,Consents Approved,SHET,Energy Storage System,a0l4L0000005iZ0QAI,PRO-001970
Blarghour Wind,Blarghour Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,BLARGHOUR WIND FARM LIMITED,Consents Approved,SHET,Wind Onshore,a0l4L0000005itaQAA,PRO-000398
Brae House Farm,DOUNREAY 2 275 kV SUBSTATION,GZ1,,58.575726,-3.753721,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/8087295; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Dounreay Substation.,QAIR RENEWABLES UK LIMITED,Scoping,SHET,Energy Storage System,a0l8e000001HxliAAC,PRO-004292
Braegrundie Farm,Braegrundie Farm 132kV Substation,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Beauly GSP). Location matched to BEAULY.,AEUK BATTERY PROJECT III LTD,Awaiting Consents,SHET,Energy Storage System,a0l8e0000012jPXAAY,PRO-004674
Breackerie  wind farm,Breackerie 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ENERGYFARM UK BREACKERIE LTD,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PN5RIAW,PRO-005965
Breakish Windfarm,Breakish 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Asuk Holdco 2 Limited,Scoping,SHET,Wind Onshore,a0l4L0000005ikhQAA,PRO-002170-1
Breakish Windfarm,Breakish 132kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Asuk Holdco 2 Limited,Scoping,SHET,Wind Onshore,a0l4L0000005ikhQAA,PRO-002170-2
Broadshore Offshore Wind Farm,Longside 400kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Broadshore Offshore Wind Farm Limited,Scoping,SHET,Wind Offshore,a0l4L0000005itdQAA,PRO-002171
Burn of Whilk Wind Farm,Mybster 1 GSP,GZ1,,58.446944,-3.423661,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/495626051; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Mybster Substation.,ENECO BURN OF WHILK LIMITED,Built,SHET,Wind Onshore,a0l4L0000005iVCQAY,PRO-000087
Cairn Duhie Wind Farm,Berryburn 275/33kV GSP Substation,GZ1,,57.478732,-3.529744,project,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/relation/8836281; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Berry Burn GSP). Location matched to Berry Burn Wind Farm.,Cairn Duhie Energy Limited,Scoping,SHET,Wind Onshore,a0l4L0000005iU6QAI,PRO-001743
Cairnborrow Wind Energy Hub,Cairnford GSP,GZ1,,57.451991,-2.84987,connection site,high,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/842685465,Spatial point-in-polygon. Location matched to Cairnford Substation.,BPUWL 29 LIMITED,Scoping,SHET,Energy Storage System;Wind Onshore,a0l8e0000012eoKAAQ,PRO-004377
Cairnmore Hill Wind Farm,Thurso South 132/33kV GSP Substation,GZ1,,58.564236,-3.512727,connection site,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.openstreetmap.org/way/495624575; https://www.neso.energy/document/167311/download,NESO node-zone map: connection site. Location matched to Thurso South Substation.,Cairnmore Hill Energy Limited,Awaiting Consents,SHET,Wind Onshore,a0l4L0000005iRLQAY,PRO-001304
Caithness Energy Storage,CAITHNESS ENERGY STORAGE 400KV SUBSTATION,GZ1,,57.884736,-4.215077,charging-zone centroid proxy,medium,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones; https://www.neso.energy/document/167311/download; https://www.neso.energy/document/379146/download,NESO node-zone map via 2025 TEC project proxy (Spittal 400kV). Location matched to SPITTAL.,BAYWA R.E. UK LIMITED,Scoping,SHET,Energy Storage System,a0lJ9000000blibIAA,PRO-004933
Airds Hill Wind Farm,Airds Hill WindFarm 132kV Substation,GZ11,GZ10,55.766314,-3.31051,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SPT). Location matched to SPT. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,ONPATH ENERGY LIMITED,Scoping,SPT,Energy Storage System;Wind Onshore,a0l8e0000011ymbAAA,PRO-003545
Caorach,Caorach 132 KV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,Invenergy Development UK Ltd,Scoping,SHET,Energy Storage System;Wind Onshore,a0lJ9000000PDqZIAW,PRO-005026
Car Duibh Wind Farm,Car Duibh 275kV Substation,GZ1,,57.884736,-4.215077,regional proxy; charging-zone centroid,low,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register; https://www.neso.energy/data-portal/gis-boundaries-gb-generation-charging-zones,Host-TO regional proxy (SHET). Location matched to SHET. Low-confidence proxy: review if a precise connection-site coordinate becomes available.,CAR DUIBH WIND FARM LIMITED,Awaiting Consents,SHET,Wind Onshore,a0l4L0000005iMQQAY,PRO-002342
