Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
Rayleigh Main 132kV Substation,Dollymans Storage | Fairgreen Energy Storage,Dollymans Storage Limited | Renewable Energy Systems Limited,Energy Storage System,PRO-002261 | PRO-005899,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.593637,0.568509,RAYLEIGH MAIN 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RAYLEIGH MAIN 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rayleigh Main 400kV Substation,Rayleigh 1 Tertiary | Rayleigh 2 Tertiary | Rayleigh GP3,RAYLEIGH GREEN LIMITED | ENSO GREEN HOLDINGS J LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-000460 | PRO-000466 | PRO-005113,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.594069,0.566440,RAYLEIGH MAIN 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RAYLEIGH MAIN 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Rayleigh Main GSP,Middlewick Wind,DENGIE MARSHES WIND FARM LIMITED,Wind Onshore,PRO-004940,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.594069,0.566440,RAYLEIGH MAIN 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RAYLEIGH MAIN 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Red Moss Farm 132kV Substation,Red Moss Farm,QAIR RENEWABLES UK LIMITED,Energy Storage System,PRO-002613,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.023845,-2.690639,Red Moss,Town/locality proxy,Low,100.0,https://www.openstreetmap.org/node/9664144564,OpenStreetMap named locality: Red Moss,"Town/locality proxy; score 100.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Redmoss GSP,Kincardine Offshore Wind Farm | Kincorth BESS,KINCARDINE OFFSHORE WINDFARM LIMITED | KINCORTH ENERGY STORAGE SYSTEM LTD,Wind Offshore | Energy Storage System,PRO-000277 | PRO-004281,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.087492,-2.115844,REDMOSS,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; REDMOSS; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
REDSHAW 132kV B BOARD SUBSTATION,Grayside Wind Farm,GRAYSIDE WF LTD,Wind Onshore,PRO-004563,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.538087,-3.589297,Grayside Wind Farm,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,DESNZ REPD ref 11113: Grayside Wind Farm; Approximately 1.7km south of Lamington and 5.7km north east of Abington; planning ref ECU00003446,TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Redshaw 132kV Substation.,Clyde South Energy Park | Hagshaw LDES,RENEWCO POWER LIMITED | HAGSHAW LDES LTD,Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore | Energy Storage System,PRO-006096 | PRO-005957,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.262498,-2.299454,Redshaw,Geographic feature proxy,Low,100.0,https://www.openstreetmap.org/node/6248257061,OpenStreetMap/Photon geographic feature: Redshaw; North Yorkshire,"Geographic feature proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Redshaw 400kV,High Netherfauld Farm BESS,ESB (SCOTLAND) LTD,Energy Storage System,PRO-005992,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.262498,-2.299454,Redshaw,Geographic feature proxy,Low,100.0,https://www.openstreetmap.org/node/6248257061,OpenStreetMap/Photon geographic feature: Redshaw; North Yorkshire,"Geographic feature proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Rhigos 400kV Substation,East Pit | Hirwaun Power Station | Nant Aman | Pen Y Cymoedd Wind Farm | Tarenni,CS UK HOLDINGS III LIMITED | HIRWAUN POWER LIMITED | NANT AMAN ENERGY PARK LIMITED | PEN Y CYMOEDD WIND FARM LIMITED | TARENNI ENERGY PARK LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | OCGT (Open Cycle Gas Turbine) | Wind Onshore,PRO-002736 | PRO-000309 | PRO-001640 | PRO-000217 | PRO-001641,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.747187,-3.548159,RHIGOS 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RHIGOS 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Rhigos B 400kV Substation,Rhigos BESS,Enviromena Project Management UK Limited,Energy Storage System,PRO-002616,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.747187,-3.548159,RHIGOS 400KV S/S,Strong name match,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; RHIGOS 400KV S/S; NATIONAL GRID; TRANS,Strong name match; score 100.0/100; next-candidate margin 33.3. Coordinates represent the matched mapped feature.
