Connection Site,TEC Project Names,TEC Customer Names,TEC Plant Types,TEC Project Numbers,TEC Register Source,Latitude,Longitude,Matched Feature,Match Type,Confidence,Match Score,Source URL,Source Description,Confidence Notes
132kV bay at Iron Acton Substation,Iron Acton,IRON ACTON GREEN LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-000491-1 | PRO-000491-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.568978,-2.481269,IRON ACTON 132KV S/S,Strong name match,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; IRON ACTON 132KV S/S; NATIONAL GRID; GSP,Strong name match; score 100.0/100; next-candidate margin 4.0. Coordinates represent the matched mapped feature.
17 ACRES BESS 275KV SUBSTATION,17 Acres and BESS,AEUK BATTERY PROJECT II LTD,Energy Storage System,PRO-004392,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.528745,-2.980503,"17 Acres BESS project site, Balnuith, Tealing",TEC project statutory grid-reference proxy,Medium,,https://www.thegazette.co.uk/notice/4925861,"Statutory notice for 17 Acres BESS: land at Balnuith, Tealing, near Dundee, DD4 0RE; Central Grid Reference 340032, 737273.","Project-site coordinates derived from the published statutory National Grid reference. The connection site is stated by the developer to be directly adjacent to Tealing Substation, so this is a strong area proxy but not a surveyed bay coordinate."
Aberarder Extension Wind Farm 132/33kV Substation,Aberarder Extension Wind Farm,Renewable Energy Systems Limited,Energy Storage System;Wind Onshore,PRO-002589,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.713296,-3.453203,ABERDARE,Fuzzy infrastructure match,Medium,86.4,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERDARE; WESTERN POWER DISTRIBUTION; PSS,Fuzzy infrastructure match; score 86.4/100; next-candidate margin 2.4. Coordinates represent the matched mapped feature.
Aberarder Wind Farm 132/33kV Substation,Aberarder Wind Farm,ABERARDER WIND FARM LLP,Wind Onshore,PRO-000368,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.713296,-3.453203,ABERDARE,Fuzzy infrastructure match,Medium,86.4,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERDARE; WESTERN POWER DISTRIBUTION; PSS,Fuzzy infrastructure match; score 86.4/100; next-candidate margin 2.4. Coordinates represent the matched mapped feature.
Aberdeen Bay 132kV Substation,Aberdeen Offshore Wind Farm,ABERDEEN OFFSHORE WIND FARM LIMITED,Wind Offshore,PRO-000002,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.148243,-2.092809,Aberdeen,Town/locality proxy,Low,80.0,https://www.openstreetmap.org/node/21063362,OpenStreetMap named city: Aberdeen,"Town/locality proxy; score 80.0/100; next-candidate margin 5.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Abernethy 2 GSP,Shire End Solar Farm,QAIR SCOTLAND LIMITED,PV Array (Photo Voltaic/solar),PRO-004902,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.332706,-3.311570,Abernethy,Town/locality proxy,Medium,96.0,https://www.openstreetmap.org/node/917928963,OpenStreetMap named village: Abernethy,"Town/locality proxy; score 96.0/100; next-candidate margin 19.1. Coordinates are a geographic proxy, not the confirmed electrical asset."
Abernethy GSP,Jamesfield Farm Battery Storage | Jamesfield Farm Phase 2 Battery Storage,HARMONY JF LIMITED,Energy Storage System,PRO-001237 | PRO-001236,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.339745,-3.294879,ABERNETHY,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERNETHY; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Aberthaw 132kV Substation,Peak Gen Barry,PEAK GEN POWER 6 LIMITED,Energy Storage System,PRO-003899,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.385200,-3.403321,ABERTHAW 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERTHAW 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Aberthaw 275kV Substation,Aberthaw (Tertiary) | Aberthaw Energy | Aberthaw PV & BESS Generation | Afon Ddaw | Mwyndy Storage,Aberthaw Green Limited | ABERTHAW ENERGY LIMITED | REWE 12 Limited | LIGHTSOURCE SPV 214 LIMITED | CENIN RENEWABLES LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System,PRO-000376 | PRO-001697 | PRO-001815 | PRO-001775 | PRO-005875,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.388331,-3.403201,ABERTHAW 275KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERTHAW 275KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Aberthaw B 275/132kV Substation,Aberthaw BESS,REWE 7 LIMITED,Energy Storage System,PRO-003954,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.385200,-3.403321,ABERTHAW 132KV S/S,Strong name match,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABERTHAW 132KV S/S; NATIONAL GRID; GSP,Strong name match; score 100.0/100; next-candidate margin 4.0. Coordinates represent the matched mapped feature.
Abhainn Dubh Wind Farm 132kV Substation,Abhainn Dubh Wind Farm,E Power Limited,Wind Onshore,PRO-002272,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.540687,-5.711410,Abhainn Dubh Wind Farm,TEC project matched to DESNZ REPD,Low,100.0,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,"DESNZ REPD ref 11357: Abhainn Dubh Wind Farm; Abhainn Dubh Wind Farm, Abhainn Dubh, Strathcarron; planning ref ECU00004732",TEC project matched to DESNZ REPD; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Abham 132kV Substation,Stretchford Farm Solar and Storage,BSR APPLICATIONS LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-004522,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.471555,-3.729494,ABHAM 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABHAM 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Abham GSP,Barton Hill | Conrad (Torquay) Limited,VIRIDIS 178 LIMITED | CONRAD (TORQUAY) LIMITED,CHP (Combined Heat and Power) | Energy Storage System,PRO-000024 | PRO-004386,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.471642,-3.730920,ABHAM 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ABHAM 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
ACHANY EXTENSION WIND FARM 132/33KV Substation,Achany Extension Wind Farm,SSE Generation Limited,Wind Onshore,PRO-001555,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,58.001191,-4.518047,Achany Wind Farm,Exact normalized name,High,100.0,https://www.openstreetmap.org/relation/6949399,OpenStreetMap named plant feature: Achany Wind Farm,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Acheilidh Wind farm 132kV Substation,Acheilidh Wind Farm,ENERGYFARM UK ACHEILIDH LTD,Energy Storage System;Wind Onshore,PRO-005042,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,58.003221,-4.260107,Acheilidh,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/8355829803,OpenStreetMap named hamlet: Acheilidh,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
A'Chruach Wind Farm 275kV Substation,A'Chruach Wind Farm,A'CHRUACH WIND FARM LIMITED,Wind Onshore,PRO-000005,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.130519,-5.338217,A'Chruach Wind Farm,Exact normalized name,High,100.0,https://www.openstreetmap.org/relation/9417449,OpenStreetMap named plant feature: A'Chruach Wind Farm,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Achrugan 132kV Substation,Achrugan Wind Farm,Statkraft Windco 1 Limited,Energy Storage System;Wind Onshore,PRO-002267,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,58.545930,-3.990210,Achrugan Wind Farm project area south of Strathy,TEC project developer-location proxy,Low,,https://projects.statkraft.co.uk/achrugan/,"Statkraft states that Achrugan Wind Farm is approximately 1.6 km south of Strathy in Sutherland, Highland.","Approximate project-area coordinate inferred 1.6 km south of the mapped centre of Strathy. It identifies the correct project area, not the final electrical connection compound."
AGS CALDERSIDE 275KV  SUBSTATION,AGS Calderside Battery Energy Storage System,Advance Grid Solutions Limited,Energy Storage System,PRO-002752-1 | PRO-002752-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,63.6,,,Best candidate 'Aldridge Substation' scored 63.6; below reliability threshold.
AGS Harestonhill BESS 400kV Substation,AGS Harestonhill BESS,AGS Harestonhill Ltd,Energy Storage System,PRO-003656,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,64.0,,,Best candidate 'ABRONHILL' scored 64.0; below reliability threshold.
Aigas Hydro 132kV Substation,Aigas (part of the Beauly Cascade),SSE Generation Limited,Hydro,PRO-000006,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.969202,-4.995729,Cia Aig Hydro Power Station,Candidate infrastructure match,Low,83.3,https://www.openstreetmap.org/relation/20218779,OpenStreetMap named plant feature: Cia Aig Hydro Power Station,Candidate infrastructure match; score 83.3/100; next-candidate margin 8.3. Coordinates represent the matched mapped feature.
Airds Hill WindFarm 132kV Substation,Airds Hill Wind Farm,ONPATH ENERGY LIMITED,Energy Storage System;Wind Onshore,PRO-003545,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.980721,-0.223500,Birds Hill,Fuzzy infrastructure match,Medium,90.0,https://www.openstreetmap.org/way/980174905,OpenStreetMap named substation feature: Birds Hill,Fuzzy infrastructure match; score 90.0/100; next-candidate margin 12.2. Coordinates represent the matched mapped feature.
Alcemi Score Battery 400kV Substation,Alcemi Score 2 Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Energy Storage System,PRO-001790,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,62.3,,,Best candidate 'ALVERDISCOTT 400KV S/S' scored 62.3; below reliability threshold.
ALCEMI SCORE BATTERY ENERGY STORAGE FACILITY 400KV SUBSTATION,Alcemi Score Battery Energy Storage Facility,ALCEMI STORAGE DEVELOPMENTS 5 LIMITED,Energy Storage System,PRO-001575,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,73.2,,,Best candidate 'Ray Battery Storage Facility' scored 73.2; below reliability threshold.
Alness 2 275/33 kV GSP Substation,Contullich BESS | Drumore Farm,Contullich Energy Storage Limited | Drumore Battery Storage Limited,Energy Storage System,PRO-004300 | PRO-002397,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.695943,-4.254157,Alness,Town/locality proxy,Medium,96.0,https://www.openstreetmap.org/node/26480790,OpenStreetMap named town: Alness,"Town/locality proxy; score 96.0/100; next-candidate margin 96.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Alness GSP,Beinn Tharsuinn | Coire Na Cloiche | Novar 2 Wind Farm | Strathrory Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED | COIRE NA CLOICHE WINDFARM LLP | HEADWIND DEVELOPMENT SERVICES LIMITED | STRATHRORY WIND FARM LLP,Wind Onshore,PRO-000030 | PRO-000099 | PRO-004775 | PRO-001812,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.708228,-4.274580,ALNESS,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ALNESS; SSE NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Alverdiscott 400kV Substation,Alverdiscott | Alverdiscott 2 | Alverdiscott Farm | Celtic 2 Offshore Wind Farm | Cormoran Offshore Wind Farm | Equinor Celtic Sea 1 | Gallos | Gwynt Glas Offshore Wind Farm | Gwynt Glas Offshore Wind Farm 2 | Mererid Offshore Wind Farm | Merlin 2 Offshore Windfarm | Merlin Offshore Wind Farm | Morwind 300 | Petroc Extension Offshore Wind Farm | Petroc Offshore Wind Farm | SSE Celtic Sea 1,PIVOTED POWER LLP | XLINKS 1 LTD | Alverdiscott 10 Renewables Ltd | RWE Renewables UK Limited | South West Wind Holdco Limited | EQUINOR NEW ENERGY LIMITED | Corio Generation Limited | GWYNT GLAS OFFSHORE WIND FARM LIMITED | OFFSHORE WIND LIMITED | Morwind Ltd | BLUEFLOAT ENERGY UK HOLDINGS LIMITED | SSE RENEWABLES OFFSHORE WINDFARM HOLDINGS LIMITED,Energy Storage System | Interconnector | Energy Storage System;PV Array (Photo Voltaic/solar) | Wind Offshore,PRO-001136-1 | PRO-001136-2 | PRO-001344 | PRO-001345 | PRO-002554 | PRO-002007 | PRO-002390 | PRO-004037 | PRO-002734 | PRO-001772 | PRO-002480 | PRO-002391 | PRO-001997 | PRO-001728 | PRO-001787 | PRO-002404 | PRO-001661 | PRO-002405,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.005892,-4.136456,ALVERDISCOTT 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ALVERDISCOTT 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Alyth 400kV Substation,ALYTH ENERGY STORAGE AND SOLAR | Brigton of Ruthven BESS | Glenmoy Wind Solar & BESS | Knockton Wind Farm,PRIVATE ENERGY PARTNERS (UK) LTD | MORRIS LESLIE LIMITED | Galileo 20 Limited | PERIGUS ENERGY UK LIMITED,Energy Storage System;PV Array (Photo Voltaic/solar) | Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore | Wind Onshore,PRO-004680 | PRO-004937 | PRO-006134 | PRO-003524,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.620410,-3.246946,ALYTH,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ALYTH; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
ALYTH BESS STATION 400KV SUBSTATION,Alyth BESS Station,IGP INTERNATIONAL PROSPECTING LIMITED,Energy Storage System,PRO-002466,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.377418,-4.145915,Plymouth Station Substation,Candidate infrastructure match,Low,82.8,https://www.openstreetmap.org/node/13155700594,OpenStreetMap named substation feature: Plymouth Station Substation,Candidate infrastructure match; score 82.8/100; next-candidate margin 2.8. Coordinates represent the matched mapped feature.
Alyth Solar and Battery 400/132kV,Alyth,ECODEV (ALYTH) LTD,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-001978-1 | PRO-001978-2,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.611936,-3.234762,New Alyth,Town/locality proxy,Low,71.4,https://www.openstreetmap.org/node/5756469513,OpenStreetMap named village: New Alyth,"Town/locality proxy; score 71.4/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Amersham Main 132kV Substation,Bumpers Farm BESS phase 1 | Bumpers Farm BESS phase 2 | Vox Charlie,Harmony BF Ltd | Vox Charlie Ltd,Energy Storage System,PRO-002103 | PRO-002104 | PRO-002573,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.665515,-0.658210,AMERSHAM MAIN,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; AMERSHAM MAIN; UK POWER NETWORKS; BSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Amersham Main 400kV Substation,Amersham BESS & Substation,O&G Solar (SPV 31) Limited,Energy Storage System,PRO-002354,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,51.665515,-0.658210,AMERSHAM MAIN,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; AMERSHAM MAIN; UK POWER NETWORKS; BSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
An Suidhe 275/33kV,Eredine Wind Farm,RWE Renewables UK Onshore Wind Limited,Energy Storage System;Wind Onshore,PRO-002005,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.197902,-5.144986,An Suidhe Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/307717802,OpenStreetMap named substation feature: An Suidhe Substation,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Andrew BESS 132kV Substation,Andrew BESS,Apatura Battery Ltd,Energy Storage System,PRO-003766,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.512568,-2.042949,Andrew St,Candidate infrastructure match,Low,80.0,https://www.openstreetmap.org/way/945294261,OpenStreetMap named substation feature: Andrew St,Candidate infrastructure match; score 80.0/100; next-candidate margin 9.4. Coordinates represent the matched mapped feature.
Appin Wind Farm 132kV Substation,Appin Wind Farm,Appin Wind Farm Limited,Wind Onshore,PRO-002661,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.561788,-5.358486,Appin,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/275682350,OpenStreetMap named village: Appin,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Appleford 400kV,Didcot High Impact Green Energy Hub (HIGEH) 1,TELIS ENERGY UK LIMITED,CCGT (Combined Cycle Gas Turbine);Energy Storage System;PV Array (Photo Voltaic/solar);Wind Onshore,PRO-002649,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.254489,0.188806,ALFORD 33/11KV,Candidate infrastructure match,Low,80.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ALFORD 33/11KV; WESTERN POWER DISTRIBUTION; PSS,Candidate infrastructure match; score 80.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
APPLEFORD 400kV SUBSTATION,Didcot Farm | Didcot Farm 2,APPLEFORD 2 RENEWABLES LTD | Appleford 7 Renewables Limited,Energy Storage System;PV Array (Photo Voltaic/solar),PRO-002683 | PRO-003709,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,53.254489,0.188806,ALFORD 33/11KV,Candidate infrastructure match,Low,80.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ALFORD 33/11KV; WESTERN POWER DISTRIBUTION; PSS,Candidate infrastructure match; score 80.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Arbroath 2 132/33kV GSP Substation,Fauldielaw,Cairn Duhie Energy Limited,PV Array (Photo Voltaic/solar),PRO-004503,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.558673,-2.581567,Arbroath,Town/locality proxy,Medium,96.0,https://www.openstreetmap.org/node/5305193765,OpenStreetMap named town: Arbroath,"Town/locality proxy; score 96.0/100; next-candidate margin 96.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Arbroath GSP,Arbroath Battery Substation | Craigend | Locharber,ARBROATH LIMITED | Renewable Energy Systems Limited | Lochaber Energy Centre Limited,Energy Storage System | PV Array (Photo Voltaic/solar) | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-000950 | PRO-002567 | PRO-004283,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.563819,-2.619425,ARBROATH,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ARBROATH; SSE NETWORKS; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Ardkinglas GSP,Ardkinglas,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Wind Onshore,PRO-000013,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,56.277113,-4.922266,Ardkinglas Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/307717805,OpenStreetMap named substation feature: Ardkinglas Substation,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Arecleoch 132/33kV,Arecleoch | Arecleoch Extension Windfarm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Wind Onshore,PRO-000012-1 | PRO-000012-2 | PRO-001111,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.084036,-4.849958,Arecleoch Wind Farm Substation,Exact normalized name,High,100.0,https://www.openstreetmap.org/way/380356308,OpenStreetMap named substation feature: Arecleoch Wind Farm Substation,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Armadale 132kV Substation,Galileo 10,GALILEO 10 LIMITED,Energy Storage System,PRO-003953,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.894123,-3.696563,ARMADALE,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ARMADALE; SP ENERGY NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Armadale 400kv Substation,Elmya Bathgate BESS,RPC ELMYA CARNATION BATHGATE LIMITED,Energy Storage System,PRO-004416,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.894123,-3.696563,ARMADALE,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ARMADALE; SP ENERGY NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 100.0. Coordinates represent the matched mapped feature.
Arnish 275kV Substation,Stornoway Wind Farm,STORNOWAY WIND FARM LIMITED,Wind Onshore,PRO-000346,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,58.187253,-6.386095,ARNISH,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; ARNISH; SSE NETWORKS; PSS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Arnish Lewis Hub 400kV Substation,Magwind | Spiorad Na Mara Offshore Wind Farm,MAGNORA OFFSHORE WIND N3 LIMITED | SPIORAD NA MARA LIMITED,Wind Offshore,PRO-001766 | PRO-001642,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,56.0,,,Best candidate 'Lewis Ave Substation' scored 56.0; below reliability threshold.
Arresgill 132kV Substation,Arresgill Energy Storage 1 | Arresgill Wind Farm,Arresgill Energy Storage 1 Limited | ARRESGILL ENERGY LIMITED,Energy Storage System | Wind Onshore,PRO-003246 | PRO-002409,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,,,,No reliable infrastructure match,Unresolved,62.5,,,Best candidate 'Averill Solar Farm Substation' scored 62.5; below reliability threshold.
Artfield Forest Wind Farm 132kV Substation,Artfield Forest Wind Farm,ARTFIELD FOREST WIND FARM LTD,Wind Onshore,PRO-003578,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,54.964509,-4.763481,Artfield Fell,Candidate infrastructure match,Low,78.6,https://www.openstreetmap.org/relation/6949327,OpenStreetMap named plant feature: Artfield Fell,Candidate infrastructure match; score 78.6/100; next-candidate margin 4.5. Coordinates represent the matched mapped feature.
Auchentiber Farm BESS 400kV Substation,Auchentiber Farm 700MW BESS,GPC 700 Ltd,Energy Storage System,PRO-003601,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.690279,-4.603226,Auchentiber,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/6848895174,OpenStreetMap named village: Auchentiber,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Auldhouse 400kV Substation,Auldhouse 200MW BESS,Apatura Project 29 Ltd,Demand;Energy Storage System,PRO-003825,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,55.819260,-4.292853,Auldhouse,Town/locality proxy,Low,100.0,https://www.openstreetmap.org/node/3817889359,OpenStreetMap named suburb: Auldhouse,"Town/locality proxy; score 100.0/100; next-candidate margin 0.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Aultmore Wind Farm 132/33kV Substation,Aultmore Wind Farm (2023),VATTENFALL WIND POWER LTD,Energy Storage System;Wind Onshore,PRO-003975,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,57.565549,-3.000715,Aultmore,Town/locality proxy,Medium,100.0,https://www.openstreetmap.org/node/8328523001,OpenStreetMap named hamlet: Aultmore,"Town/locality proxy; score 100.0/100; next-candidate margin 100.0. Coordinates are a geographic proxy, not the confirmed electrical asset."
Axminster 132kV Substation,Axminster | Axminster - New Connection | Axminster BESS | Old Park Farm,HB825AXM LTD | ENSO GREEN HOLDINGS B LIMITED | CSE25 LIMITED | STARLIGHT ENERGY UK LIMITED,Energy Storage System | Energy Storage System;PV Array (Photo Voltaic/solar),PRO-001017 | PRO-001356 | PRO-001740 | PRO-004719,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.787085,-2.924369,AXMINSTER 132KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; AXMINSTER 132KV S/S; NATIONAL GRID; GSP,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
Axminster 400kV Substation,Axminster,PIVOTED POWER LLP,Energy Storage System,PRO-001143,https://www.neso.energy/data-portal/transmission-entry-capacity-tec-register,50.786472,-2.924556,AXMINSTER 400KV S/S,Exact normalized name,High,100.0,https://doi.org/10.5285/0eed5c99-f409-4329-a98e-47f496bb88a2,Lovett & Sünnenberg GB substations dataset; AXMINSTER 400KV S/S; NATIONAL GRID; TRANS,Exact normalized name; score 100.0/100; next-candidate margin 0.0. Coordinates represent the matched mapped feature.
