connection_site,assigned_charging_zone,basis,reason
Linwood 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
South Wales West Connection Node C 400kV,GZ21,settlement/regional proxy,Named regional settlement proxy (south wales west)
West Anglia Connection Node C 400kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (west anglia)
North Humber Connection Node E 400kV Substation,GZ15,settlement/regional proxy,Named regional settlement proxy (north humber)
West Country Connection Node A 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
South Wales West Connection Node A 400kV Substation,GZ21,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Rhigos B Substation)
Gala North 400/132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Derbyshire Connection Node D 400kV Substation,GZ18,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Willington 400kV Substation)
Derbyshire Connection Node G 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
South Anglia Connection Node E 400kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (south anglia)
Lincs 33/132kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Chirk 132kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Loch Fearna Pumped Storage 400/18kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Loch Kemp 275kV Switching Station,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Loch Liath 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
London Array 33/150kV Offshore Substations,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Long Stratton 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
LONGCROFT ENERGY PARK 132KV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lorg Extension Wind Farm 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lorg Wind Farm 132/32kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Borders Connection Node A 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Lynemore Windfarm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
M74 West Wind Farm 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lincolnshire Coastal Node 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Machair 275/66kV Offshore Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Arnish Lewis Hub 400kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Manquhill Wind Farm 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Muckraw IDNO GSP,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Melvich Community Wind Farm 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Mid Hill 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Borders Connection Node A 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Middlemuir 132/33kV,GZ11,project,Spatial point-in-polygon
Milligansbush Battery Storage 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Minnygryle Burn Energy Park 132kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Moray Firth 220/33kV Platform 1 & 2 Offshore Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Mossy Hill 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Muaitheabhal 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Nant Y Maen 132KV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
NatPower Green Energy Park 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
NatPower Harburn Green Energy Park 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Trent Valley North Connection Node F 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Cheshire Connection Node A2 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Anglia Connection Node C 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Neart Na Gaoithe 220/66KV Offshore Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Teeside Connection Node A 132kV Substation,GZ13,project,Spatial point-in-polygon
North Humber Connection Node B 132kV Substation,GZ15,settlement/regional proxy,Named regional settlement proxy (north humber)
Newchurch 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Falls Offshore Platform Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Lanrigg Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
NLEI Windfarm 132/33kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Leeds South Connection Node C 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Ochill 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Wearside Connection Node B2 400kV substation,GZ13,settlement/regional proxy,Named regional settlement proxy (wearside)
Olivers Forest Wind Farm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Ormonde 33/132kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Western Marsh 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Ourack Wind Farm 132/33 kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Chiltern Connection Node D 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Folly Farm 132kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
London North East Connection Node A 132kv Substation,GZ24,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Brimsdown GSP (EPN))
Peat Law Renewable Energy Park 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Pencloe 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Penninghame Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Pentland Floating Offshore Wind Farm 132/66kV substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Warwickshire Connection Node F 400kV Substation,GZ18,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (NechellsÂ East GSP)
Philipaugh Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Solent  Connection Node B 132kV Substation.,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Pogbie 33kV,GZ11,project,Spatial point-in-polygon
POLLIE HILL WIND FARM 132KV SUBSTATION,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Pond Flexible Energy Park 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Thormanby 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
MERSEYSIDE CONNECTION NODE A 400KV SUBSTATION,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Race Bank 132kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Red Moss Farm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Rivox 132/33kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Robin Rigg East 132/33kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Robin Rigg West Offshore Wind Farm Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Roger Hill Farm 132kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Rowan 275/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
London North East Connection Node A,GZ24,settlement proxy,Spatial point-in-polygon
South Wales East Node A 275kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Sandyknowe 132/33kV,GZ10,project,Spatial point-in-polygon
Longside 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Scatsta 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Scaw Law 132kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Sclenteuch Energy Park 132kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Scoop Hill Wind Farm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Jonhstone 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Seat Hill 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Sheirdrim 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Shepards Rig 132/33kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Sheringham Shoal 33/132kV Offshore Substations,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
West Country Connection Node D 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Slickly Wind Farm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
North Kent Connection Node B 132kV Substation,GZ24,settlement/regional proxy,Named regional settlement proxy (north kent)
Gravity 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Partrick GSP,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Southery 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Arnish 275kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Stracathro BESS 275kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Stranoch Wind 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Gorstage 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Anglia Connection Node D 132kV Substation,GZ17,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Walpole GSP (EPN))
Sundhope 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
ICHRACHAN 132/33KV GRID SUPPLY POINT SUBSTATION,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Tangy IV 132KV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Leeds North Connection Node A 400kV Substation,GZ15,settlement/regional proxy,Named regional settlement proxy (leeds north)
TH Renfrwshire 275kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
London West Connection Node B 400kV Substation,GZ25,settlement proxy,Spatial point-in-polygon
Thanet 33/132kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
TINNISBURN WIND FARM 132KV SUBSTATION,GZ12,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Gretna Green 132 kV Substation)
Toddleburn 33kV,GZ11,project,Spatial point-in-polygon
Tolkien Farm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Tomchrasky Wind Farm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Torfichen Energy Park 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Torr Achilty (Conan Cascade Hydro Scheme),GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Triton Knoll Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Warwickshire Connection Node D 132kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
London West Connection Node A 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Llandyfaelog 400/132kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Vanguard East 275/66kV Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Kergord GSP,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Wakeleys 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Walney 3 Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Walney 4 Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Walney 1 33/132kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Walney 2 33/132kV Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Watchman 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Warwickshire Connection Node F 132kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Elton (Merseyside 132kV Substation),GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
South Wales East Connection Node B 400kV,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
West Andershaw 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Harburn 400kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
West Haddon 400kV Substation,GZ18,project proxy; charging-zone centroid,Same-project zone proxy (West Haddon)
West Saval Substation 132 kV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Westermost Rough Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Wether Hill 132/33KV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Whitehill Bess 275/132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Whitelaw Brae BESS  33kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Whitelaw Brae 'A' and 'B' 33kV Substations,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Womblehill BESS Farm 132kV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Woodcock Hill WF Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
EAST KENT CONNECTION NODE B 132KV SUBSTATION,GZ24,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Canterbury North GSP)
Wyseby Hill Energy Farm 400kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
