interconnectorId,interconnectorName,date,observations,mean_signed_mw,median_signed_mw,p10_signed_mw,p90_signed_mw,rolling_7d_mean_signed_mw,rolling_30d_mean_signed_mw,rolling_90d_mean_signed_mw,import_share_pct,export_share_pct,near_zero_share_pct,rolling_7d_import_share_pct,rolling_30d_import_share_pct,rolling_90d_import_share_pct,rolling_7d_export_share_pct,rolling_30d_export_share_pct,rolling_90d_export_share_pct,import_gwh,export_gwh,net_gwh,rolling_7d_import_gwh,rolling_30d_import_gwh,rolling_90d_import_gwh,rolling_7d_export_gwh,rolling_30d_export_gwh,rolling_90d_export_gwh,rolling_7d_net_gwh,rolling_30d_net_gwh,rolling_90d_net_gwh
INTEW,Ireland(East-West),2021-07-01 00:00:00+00:00,48,-371.0416666666667,-534.0,-536.0,-19.599999999999966,,,,0.0,91.66666666666666,8.333333333333332,,,,,,,0.0,8.905000000000001,-8.905000000000001,,,,,,,,,
INTEW,Ireland(East-West),2021-07-02 00:00:00+00:00,48,-182.0,-70.0,-529.8,0.0,,,,4.166666666666666,64.58333333333334,31.25,,,,,,,0.045,4.413,-4.368,,,,,,,,,
INTEW,Ireland(East-West),2021-07-03 00:00:00+00:00,48,-69.75,0.0,-277.2,0.0,-207.59722222222226,,,0.0,45.83333333333333,54.166666666666664,1.3888888888888888,,,67.36111111111111,,,0.0,1.6740000000000002,-1.6740000000000002,0.045,,,14.992,,,-14.947000000000001,,
INTEW,Ireland(East-West),2021-07-04 00:00:00+00:00,48,-88.95833333333333,-82.0,-216.6,0.0,-177.9375,,,6.25,72.91666666666666,20.833333333333336,2.604166666666667,,,68.75,,,0.029,2.164,-2.1350000000000002,0.074,,,17.156000000000002,,,-17.082,,
INTEW,Ireland(East-West),2021-07-05 00:00:00+00:00,48,-251.70833333333334,-264.0,-536.0,0.0,-192.69166666666666,,,0.0,68.75,31.25,2.083333333333333,,,68.75,,,0.0,6.041,-6.041,0.074,,,23.197000000000003,,,-23.123,,
INTEW,Ireland(East-West),2021-07-06 00:00:00+00:00,48,-51.458333333333336,0.0,-163.2,0.0,-169.1527777777778,,,0.0,35.41666666666667,64.58333333333334,1.7361111111111112,,,63.19444444444444,,,0.0,1.235,-1.235,0.074,,,24.432000000000002,,,-24.358,,
INTEW,Ireland(East-West),2021-07-07 00:00:00+00:00,48,-146.66666666666666,-38.0,-529.8,0.0,-165.9404761904762,,,2.083333333333333,62.5,35.41666666666667,1.7857142857142856,,,63.095238095238095,,,0.002,3.5220000000000002,-3.52,0.076,,,27.954,,,-27.878,,
INTEW,Ireland(East-West),2021-07-08 00:00:00+00:00,48,-353.1666666666667,-491.0,-536.0,0.0,-163.38690476190476,,,0.0,83.33333333333334,16.666666666666664,1.7857142857142856,,,61.904761904761905,,,0.0,8.476,-8.476,0.076,,,27.525000000000002,,,-27.449,,
INTEW,Ireland(East-West),2021-07-09 00:00:00+00:00,48,-301.0833333333333,-348.0,-533.2,-13.399999999999991,-180.3988095238095,,,0.0,91.66666666666666,8.333333333333332,1.1904761904761905,,,65.77380952380952,,,0.0,7.226,-7.226,0.031,,,30.338,,,-30.307000000000002,,
INTEW,Ireland(East-West),2021-07-10 00:00:00+00:00,48,-305.7083333333333,-341.0,-536.0,-24.0,-214.10714285714286,-212.15416666666664,,0.0,93.75,6.25,1.1904761904761905,1.25,,72.61904761904762,71.04166666666667,,0.0,7.337000000000001,-7.337000000000001,0.031,0.076,,36.001000000000005,50.993,,-35.97,-50.917,
