interconnectorId,interconnectorName,week,samples,mean_signed_mw,p10_signed_mw,p25_signed_mw,median_signed_mw,p75_signed_mw,p90_signed_mw,mean_import_share_pct,mean_export_share_pct
INTGRNL,Ireland (Greenlink),37,7,-308.4226190476191,-449.1166666666667,-409.1666666666667,-354.2083333333333,-243.16666666666669,-102.51666666666661,9.821428571428571,80.65476190476191
INTGRNL,Ireland (Greenlink),38,7,-317.452380952381,-508.3916666666667,-455.64583333333337,-388.5416666666667,-247.47916666666669,-91.10833333333323,15.476190476190476,84.22619047619048
INTGRNL,Ireland (Greenlink),39,7,-373.99404761904765,-507.925,-505.1041666666667,-478.9583333333333,-408.75,-152.06666666666646,12.5,87.20238095238095
INTGRNL,Ireland (Greenlink),40,7,-160.79761904761904,-350.325,-305.375,-231.375,-100.66666666666666,94.9500000000001,34.523809523809526,65.47619047619048
INTGRNL,Ireland (Greenlink),41,7,-404.39285714285717,-513.5916666666666,-513.2708333333333,-485.0416666666667,-331.54166666666663,-216.24166666666662,8.928571428571429,91.07142857142857
INTGRNL,Ireland (Greenlink),42,7,-410.25595238095235,-514.0,-514.0,-499.4166666666667,-384.8958333333333,-208.33333333333326,8.630952380952381,91.07142857142857
INTGRNL,Ireland (Greenlink),43,7,-364.35714285714283,-491.40833333333336,-467.41666666666663,-377.5416666666667,-262.625,-223.86666666666665,8.928571428571429,90.47619047619048
INTGRNL,Ireland (Greenlink),44,7,-224.79166666666669,-438.76666666666665,-389.70833333333337,-256.25,-74.56250000000001,96.91666666666669,28.571428571428573,71.13095238095238
INTGRNL,Ireland (Greenlink),45,7,-380.3392857142857,-514.0,-499.125,-363.2083333333333,-302.6875,-244.36666666666662,11.011904761904761,88.69047619047619
INTGRNL,Ireland (Greenlink),46,7,-389.2261904761904,-499.525,-471.5833333333333,-436.75,-292.8333333333333,-270.0,8.928571428571429,90.77380952380952
INTGRNL,Ireland (Greenlink),47,7,-294.9583333333333,-485.3166666666666,-460.22916666666663,-324.5,-207.97916666666666,-70.6249999999999,22.023809523809526,77.38095238095238
INTGRNL,Ireland (Greenlink),48,7,-307.30357142857144,-502.85,-416.125,-258.1666666666667,-212.83333333333331,-169.09166666666664,18.154761904761905,77.97619047619048
INTGRNL,Ireland (Greenlink),49,7,-424.86309523809524,-500.075,-496.7083333333333,-487.125,-399.5,-298.29999999999995,5.654761904761904,94.04761904761904
INTGRNL,Ireland (Greenlink),50,7,-133.30357142857142,-318.025,-192.4375,-142.58333333333334,-31.562500000000007,62.33333333333335,45.23809523809524,53.86904761904763
INTGRNL,Ireland (Greenlink),51,7,-329.10714285714283,-512.3249999999999,-481.3333333333333,-407.5,-267.125,-72.75833333333323,19.940476190476186,80.05952380952381
INTGRNL,Ireland (Greenlink),52,7,-422.79166666666663,-506.51666666666665,-483.0,-409.5,-383.08333333333337,-349.9083333333333,1.1904761904761902,98.80952380952381
