interconnectorId,interconnectorName,season,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTIFA2,IFA2 (INTIFA2),Winter,21631,10815.5,56.86283574499561,43.03545836993204,0.10170588507234987,290.36974712218574,244.0,-956.0,-4.0,964.0,992.0,731.2611382113821,291.49468256525944,996.0,1030.0,4497.256,1356.7620000000002,3140.494,5854.018
INTIFA2,IFA2 (INTIFA2),Spring,22077,11038.5,78.19450106445622,21.733025320469267,0.07247361507451193,531.9402092675635,954.0,-1028.0,166.0,992.0,992.0,844.4363088686787,590.6335973322217,1178.0,1626.0,7288.752,1416.9300000000003,5871.822,8705.682
INTIFA2,IFA2 (INTIFA2),Summer,22074,11037.0,64.52840445773307,35.41270272719036,0.058892815076560655,333.2971822053094,610.0,-1028.0,-4.0,990.0,992.0,775.0484414490312,471.0999104515799,1156.0,1030.0,5519.895,1841.2939999999999,3678.601,7361.189
INTIFA2,IFA2 (INTIFA2),Autumn,21832,10916.0,47.17845364602418,52.74825943569073,0.07328691828508611,155.4107731769879,-2.0,-1030.0,-198.5,908.0,992.0,769.1811650485437,393.3343174713442,1398.0,1030.0,3961.2830000000004,2264.819,1696.464,6226.102
