interconnectorId,interconnectorName,month,month_name,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTELEC,Eleclink (INTELEC),1,Jan,5952,2976.0,58.06451612903226,16.633064516129032,25.30241935483871,336.039314516129,243.0,-682.0,0.0,948.0,998.0,710.2743055555555,459.1939393939394,1002.0,1024.0,1227.354,227.30100000000002,1000.0530000000001,1454.6550000000002
INTELEC,Eleclink (INTELEC),2,Feb,5424,2712.0,82.15339233038348,13.864306784660767,3.982300884955752,587.9070796460177,898.0,-346.0,166.0,998.0,998.0,772.1768402154398,335.1223404255319,1002.0,1024.0,1720.4099999999999,126.00599999999997,1594.4039999999998,1846.4160000000002
INTELEC,Eleclink (INTELEC),3,Mar,5952,2976.0,93.31317204301075,6.653225806451612,0.03360215053763441,775.3827284946236,994.0,-180.89999999999998,724.0,998.0,998.0,863.1948145480735,452.2878787878788,1260.0,1024.0,2397.0919999999996,89.55300000000001,2307.539,2486.645
INTELEC,Eleclink (INTELEC),4,Apr,5760,2880.0,92.56944444444444,7.34375,0.08680555555555555,776.6388888888889,996.0,-158.10000000000002,750.0,998.0,998.0,868.3732183045762,370.51063829787233,1000.0,1026.0,2315.083,78.363,2236.7200000000003,2393.446
INTELEC,Eleclink (INTELEC),5,May,6290,3145.0,82.82988871224165,4.642289348171701,12.527821939586644,735.8120826709062,996.0,0.0,698.0,998.0,998.0,921.12783109405,584.9931506849315,1000.0,910.0,2399.538,85.409,2314.129,2484.947
INTELEC,Eleclink (INTELEC),6,Jun,7198,3599.0,74.02056126701862,23.22867463184218,2.750764101139205,451.20255626562937,848.0,-908.0,0.0,996.0,998.0,824.5326576576576,685.0203349282297,1014.0,924.0,2196.5550000000003,572.6770000000001,1623.8780000000002,2769.232
INTELEC,Eleclink (INTELEC),7,Jul,5948,2974.0,63.16408876933423,29.169468728984533,7.666442501681238,299.1630800268998,615.0,-1024.0,-264.0,996.0,998.0,824.7165291455949,760.2524495677234,1102.0,1026.0,1549.23,659.519,889.7110000000002,2208.7490000000003
INTELEC,Eleclink (INTELEC),8,Aug,5952,2976.0,65.22177419354838,28.981854838709676,5.796370967741935,321.35215053763443,478.0,-1024.0,-116.0,996.0,998.0,753.5986604842865,587.12,1002.0,1026.0,1462.7350000000001,506.39099999999996,956.3440000000002,1969.126
INTELEC,Eleclink (INTELEC),9,Sep,5759,2879.5,62.858135092898074,32.36673033512763,4.775134571974301,248.3267928459802,582.0,-1024.0,-607.0,996.0,998.0,817.4359116022099,820.2811158798283,1002.0,1026.0,1479.5590000000002,764.5020000000002,715.057,2244.061
INTELEC,Eleclink (INTELEC),10,Oct,5952,2976.0,39.29771505376344,28.645833333333332,32.056451612903224,112.48756720430107,0.0,-1024.0,-4.0,862.0,998.0,792.0393330483113,693.8733137829912,1002.0,1026.0,926.29,591.527,334.763,1517.8169999999998
INTELEC,Eleclink (INTELEC),11,Nov,5760,2880.0,47.48263888888889,24.51388888888889,28.00347222222222,187.3826388888889,0.0,-1024.0,0.0,994.0,1000.0,807.5049360146252,799.7181303116147,1002.0,1028.0,1104.263,564.6010000000001,539.6619999999999,1668.864
INTELEC,Eleclink (INTELEC),12,Dec,5951,2975.5,56.12502100487313,18.01377919677365,25.86119979835322,310.21307343303647,182.0,-904.0,0.0,982.0,998.0,728.5335329341317,547.7835820895523,1000.0,1024.0,1216.651,293.61199999999997,923.039,1510.263
