interconnectorId,interconnectorName,month,month_name,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTIRL,Northern Ireland(Moyle),1,Jan,7434,3717.0,30.360505784234597,66.04788808178638,3.5916061339790155,-152.16276567124024,-252.0,-452.0,-450.0,76.0,394.0,231.395657953035,336.749083503055,404.0,486.0,261.13,826.719,-565.589,1087.849
INTIRL,Northern Ireland(Moyle),2,Feb,6764,3382.0,34.66883500887049,59.979302188054405,5.351862803075103,-120.45121230041396,-150.0,-452.0,-448.0,154.0,384.0,226.38720682302773,331.67611535617453,404.0,456.0,265.439,672.8050000000001,-407.366,938.244
INTIRL,Northern Ireland(Moyle),3,Mar,7438,3719.0,21.847270771712825,73.55471901048669,4.598010217800484,-196.78112395805323,-302.0,-452.0,-450.0,0.0,368.2999999999993,228.58092307692309,335.4235057576311,682.0,592.0,185.722,917.551,-731.829,1103.273
INTIRL,Northern Ireland(Moyle),4,Apr,7199,3599.5,19.30823725517433,75.8438672037783,4.847895541047368,-220.97708015002084,-326.0,-452.0,-452.0,-14.0,342.0,207.22446043165468,344.1128205128205,404.0,456.0,144.02100000000002,939.428,-795.407,1083.449
INTIRL,Northern Ireland(Moyle),5,May,7440,3720.0,17.956989247311828,78.83064516129032,3.21236559139785,-246.51451612903224,-366.0,-452.0,-452.0,-65.5,246.0,197.73203592814372,357.7558397271952,404.0,458.0,132.085,1049.1190000000001,-917.0340000000001,1181.2040000000002
INTIRL,Northern Ireland(Moyle),6,Jun,7198,3599.0,18.241178105029174,74.15948874687413,7.599333148096693,-223.34870797443733,-302.0,-452.0,-452.0,0.0,246.0,169.7989337395278,342.93930310977896,400.0,454.0,111.473,915.305,-803.8320000000001,1026.778
INTIRL,Northern Ireland(Moyle),7,Jul,7436,3718.0,6.414739107046799,66.81011296395913,26.77514792899408,-220.26681011296395,-270.0,-454.0,-450.0,0.0,26.0,135.40461215932913,342.6916264090177,400.0,458.0,32.294,851.246,-818.952,883.54
INTIRL,Northern Ireland(Moyle),8,Aug,7440,3720.0,26.559139784946233,68.23924731182795,5.201612903225807,-171.6260752688172,-232.0,-452.0,-446.0,16.0,256.09999999999854,176.52024291497975,320.20917864880835,404.0,454.0,174.40200000000002,812.851,-638.4490000000001,987.253
INTIRL,Northern Ireland(Moyle),9,Sep,7199,3599.5,23.66995416030004,73.35741075149326,2.972635088206695,-202.22725378524794,-294.0,-452.0,-451.0,0.0,306.1999999999989,173.45892018779344,331.6432493845862,500.0,506.0,147.787,875.704,-727.917,1023.491
INTIRL,Northern Ireland(Moyle),10,Oct,7437,3718.5,27.685894850073957,70.18959257765228,2.1245125722737663,-173.36910044372732,-300.0,-452.0,-452.0,42.0,400.0,253.19572608062165,346.8727969348659,404.0,456.0,260.665,905.338,-644.673,1166.0030000000002
INTIRL,Northern Ireland(Moyle),11,Nov,7196,3598.0,31.809338521400775,65.45302946081156,2.73763201778766,-148.74374652584768,-252.0,-452.0,-452.0,100.0,400.0,246.14154652686761,346.87430997876857,404.0,456.0,281.709,816.889,-535.1800000000001,1098.598
INTIRL,Northern Ireland(Moyle),12,Dec,7433,3716.5,36.55320866406565,60.67536660836809,2.771424727566259,-103.23987622763353,-126.0,-452.0,-430.0,178.0,400.0,244.34523371365478,317.35432372505545,404.0,456.0,331.943,715.634,-383.69100000000003,1047.577
