interconnectorId,interconnectorName,season,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTVKL,Denmark (Viking link),Winter,11616,5808.0,68.87913223140497,28.02169421487603,3.0991735537190084,428.05802341597797,674.0,-1092.0,-152.0,1066.5,1422.0,894.7926509186352,671.8629800307219,1426.0,1402.0,3579.6179999999995,1093.4569999999999,2486.161,4673.075
INTVKL,Denmark (Viking link),Spring,13248,6624.0,58.212560386473434,29.36292270531401,12.42451690821256,320.1681763285024,354.0,-1088.0,-180.0,986.0,1422.0,874.454356846473,643.2401028277635,1430.0,1456.0,3371.896,1251.102,2120.794,4622.9980000000005
INTVKL,Denmark (Viking link),Summer,10270,5135.0,54.800389483933785,36.27069133398248,8.928919182083739,210.67049659201558,211.0,-1094.0,-496.0,988.0,1424.0,879.270078180526,747.636510067114,1436.0,1454.0,2474.2659999999996,1392.473,1081.7930000000001,3866.7390000000005
INTVKL,Denmark (Viking link),Autumn,8736,4368.0,63.873626373626365,34.31776556776557,1.8086080586080588,337.22413003663,609.0,-1092.0,-474.0,992.0,1424.0,933.5978494623656,754.9986657771848,2480.0,1454.0,2604.738,1131.743,1472.995,3736.4809999999998
