interconnectorId,interconnectorName,calendar_month,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTNEM,Belgium (Nemolink),2021-07,1488,744.0,99.73118279569893,0.2688172043010753,0.0,896.3965053763441,948.0,686.0,806.0,1000.0,1020.0,899.8504043126685,385.0,1020.0,436.0,667.689,0.77,666.919,668.459
INTNEM,Belgium (Nemolink),2021-08,1488,744.0,100.0,0.0,0.0,849.8763440860215,854.0,633.4000000000001,754.0,1000.0,1020.0,849.8763440860215,,1020.0,0.0,632.308,0.0,632.308,632.308
INTNEM,Belgium (Nemolink),2021-09,1440,720.0,86.73611111111111,1.7361111111111112,11.527777777777779,743.5138888888889,876.0,0.0,706.0,1000.0,1020.0,861.8430744595677,231.28,1020.0,654.0,538.221,2.891,535.3299999999999,541.1120000000001
INTNEM,Belgium (Nemolink),2021-10,1485,742.5,94.88215488215488,4.915824915824916,0.20202020202020202,754.6558922558922,912.0,0.0,670.0,1000.0,1020.0,816.0198722498226,398.73972602739724,1020.0,806.0,574.886,14.553999999999998,560.332,589.44
INTNEM,Belgium (Nemolink),2021-11,1436,718.0,81.68523676880223,17.40947075208914,0.9052924791086351,440.83008356545963,588.0,-708.0,172.0,844.0,1000.0,643.2855924978687,486.168,1020.0,1020.0,377.287,60.771,316.5160000000001,438.058
INTNEM,Belgium (Nemolink),2021-12,1482,741.0,90.48582995951418,9.244264507422402,0.2699055330634278,690.7476383265857,896.0,-349.8,552.0,1000.0,1020.0,806.0805369127517,418.0,1020.0,1020.0,540.4770000000001,28.633000000000003,511.84399999999994,569.11
INTNEM,Belgium (Nemolink),2022-01,1482,741.0,88.25910931174089,11.538461538461538,0.20242914979757085,636.1578947368421,846.0,-573.9,506.5,998.0,1020.0,790.7859327217126,535.4502923976609,1020.0,1022.0,517.174,45.781000000000006,471.393,562.9549999999999
INTNEM,Belgium (Nemolink),2022-02,1340,670.0,92.53731343283582,7.08955223880597,0.3731343283582089,728.9014925373134,906.0,-98.1,595.0,1000.0,1020.0,809.8548387096774,289.38947368421054,1020.0,1020.0,502.10999999999996,13.746000000000002,488.364,515.856
INTNEM,Belgium (Nemolink),2022-03,1486,743.0,89.2328398384926,10.632570659488561,0.13458950201884254,650.7873485868103,820.0,-328.5,469.5,1000.0,1018.0,772.9683257918552,366.36708860759495,1020.0,1016.0,512.4780000000001,28.943,483.535,541.421
INTNEM,Belgium (Nemolink),2022-04,1439,719.5,69.63168867268936,29.951355107713688,0.4169562195969423,329.0590687977762,554.0,-1020.0,-130.0,988.0,1000.0,725.2155688622754,587.3549883990719,1020.0,1022.0,363.33299999999997,126.57500000000005,236.75799999999995,489.908
