interconnectorId,interconnectorName,month,month_name,observations,duration_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,median_signed_mw,p05_signed_mw,p25_signed_mw,p75_signed_mw,p95_signed_mw,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,import_gwh,export_gwh,net_gwh,abs_flow_gwh
INTFR,France(IFA),1,Jan,7434,3717.0,71.8321226795803,27.99300511164918,0.17487220877051385,576.2824858757062,826.0,-1041.3999999999999,-156.0,1474.0,1962.0,1082.0074906367042,717.8452666987025,2630.0,2072.0,2888.96,746.9180000000001,2142.0420000000004,3635.878
INTFR,France(IFA),2,Feb,6764,3382.0,79.90833826138379,19.736842105263158,0.35481963335304556,868.9544648137197,1008.0,-833.6999999999999,188.0,1508.0,2000.0,1236.2963922294173,602.6771535580524,2020.0,2056.0,3341.091,402.2869999999999,2938.804,3743.378
INTFR,France(IFA),3,Mar,7438,3719.0,82.48184995966658,17.38370529712288,0.13444474321054048,1046.4224253831676,1357.0,-512.0,418.0,1848.0,2002.0,1352.0029339853302,395.3967517401392,2142.0,2056.0,4147.269,255.624,3891.6450000000004,4402.893
INTFR,France(IFA),4,Apr,7199,3599.5,78.26086956521739,21.544658980413946,0.1944714543686623,645.8324767328795,1000.0,-1028.0,182.0,1004.0,1510.0,997.2857649982251,624.990328820116,2008.0,1986.0,2809.3540000000003,484.68,2324.674,3294.034
INTFR,France(IFA),5,May,7440,3720.0,80.09408602150538,19.731182795698928,0.17473118279569894,893.6591397849462,1077.0,-1028.0,507.5,1508.0,2000.0,1308.1825809699615,781.0871934604904,2012.0,1390.0,3897.7300000000005,573.3180000000001,3324.412,4471.048
INTFR,France(IFA),6,Jun,7198,3599.0,77.16032231175326,22.742428452347873,0.0972492358988608,797.286468463462,1120.0,-1032.0,155.0,1502.0,2004.0,1248.375945264674,729.7568723274283,2010.0,1514.0,3466.7400000000002,597.306,2869.434,4064.0460000000003
INTFR,France(IFA),7,Jul,7436,3718.0,72.22969338353954,27.649273803119957,0.12103281334050564,853.0820333512642,1260.0,-1034.0,-310.0,1914.5,2006.0,1499.0415192701546,830.6585603112841,2548.0,1964.0,4025.6760000000004,853.917,3171.7590000000005,4879.593
INTFR,France(IFA),8,Aug,7440,3720.0,76.30376344086022,23.481182795698924,0.21505376344086022,894.4637096774194,1232.0,-1030.0,68.0,1852.0,2006.0,1373.9126299101638,655.3474527761878,2174.0,2054.0,3899.851,572.446,3327.4050000000007,4472.2970000000005
INTFR,France(IFA),9,Sep,7199,3599.5,62.8420613974163,17.47464925684123,19.683289345742462,532.8798444228365,594.0,-978.1999999999999,0.0,1000.0,2004.0,1013.8978779840849,596.718600953895,2010.0,1034.0,2293.437,375.336,1918.101,2668.773
INTFR,France(IFA),10,Oct,7437,3718.5,57.590426247142666,20.10219174398279,22.307382008874548,428.73873873873873,428.0,-864.4,0.0,1000.0,1506.0,931.9752509922952,537.2040133779265,2008.0,1032.0,1995.8249999999998,401.56,1594.2649999999999,2397.385
INTFR,France(IFA),11,Nov,7196,3598.0,66.20344635908837,33.574207893274036,0.22234574763757642,520.4963868816009,749.0,-1030.0,-412.0,1496.0,2000.0,1128.138539042821,674.2384105960265,2008.0,1532.0,2687.226,814.48,1872.746,3501.706
INTFR,France(IFA),12,Dec,7433,3716.5,67.22722992062424,32.611327862235974,0.16144221713978205,546.7380600026908,712.0,-1028.0,-300.0,1492.0,2002.0,1136.7088252951771,666.7615511551155,2040.0,2070.0,2840.067,808.115,2031.952,3648.1820000000002
