interconnectorId,interconnectorName,date,observations,mean_signed_mw,mean_import_mw,mean_export_mw,median_signed_mw,p10_signed_mw,p90_signed_mw,mean_active_capacity_mw,mean_signed_pct_active_capacity,mean_import_pct_active_capacity,mean_export_pct_active_capacity,mean_available_interconnector_count,rolling_7d_mean_signed_mw,rolling_30d_mean_signed_mw,rolling_90d_mean_signed_mw,rolling_30d_mean_import_mw,rolling_30d_mean_export_mw,rolling_30d_mean_active_capacity_mw,rolling_30d_mean_signed_pct_active_capacity,rolling_30d_mean_import_pct_active_capacity,rolling_30d_mean_export_pct_active_capacity,rolling_30d_mean_available_interconnector_count,import_share_pct,export_share_pct,near_zero_share_pct,rolling_7d_import_share_pct,rolling_30d_import_share_pct,rolling_90d_import_share_pct,rolling_7d_export_share_pct,rolling_30d_export_share_pct,rolling_90d_export_share_pct,import_gwh,export_gwh,net_gwh,rolling_7d_import_gwh,rolling_30d_import_gwh,rolling_90d_import_gwh,rolling_7d_export_gwh,rolling_30d_export_gwh,rolling_90d_export_gwh,rolling_7d_net_gwh,rolling_30d_net_gwh,rolling_90d_net_gwh
INTIFA2,IFA2 (INTIFA2),2021-07-01 00:00:00+00:00,48,916.125,916.125,0.0,962.0,800.0,992.0,,,,,,,,,,,,,,,,100.0,0.0,0.0,,,,,,,21.987000000000002,0.0,21.987000000000002,,,,,,,,,
INTIFA2,IFA2 (INTIFA2),2021-07-02 00:00:00+00:00,48,950.3333333333334,950.3333333333334,0.0,992.0,849.4,992.0,,,,,,,,,,,,,,,,100.0,0.0,0.0,,,,,,,22.808,0.0,22.808,,,,,,,,,
INTIFA2,IFA2 (INTIFA2),2021-07-03 00:00:00+00:00,48,873.1666666666666,873.1666666666666,0.0,895.0,752.0,992.0,,,,,,913.2083333333334,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,20.956,0.0,20.956,65.751,,,0.0,,,65.751,,
INTIFA2,IFA2 (INTIFA2),2021-07-04 00:00:00+00:00,48,867.2083333333334,867.2083333333334,0.0,943.0,702.0,992.0,,,,,,901.7083333333334,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,20.813,0.0,20.813,86.564,,,0.0,,,86.564,,
INTIFA2,IFA2 (INTIFA2),2021-07-05 00:00:00+00:00,48,858.1666666666666,858.1666666666666,0.0,906.0,686.8,992.0,,,,,,893.0,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,20.596,0.0,20.596,107.16,,,0.0,,,107.16,,
INTIFA2,IFA2 (INTIFA2),2021-07-06 00:00:00+00:00,48,826.0416666666666,826.0416666666666,0.0,822.0,684.0,988.6,,,,,,881.8402777777778,,,,,,,,,,100.0,0.0,0.0,100.0,,,0.0,,,19.825,0.0,19.825,126.985,,,0.0,,,126.985,,
INTIFA2,IFA2 (INTIFA2),2021-07-07 00:00:00+00:00,48,465.0,466.5833333333333,1.5833333333333333,684.0,-4.0,917.6,,,,,,822.2916666666667,,,,,,,,,,60.416666666666664,39.58333333333333,0.0,94.34523809523809,,,5.654761904761903,,,11.198,0.038,11.16,138.183,,,0.038,,,138.145,,
INTIFA2,IFA2 (INTIFA2),2021-07-08 00:00:00+00:00,48,920.2083333333334,920.2083333333334,0.0,985.0,828.0,992.0,,,,,,822.875,,,,,,,,,,100.0,0.0,0.0,94.34523809523809,,,5.654761904761903,,,22.085,0.0,22.085,138.281,,,0.038,,,138.243,,
INTIFA2,IFA2 (INTIFA2),2021-07-09 00:00:00+00:00,48,706.5416666666666,706.5416666666666,0.0,703.0,649.6,750.0,,,,,,788.0476190476192,,,,,,,,,,100.0,0.0,0.0,94.34523809523809,,,5.654761904761903,,,16.957,0.0,16.957,132.43,,,0.038,,,132.392,,
INTIFA2,IFA2 (INTIFA2),2021-07-10 00:00:00+00:00,48,713.375,713.375,0.0,684.0,682.0,846.0,,,,,,765.2202380952382,809.6166666666667,,809.775,0.15833333333333333,,,,,,100.0,0.0,0.0,94.34523809523809,96.04166666666667,,5.654761904761903,3.9583333333333326,,17.121000000000002,0.0,17.121000000000002,128.595,194.346,,0.038,0.038,,128.557,194.308,
