wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,direction_observations,bin_lower_mw,bin_upper_mw,bin_mid_mw,bin_count,bin_probability_pct,pdf_density_per_mw
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2100.0,2200.0,2150.0,114,0.8816023509396025,8.816023509396025e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2200.0,2300.0,2250.0,126,0.9744025984069291,9.744025984069291e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2300.0,2400.0,2350.0,154,1.1909365091640245,0.00011909365091640244
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2400.0,2500.0,2450.0,143,1.1058696156523085,0.00011058696156523084
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2500.0,2600.0,2550.0,121,0.9357358286288763,9.357358286288763e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2600.0,2700.0,2650.0,132,1.0208027221405924,0.00010208027221405925
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2700.0,2800.0,2750.0,181,1.3997370659655093,0.00013997370659655093
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2800.0,2900.0,2850.0,170,1.3146701724537933,0.00013146701724537933
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,2900.0,3000.0,2950.0,193,1.4925373134328357,0.00014925373134328358
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3000.0,3100.0,3050.0,200,1.5466707911221096,0.00015466707911221097
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3100.0,3200.0,3150.0,173,1.337870234320625,0.00013378702343206248
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3200.0,3300.0,3250.0,183,1.4152037738767302,0.00014152037738767305
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3300.0,3400.0,3350.0,251,1.9410718428582476,0.00019410718428582475
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3400.0,3500.0,3450.0,229,1.7709380558348156,0.00017709380558348156
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3500.0,3600.0,3550.0,280,2.165339107570954,0.00021653391075709537
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3600.0,3700.0,3650.0,282,2.1808058154821746,0.00021808058154821749
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,3700.0,3800.0,3750.0,424,3.2789420771788724,0.00032789420771788723
