wind_metric,wind_metric_label,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,wind_bucket_observations,mean_wind_mw,min_wind_mw,max_wind_mw,direction_observations,direction_duration_hours,direction_share_pct,mean_level_mw,P0,P10,P20,P30,P40,P50,P60,P70,P75,P80,P85,P90,P95,P100
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,12862,3887.8469440211475,2830.6159999999995,5018.745599999998,2533,1266.5,19.693671279738766,678.0742202921437,2.0,72.0,232.0,429.20000000000005,668.0,878.0,922.0,1022.0,1022.0,1022.0,1024.0,1024.0,1024.0,1026.0
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),40_60pct,import,import_mw_conditional_on_importing,12871,6270.893215150338,5018.8512,7611.486599999997,8686,4343.0,67.4850438971331,815.2360119732904,2.0,296.0,574.0,820.0,950.0,994.0,996.0,996.0,998.0,998.0,998.0,998.0,998.0,1258.0
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,12871,6270.893215150338,5018.8512,7611.486599999997,2587,1293.5,20.099448372309844,704.6501739466563,2.0,87.20000000000005,270.0,512.0,784.8000000000002,856.0,948.0,1022.0,1022.0,1024.0,1024.0,1024.0,1024.0,1026.0
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),60_80pct,import,import_mw_conditional_on_importing,12364,9105.177387301845,7611.787199999998,10784.430800000004,7617,3808.5,61.60627628599159,783.9847709071813,2.0,252.0,476.4000000000001,728.0,900.0,988.0,996.0,996.0,998.0,998.0,998.0,998.0,998.0,1260.0
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,12364,9105.177387301845,7611.787199999998,10784.430800000004,2898,1449.0,23.43901649951472,621.0310559006211,2.0,82.0,198.0,342.20000000000005,559.5999999999999,752.0,806.0,916.0,992.0,1022.0,1022.0,1024.0,1024.0,1028.0
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),highest_20pct,import,import_mw_conditional_on_importing,13378,12868.123311346986,10784.7864,17142.889999999996,7838,3919.0,58.588727761997305,727.4276601173768,2.0,170.0,356.0,570.1999999999998,764.0,911.0,992.0,996.0,998.0,998.0,998.0,998.0,998.0,1014.0
wind_actual_mw,Actual wind output,INTELEC,Eleclink (INTELEC),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,13378,12868.123311346986,10784.7864,17142.889999999996,3212,1606.0,24.00956794737629,615.1513075965131,2.0,76.0,174.0,320.0,496.0,690.0,822.0,998.0,1022.0,1022.0,1022.0,1024.0,1024.0,1026.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),lowest_20pct,import,import_mw_conditional_on_importing,15712,1651.2823973523423,-115.2388,2830.466,2140,1070.0,13.620162932790226,232.6448598130841,2.0,22.0,52.0,84.0,136.0,194.0,268.0,358.0,394.5,450.8000000000002,490.0,504.0,504.0,504.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,1651.2823973523423,-115.2388,2830.466,8550,4275.0,54.41700610997964,352.0643274853801,2.0,56.0,136.0,228.0,324.0,410.0,506.0,528.0,528.0,528.0,530.0,530.0,534.0,536.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),20_40pct,import,import_mw_conditional_on_importing,15705,3893.593370518943,2830.6159999999995,5018.745599999998,2297,1148.5,14.625915313594396,239.33304309969526,2.0,22.0,58.0,96.0,150.0,218.0,282.0,356.0,394.0,460.0,500.0,504.0,504.0,504.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,3893.593370518943,2830.6159999999995,5018.745599999998,8876,4438.0,56.51703279210443,356.6171698963497,2.0,54.0,144.0,238.0,336.0,425.0,510.0,528.0,528.0,528.0,530.0,530.0,532.0,586.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),40_60pct,import,import_mw_conditional_on_importing,15712,6261.010603245926,5018.818,7611.486599999997,3066,1533.0,19.513747454175153,239.79386823222438,2.0,20.0,56.0,92.0,150.0,204.0,276.0,362.0,422.0,484.0,504.0,504.0,504.0,504.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,6261.010603245926,5018.818,7611.486599999997,8255,4127.5,52.53946028513238,356.40048455481525,2.0,52.0,134.0,232.0,338.0,436.0,518.0,528.0,528.0,528.0,530.0,530.0,532.0,586.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),60_80pct,import,import_mw_conditional_on_importing,15705,9147.22514184018,7611.787199999998,10784.568000000003,3047,1523.5,19.401464501751033,240.77715786019036,2.0,20.0,56.0,96.0,154.0,204.0,274.0,366.0,420.0,478.0,504.0,504.0,504.0,504.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,9147.22514184018,7611.787199999998,10784.568000000003,8457,4228.5,53.84909264565425,351.05876788459267,2.0,44.0,112.0,212.0,330.0,434.0,524.0,528.0,528.0,530.0,530.0,532.0,532.0,588.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),highest_20pct,import,import_mw_conditional_on_importing,15710,12713.216694793125,10784.598000000004,17142.889999999996,3631,1815.5,23.112667091024825,228.50179014045716,2.0,20.0,52.0,86.0,144.0,204.0,254.0,340.0,378.0,432.0,484.0,504.0,504.0,504.0
wind_actual_mw,Actual wind output,INTEW,Ireland(East-West),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15710,12713.216694793125,10784.598000000004,17142.889999999996,7688,3844.0,48.93698281349459,333.99921956295526,2.0,34.0,86.0,182.0,290.0,384.0,500.0,528.0,528.0,530.0,530.0,532.0,532.0,542.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),lowest_20pct,import,import_mw_conditional_on_importing,15712,1651.2823973523423,-115.2388,2830.466,11720,5860.0,74.59266802443992,1302.6476109215016,2.0,483.8000000000002,816.0,998.0,1006.0,1358.0,1508.0,1814.0,1966.0,2000.0,2004.0,2004.0,2004.0,2548.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,1651.2823973523423,-115.2388,2830.466,3374,1687.0,21.474032586558046,636.127445168939,2.0,86.0,250.0,398.0,528.0,691.0,834.0,976.1999999999998,1024.0,1030.0,1030.0,1032.0,1032.0,1842.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),20_40pct,import,import_mw_conditional_on_importing,15705,3893.593370518943,2830.6159999999995,5018.745599999998,11926,5963.0,75.9375994906081,1277.437028341439,2.0,478.0,838.0,1000.0,1004.0,1340.0,1502.0,1684.0,1846.0,1966.0,2000.0,2004.0,2006.0,2174.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,3893.593370518943,2830.6159999999995,5018.745599999998,3110,1555.0,19.802610633556192,656.708038585209,2.0,90.0,278.0,442.0,528.0,696.0,818.0,972.0,1024.0,1030.0,1030.0,1032.0,1034.0,2056.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),40_60pct,import,import_mw_conditional_on_importing,15712,6261.010603245926,5018.818,7611.486599999997,11186,5593.0,71.1939918533605,1217.7816913999643,2.0,414.0,748.0,996.0,1004.0,1216.0,1390.0,1508.0,1680.0,1860.0,1992.0,2002.0,2004.0,2094.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,15712,6261.010603245926,5018.818,7611.486599999997,3816,1908.0,24.287169042769857,636.1430817610063,2.0,50.0,200.0,404.0,514.0,674.0,814.0,974.0,1024.0,1028.0,1030.0,1032.0,1036.0,2056.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),60_80pct,import,import_mw_conditional_on_importing,15705,9147.22514184018,7611.787199999998,10784.568000000003,10335,5167.5,65.80706781279846,1116.8456700532172,2.0,306.0,597.6000000000004,860.0,998.0,1006.0,1314.0,1502.0,1506.0,1578.800000000003,1838.0,1998.0,2002.0,2142.0
wind_actual_mw,Actual wind output,INTFR,France(IFA),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,15705,9147.22514184018,7611.787199999998,10784.568000000003,4710,2355.0,29.990448901623683,644.1371549893843,2.0,98.0,246.0,397.4000000000001,514.0,641.0,814.0,972.0,1022.0,1028.0,1030.0,1030.0,1093.1000000000004,2072.0
