interconnectorId,interconnectorName,wind_metric,wind_metric_label,flow_metric,flow_metric_label,wind_lag_hours,lag_interpretation,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,0.17980597265497117,0.1674713724610299,6733.828084312127,1728.2382199999997,12506.127160000007,-143.93999898130699,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,0.1239217089623655,0.11453912855153488,6733.491001695995,1728.27554,12505.747720000001,-143.9594591153327,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,0,same half-hour,78544,0.06577811353182156,0.05991602924128282,6733.151311840497,1728.3227600000002,12505.551099999995,-143.97160827052352,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,0.024327709675780376,0.02069390279105314,6732.698635098932,1728.27554,12504.319900000002,-143.97927118082967,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.002025046289290453,-0.005325829362491572,6732.216536581266,1728.2382199999997,12503.143239999996,-143.98319156522183,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.022892762930010066,-0.029337966542093894,6731.472160998473,1727.9028000000003,12502.725640000002,-143.92598064187467,-530.0,172.0
INTEW,Ireland(East-West),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.007099811543292824,-0.01218486670691806,6730.668547248267,1727.4746999999998,12503.378999999997,-143.8327558092132,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,0.11660968234140721,0.11462548348239031,7434.781937060645,1736.4009999999998,14315.143833333303,-143.77237056665308,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,0.2137232048497786,0.20330995221939369,7432.947246376876,1735.2858800000004,14314.435246666735,-143.88069281711665,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,0.1764447818372527,0.16386796349628632,7432.132740048801,1735.3412600000004,14314.239199999998,-143.93999898130699,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,0.12317041972380639,0.1130404368562211,7431.742309652809,1735.37642,14314.2344,-143.9594591153327,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,0,same half-hour,78544,0.06551866167588835,0.05942501656608472,7431.349280167962,1735.4318,14314.205199999842,-143.97160827052352,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,0.01952676773016984,0.01714938710596871,7430.441289919687,1735.37642,14312.192790774636,-143.97927118082967,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.011961817145274776,-0.012111561727054292,7429.591266456091,1735.3412600000004,14309.454251111049,-143.98319156522183,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.0408265925319161,-0.04137167652264711,7428.460638051405,1735.2858800000004,14308.723580000054,-143.92598064187467,-530.0,172.0
INTEW,Ireland(East-West),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.02550808461380953,-0.024747585352432832,7427.618638111026,1735.164,14308.935566666665,-143.8327558092132,-530.0,172.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,-0.07068724441634276,-0.08144234712738901,6736.157023379535,1728.8649,12507.000199999999,665.4930951895637,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,-0.13302752785967856,-0.13494484531288212,6734.535870621497,1727.9028000000003,12506.48420000001,665.6720326031584,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,-0.15527459789290085,-0.15627150743112245,6733.828084312127,1728.2382199999997,12506.127160000007,665.6975500432944,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,-0.1644838553245139,-0.16655448378926546,6733.491001695995,1728.27554,12505.747720000001,665.6676513280196,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,0,same half-hour,78544,-0.16877868538426954,-0.17165392559630338,6733.151311840497,1728.3227600000002,12505.551099999995,665.591872071705,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,-0.16070489419824366,-0.1635118585601465,6732.698635098932,1728.27554,12504.319900000002,665.5199266597061,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.14247930308831447,-0.14468489260456377,6732.216536581266,1728.2382199999997,12503.143239999996,665.4457291295269,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.09726138479708613,-0.09914272452210449,6731.472160998473,1727.9028000000003,12502.725640000002,665.2770249617931,-858.0,1998.0
INTFR,France(IFA),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.02690394494706686,-0.03645890216730506,6730.668547248267,1727.4746999999998,12503.378999999997,664.8978291887485,-860.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,78496,-0.06191397064385255,-0.07626017482335719,7434.781937060645,1736.4009999999998,14315.143833333303,665.4930951895637,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,78520,-0.11813595690227563,-0.12435779587959067,7432.947246376876,1735.2858800000004,14314.435246666735,665.6720326031584,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,78532,-0.14730321718684478,-0.14914109963698058,7432.132740048801,1735.3412600000004,14314.239199999998,665.6975500432944,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,78538,-0.16258629488003587,-0.16243385411790018,7431.742309652809,1735.37642,14314.2344,665.6676513280196,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,0,same half-hour,78544,-0.1704615369293891,-0.16913063845777607,7431.349280167962,1735.4318,14314.205199999842,665.591872071705,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,78538,-0.1598624611146924,-0.15944206413391532,7430.441289919687,1735.37642,14312.192790774636,665.5199266597061,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,78532,-0.13711924891274652,-0.13836660027688427,7429.591266456091,1735.3412600000004,14309.454251111049,665.4457291295269,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,78520,-0.0828798408029674,-0.08868399742301496,7428.460638051405,1735.2858800000004,14308.723580000054,665.2770249617931,-858.0,1998.0
INTFR,France(IFA),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,78496,-0.01880059026085258,-0.03017587393511152,7427.618638111026,1735.164,14308.935566666665,664.8978291887485,-860.0,1998.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,15936,0.2715555785978073,0.25135078772521624,7348.022655384037,2298.9001,13407.562699999995,-347.76618975903614,-514.0,90.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,15960,0.37612051018069886,0.339268072881163,7344.867749686717,2300.4895400000005,13402.552060000002,-348.0161654135338,-514.0,90.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,15972,0.3230993038534194,0.2921167126951295,7345.910941647884,2301.3090599999996,13401.496040000004,-348.140871525169,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,15978,0.25696349468918733,0.23001434942583504,7346.949779471774,2301.6394199999995,13401.47228,-348.20240330454374,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,0,same half-hour,15984,0.18623843771386542,0.16164601602875622,7348.08032967968,2301.91542,13401.345679999999,-348.26463963963965,-514.0,85.40000000000146
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,15978,0.13161454407626416,0.10418645676272616,7346.086165715358,2301.6394199999995,13401.47228,-348.21254224558766,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,15972,0.09406273981933469,0.0636910320505627,7343.9461810167795,2301.3090599999996,13401.496040000004,-348.16003005259205,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,15960,0.053277334803481055,0.019675890907707817,7340.743949498747,2300.4895400000005,13402.552060000002,-348.03533834586466,-514.0,90.0
INTGRNL,Ireland (Greenlink),wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,15936,0.061041192054796856,0.037131020951654874,7337.70316498494,2298.9001,13407.562699999995,-348.5258534136546,-514.0,83.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-24,negative means wind follows interconnector position,15936,0.29630404778820235,0.2685936030933017,8531.389918753715,2331.4887,16318.721599999295,-347.76618975903614,-514.0,90.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-12,negative means wind follows interconnector position,15960,0.3996667326210629,0.3559813772922672,8526.520132251308,2334.69382,16308.459824444362,-348.0161654135338,-514.0,90.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-6,negative means wind follows interconnector position,15972,0.3556534396470782,0.312640960384626,8527.068382666735,2335.7113400000007,16307.744499849532,-348.140871525169,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,-3,negative means wind follows interconnector position,15978,0.29421207625729123,0.25408115457828745,8527.896707898206,2335.7637799999998,16307.498833283184,-348.20240330454374,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,0,same half-hour,15984,0.2223061092144655,0.18660414736307834,8528.691885343522,2335.8577999999998,16307.235739977865,-348.26463963963965,-514.0,85.40000000000146
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,3,positive means wind leads interconnector position,15978,0.16100569056699476,0.12662005202564922,8524.640834993796,2335.7637799999998,16300.003347402271,-348.21254224558766,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,6,positive means wind leads interconnector position,15972,0.11775421548777963,0.08351307409140282,8520.872437462323,2335.7113400000007,16285.196893333177,-348.16003005259205,-514.0,86.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,12,positive means wind leads interconnector position,15960,0.07027546879681862,0.034445831357801084,8516.130484562338,2334.69382,16283.769873333518,-348.03533834586466,-514.0,90.0
INTGRNL,Ireland (Greenlink),wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,24,positive means wind leads interconnector position,15936,0.05893862662754749,0.030070229462243008,8513.621100086695,2331.4887,16290.047644305487,-348.5258534136546,-514.0,83.0
