interconnectorId,interconnectorName,season,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTELEC,Eleclink (INTELEC),Autumn,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,364,-0.03900180282282033,-0.0419677247102994,7603.279669271718,2721.2209129166667,12416.474820416666,182.48118549081198,-974.6333333333333,990.75
INTELEC,Eleclink (INTELEC),Autumn,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,364,-0.003930376354784942,-0.015746362015225602,7603.279669271718,2721.2209129166667,12416.474820416666,402.39181696926266,0.0,990.75
INTELEC,Eleclink (INTELEC),Autumn,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,364,0.06724028947085153,0.14082290657747226,7603.279669271718,2721.2209129166667,12416.474820416666,219.91063147845065,0.0,974.6333333333333
INTELEC,Eleclink (INTELEC),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,364,-0.005866481915208259,-0.02292832931090036,8584.523123974419,2811.657709999999,14546.45487567709,182.48118549081198,-974.6333333333333,990.75
INTELEC,Eleclink (INTELEC),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,364,0.002268270678968105,-0.013345780774802168,8584.523123974419,2811.657709999999,14546.45487567709,402.39181696926266,0.0,990.75
INTELEC,Eleclink (INTELEC),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,364,0.013252682255089679,0.0988951954689492,8584.523123974419,2811.657709999999,14546.45487567709,219.91063147845065,0.0,974.6333333333333
INTELEC,Eleclink (INTELEC),Spring,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,284,-0.13000663654974726,-0.23469925570245015,6114.282292178888,2256.326915416667,10969.5374075,712.5671884568279,0.0,996.0
INTELEC,Eleclink (INTELEC),Spring,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,284,-0.12971207216072497,-0.23347807800933398,6114.282292178888,2256.326915416667,10969.5374075,748.2604102878139,154.56666666666666,996.0
INTELEC,Eleclink (INTELEC),Spring,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,284,0.08776563443152394,0.18301883520538853,6114.282292178888,2256.326915416667,10969.5374075,35.69322183098592,0.0,88.87916666666668
INTELEC,Eleclink (INTELEC),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,284,-0.13332325683796975,-0.2399341219863075,6671.662927667554,2282.695721111114,12511.373736905565,712.5671884568279,0.0,996.0
INTELEC,Eleclink (INTELEC),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,284,-0.13906647191018717,-0.23917910014300026,6671.662927667554,2282.695721111114,12511.373736905565,748.2604102878139,154.56666666666666,996.0
INTELEC,Eleclink (INTELEC),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,284,0.07310550436592059,0.18271890953011147,6671.662927667554,2282.695721111114,12511.373736905565,35.69322183098592,0.0,88.87916666666668
INTELEC,Eleclink (INTELEC),Summer,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,367,0.03904704777762949,0.0019977497703243304,5036.573339507646,1921.2724500000002,8990.241617500002,324.6376165684044,-866.7833333333333,991.4250000000001
INTELEC,Eleclink (INTELEC),Summer,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,367,-0.029204054963020542,0.0006780111434816985,5036.573339507646,1921.2724500000002,8990.241617500002,522.9584142033858,0.0,991.4250000000001
INTELEC,Eleclink (INTELEC),Summer,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,367,-0.11530136589980977,-0.014273977643083023,5036.573339507646,1921.2724500000002,8990.241617500002,198.32079763498155,0.0,866.7833333333334
INTELEC,Eleclink (INTELEC),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,367,0.051024115463741276,0.028256664116825838,5665.305731325095,1939.5462750000002,10717.55775000001,324.6376165684044,-866.7833333333333,991.4250000000001
INTELEC,Eleclink (INTELEC),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,367,-0.0196999759013229,0.026467265240225493,5665.305731325095,1939.5462750000002,10717.55775000001,522.9584142033858,0.0,991.4250000000001
INTELEC,Eleclink (INTELEC),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,367,-0.12839851201798672,-0.0389777411248234,5665.305731325095,1939.5462750000002,10717.55775000001,198.32079763498155,0.0,866.7833333333334
INTELEC,Eleclink (INTELEC),Winter,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,302,0.010026018565314336,-0.010396152071480286,9137.2562513747,3984.2341891666674,13519.86671375,338.9595427645484,-195.71666666666664,949.4875000000001
INTELEC,Eleclink (INTELEC),Winter,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,302,0.031248399907347714,0.010752386317633209,9137.2562513747,3984.2341891666674,13519.86671375,425.40337172983897,0.0,949.4875000000001
INTELEC,Eleclink (INTELEC),Winter,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,302,0.038901909741851794,0.12979654251982142,9137.2562513747,3984.2341891666674,13519.86671375,86.4438289652905,0.0,314.30416666666724
INTELEC,Eleclink (INTELEC),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,302,-0.013510340749946696,-0.03369060543003657,10032.237082309237,4224.0601004166665,15467.960116068436,338.9595427645484,-195.71666666666664,949.4875000000001
INTELEC,Eleclink (INTELEC),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,302,-0.014049061309411682,-0.031718168019210326,10032.237082309237,4224.0601004166665,15467.960116068436,425.40337172983897,0.0,949.4875000000001
INTELEC,Eleclink (INTELEC),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,302,0.006175557074998365,0.11009482750985378,10032.237082309237,4224.0601004166665,15467.960116068436,86.4438289652905,0.0,314.30416666666724
INTEW,Ireland(East-West),Autumn,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,455,0.09566267469843256,0.0944155693392416,7311.240373339913,2359.0603616666667,12158.771563333334,-150.57468147794236,-459.09166666666664,140.06666666666666
INTEW,Ireland(East-West),Autumn,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,455,0.0997979466589268,0.148483305577672,7311.240373339913,2359.0603616666667,12158.771563333334,43.981627769393725,0.0,177.33333333333334
INTEW,Ireland(East-West),Autumn,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,455,-0.07650681524531482,-0.08118173081264156,7311.240373339913,2359.0603616666667,12158.771563333334,194.5563092473361,1.6500000000000008,459.09166666666675
INTEW,Ireland(East-West),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,455,0.07052906649255714,0.07355154133292832,8190.748890077996,2417.2430600000002,14117.641137509438,-150.57468147794236,-459.09166666666664,140.06666666666666
INTEW,Ireland(East-West),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,455,0.08049485136300567,0.1311500530806965,8190.748890077996,2417.2430600000002,14117.641137509438,43.981627769393725,0.0,177.33333333333334
INTEW,Ireland(East-West),Autumn,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,455,-0.053066523227818366,-0.06000445028537668,8190.748890077996,2417.2430600000002,14117.641137509438,194.5563092473361,1.6500000000000008,459.09166666666675
INTEW,Ireland(East-West),Spring,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,368,0.07598502381224971,0.061321625033746024,5976.249259824265,1823.2395295833335,10804.336834166666,-146.9519664637212,-462.54583333333335,26.237500000000022
INTEW,Ireland(East-West),Spring,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,368,0.21930281518310743,0.32607236666386596,5976.249259824265,1823.2395295833335,10804.336834166666,19.85676182563783,0.0,74.37916666666672
INTEW,Ireland(East-West),Spring,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,368,-0.02227912801672218,0.061433007717303145,5976.249259824265,1823.2395295833335,10804.336834166666,166.80872828935904,0.0,462.54583333333335
INTEW,Ireland(East-West),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,368,0.06836433895675326,0.05326014109282521,6471.388133615084,1850.1170662499999,12218.973320080444,-146.9519664637212,-462.54583333333335,26.237500000000022
