wind_metric,wind_metric_label,aggregation_level,interconnectorId,interconnectorName,low_wind_bucket,high_wind_bucket,low_observations,high_observations,low_mean_wind_mw,high_mean_wind_mw,low_mean_signed_mw,high_mean_signed_mw,low_median_signed_mw,high_median_signed_mw,low_mean_import_mw,high_mean_import_mw,low_mean_export_mw,high_mean_export_mw,low_net_gwh,high_net_gwh,low_import_half_hours,high_import_half_hours,low_export_half_hours,high_export_half_hours,low_near_zero_half_hours,high_near_zero_half_hours,low_import_share_pct,high_import_share_pct,low_export_share_pct,high_export_share_pct,low_near_zero_share_pct,high_near_zero_share_pct,mean_signed_mw_delta_low_minus_high,mean_signed_mw_delta_high_minus_low,mean_export_mw_delta_low_minus_high,export_share_pct_delta_low_minus_high,mean_import_mw_delta_low_minus_high,import_share_pct_delta_low_minus_high,low_wind_has_higher_export_share,low_wind_is_more_export_or_less_import_signed_mw
wind_actual_mw,Actual wind output,interconnector,INTELEC,Eleclink (INTELEC),lowest_20pct,highest_20pct,11353,13378,1729.5558353915264,12868.123311346988,393.93605214480755,278.49544027507847,738.0,263.0,546.1752840658856,426.19061145163704,152.23923192107813,147.69517117655852,2236.178,1862.856,7328,7838,2551,3212,1474,2328,64.54681581960715,58.588727761997305,22.469831762529726,24.00956794737629,12.98335241786312,17.4017042906264,115.44061186972908,-115.44061186972908,4.544060744519612,-1.5397361848465643,119.98467261424861,5.958088057609842,False,False
wind_actual_mw,Actual wind output,interconnector,INTEW,Ireland(East-West),lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,-159.89625763747455,-110.63628262253341,-42.0,0.0,31.686608961303463,52.812858052196056,191.582866598778,163.44914067472948,-1256.145,-869.048,2140,3631,8550,7688,5022,4391,13.620162932790226,23.112667091024825,54.41700610997964,48.93698281349459,31.962830957230143,27.950350095480587,-49.25997501494113,49.25997501494113,28.13372592404852,5.480023296485051,-21.126249090892593,-9.492504158234599,True,True
wind_actual_mw,Actual wind output,interconnector,INTFR,France(IFA),lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,835.0773930753564,398.59083386378103,1002.0,490.0,971.6796079429736,650.2611075747931,136.6022148676171,251.6702737110121,6560.368,3130.931,11720,9801,3374,5362,618,547,74.59266802443992,62.38701464035646,21.474032586558046,34.13112667091025,3.9332993890020367,3.4818586887332907,436.4865592115754,-436.4865592115754,-115.068058843395,-12.657094084352202,321.4185003681805,12.205653384083455,False,False
wind_actual_mw,Actual wind output,interconnector,INTGRNL,Ireland (Greenlink),lowest_20pct,highest_20pct,2314,3830,1812.2626472774418,13079.99591065274,-427.1123595505618,-273.20313315926893,-514.0,-462.0,7.296456352636128,55.61618798955614,434.40881590319793,328.81932114882505,-494.169,-523.184,144,822,2155,2987,15,21,6.222990492653413,21.462140992167104,93.12878133102852,77.98955613577023,0.648228176318064,0.5483028720626633,-153.90922639129286,153.90922639129286,105.58949475437288,15.139225195258291,-48.31973163692001,-15.239150499513691,True,True
wind_actual_mw,Actual wind output,interconnector,INTIFA2,IFA2 (INTIFA2),lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,409.24541751527494,128.12132399745386,715.0,-2.0,555.2516547861508,337.8599618077657,146.00623727087577,209.7386378103119,3215.032,1006.393,10671,7515,5029,8178,12,17,67.91624236252545,47.83577339274348,32.00738289205703,52.056015276893696,0.07637474541751527,0.10821133036282624,281.12409351782105,-281.12409351782105,-63.73240053943613,-20.048632384836665,217.39169297838504,20.080468969781975,False,False
wind_actual_mw,Actual wind output,interconnector,INTIRL,Northern Ireland(Moyle),lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,-205.69551934826885,-121.3973265436028,-278.0,-177.0,39.079938900203665,78.831190324634,244.77545824847252,200.2285168682368,-1615.944,-953.576,3348,5267,11377,9890,987,553,21.308553971486763,33.52641629535328,72.4096232179226,62.95353278166773,6.281822810590631,3.520050922978994,-84.29819280466604,84.29819280466604,44.54694138023572,9.456090436254868,-39.75125142443033,-12.217862323866516,True,True
wind_actual_mw,Actual wind output,interconnector,INTNED,Netherlands(BritNed),lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,362.3075356415479,139.60407383831955,561.0,104.0,515.8570519348269,379.9451304901337,153.54951629327903,240.34105665181414,2846.288,1096.59,10516,8265,3770,5662,1426,1783,66.92973523421588,52.60980267345639,23.99439918533605,36.04073838319542,9.075865580448065,11.349458943348186,222.70346180322832,-222.70346180322832,-86.79154035853512,-12.046339197859368,135.91192144469323,14.31993256075949,False,False
wind_actual_mw,Actual wind output,interconnector,INTNEM,Belgium (Nemolink),lowest_20pct,highest_20pct,15712,15710,1651.282397352342,12713.216694793125,467.4784877800407,229.56575429662635,740.0,348.0,588.0400967413442,434.68669637173775,120.56160896130346,205.1209420751114,3672.511,1803.239,12084,9818,3383,5459,245,433,76.90936863543789,62.49522597071929,21.531313645621182,34.748567791215784,1.5593177189409368,2.7562062380649266,237.91273348341437,-237.91273348341437,-84.55933311380794,-13.217254145594602,153.35340036960645,14.414142664718597,False,False
wind_actual_mw,Actual wind output,interconnector,INTNSL,North Sea Link (INTNSL),lowest_20pct,highest_20pct,13349,15653,1701.0301875196644,12717.831889554718,971.6964566634205,581.1271960646521,1298.0,740.0,1013.2540265188404,738.2418705679422,41.557569855419885,157.1146745032901,6485.588000000001,4548.192,11893,11643,1333,3604,123,406,89.09281594126901,74.3819076215422,9.985766724099184,23.024340382035394,0.9214173346318075,2.593751996422411,390.5692605987683,-390.5692605987683,-115.55710464787022,-13.03857365793621,275.0121559508982,14.710908319726812,False,False
wind_actual_mw,Actual wind output,interconnector,INTVKL,Denmark (Viking link),lowest_20pct,highest_20pct,5535,8090,1770.1069489792233,12861.887769270705,456.9192411924119,356.53325092707047,698.0,536.0,600.7342366757001,585.2474660074166,143.81499548328816,228.7142150803461,1264.524,1442.177,3898,5029,1312,2613,325,448,70.4245709123758,62.163164400494445,23.703703703703706,32.29913473423981,5.871725383920506,5.53770086526576,100.38599026534143,-100.38599026534143,-84.89921959705794,-8.595431030536101,15.486770668283498,8.261406511881354,False,False
