wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,observations,mean_wind_mw,min_wind_mw,max_wind_mw,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct
wind_actual_mw,Actual wind output,Winter,INTELEC,Eleclink (INTELEC),lowest_20pct,1150,1832.8721794782612,-114.5882,2830.094000000002,347.1495652173913,0.0,393.9669565217391,46.81739130434783,199.611,565,113,472,49.130434782608695,9.826086956521738,41.04347826086956
wind_actual_mw,Actual wind output,Winter,INTELEC,Eleclink (INTELEC),20_40pct,1551,3946.892093230174,2831.684799999998,5018.455600000001,357.9097356544165,252.0,423.2301740812379,65.32043842682141,277.559,958,253,340,61.766602192134116,16.312056737588655,21.92134107027724
wind_actual_mw,Actual wind output,Winter,INTELEC,Eleclink (INTELEC),40_60pct,2483,6339.9454016915015,5019.123599999999,7611.486599999997,372.1409585179219,416.0,464.9206604913411,92.77970197341925,462.013,1595,441,447,64.23681031010874,17.760773258155456,18.002416431735803
wind_actual_mw,Actual wind output,Winter,INTELEC,Eleclink (INTELEC),60_80pct,3549,9170.608061932939,7612.539400000001,10784.247799999996,339.6263736263736,298.0,438.1375035221189,98.51112989574528,602.667,2158,716,675,60.8058608058608,20.174697097774022,19.019442096365175
wind_actual_mw,Actual wind output,Winter,INTELEC,Eleclink (INTELEC),highest_20pct,5762,13176.568778444986,10784.7864,17142.889999999996,317.4366539396043,187.0,407.32662270045125,89.88996876084693,914.535,3295,1149,1318,57.18500520652551,19.940992710864283,22.874002082610204
wind_actual_mw,Actual wind output,Winter,INTEW,Ireland(East-West),lowest_20pct,1613,1735.6276704277745,-114.5882,2830.094000000002,-98.86174829510229,-22.0,89.74953502789833,188.6112833230006,-79.732,492,839,282,30.502169869807812,52.01487910725356,17.48295102293862
wind_actual_mw,Actual wind output,Winter,INTEW,Ireland(East-West),20_40pct,2039,3987.7803210397255,2831.1780000000003,5018.455600000001,-87.95291809710642,0.0,70.35115252574792,158.30407062285434,-89.668,561,956,522,27.513487003433056,46.885728298185384,25.600784698381563
wind_actual_mw,Actual wind output,Winter,INTEW,Ireland(East-West),40_60pct,3342,6316.508016277678,5019.123599999999,7611.486599999997,-78.89108318372232,0.0,63.48234590065829,142.3734290843806,-131.827,893,1538,911,26.720526630760023,46.02034709754638,27.259126271693596
wind_actual_mw,Actual wind output,Winter,INTEW,Ireland(East-West),60_80pct,4655,9250.68988481203,7612.539400000001,10784.568000000005,-113.85692803437165,-8.0,58.61825993555317,172.4751879699248,-265.002,1076,2405,1174,23.114930182599355,51.66487647690655,25.22019334049409
wind_actual_mw,Actual wind output,Winter,INTEW,Ireland(East-West),highest_20pct,7150,12936.35920718881,10784.7864,17142.889999999996,-71.42769230769231,0.0,64.56475524475525,135.99244755244754,-255.354,1983,3183,1984,27.734265734265733,44.51748251748251,27.74825174825175
wind_actual_mw,Actual wind output,Winter,INTFR,France(IFA),lowest_20pct,1613,1735.6276704277745,-114.5882,2830.094000000002,885.8214507129572,996.0,994.1078735275884,108.28642281463112,714.415,1277,332,4,79.1692498450093,20.582765034097957,0.24798512089274644
wind_actual_mw,Actual wind output,Winter,INTFR,France(IFA),20_40pct,2039,3987.7803210397255,2831.1780000000003,5018.455600000001,703.8675821481119,858.0,843.2388425698872,139.3712604217754,717.593,1510,523,6,74.05590975968612,25.649828347229032,0.2942618930848455
wind_actual_mw,Actual wind output,Winter,INTFR,France(IFA),40_60pct,3342,6316.508016277678,5019.123599999999,7611.486599999997,642.2423698384201,745.0,820.5691202872531,178.32675044883302,1073.187,2371,962,9,70.94554159186116,28.785158587672054,0.26929982046678635
