interconnectorId,interconnectorName,date,observations,signed_mw,import_mw,export_mw,import_gwh,export_gwh,net_gwh,wind_actual_mw,wind_before_curtailment_mw,wind_curtailment_proxy_mw,startTime,year,month,month_name,calendar_month,day_of_week,day_name,hour_utc,season,season_year,direction_state
INTELEC,Eleclink (INTELEC),2022-05-24 00:00:00+00:00,2,0.0,0.0,0.0,0.0,0.0,0.0,4089.3840000000014,4089.4090000000015,0.024999999999863576,2022-05-24 00:00:00+00:00,2022,5,May,2022-05,1,Tuesday,0.0,Spring,2022,near_zero
INTELEC,Eleclink (INTELEC),2022-05-25 00:00:00+00:00,48,-467.375,0.0,467.375,0.0,11.217,-11.217,11284.482833333333,11683.1945,398.7116666666669,2022-05-25 00:00:00+00:00,2022,5,May,2022-05,2,Wednesday,0.0,Spring,2022,export
INTELEC,Eleclink (INTELEC),2022-05-26 00:00:00+00:00,48,-782.5833333333334,0.0,782.5833333333334,0.0,18.782,-18.782,11018.567333333332,12057.622458333333,1039.055125,2022-05-26 00:00:00+00:00,2022,5,May,2022-05,3,Thursday,0.0,Spring,2022,export
INTELEC,Eleclink (INTELEC),2022-05-27 00:00:00+00:00,48,-788.5416666666666,0.0,788.5416666666666,0.0,18.925,-18.925,10089.5355,10730.478291666668,640.9427916666666,2022-05-27 00:00:00+00:00,2022,5,May,2022-05,4,Friday,0.0,Spring,2022,export
INTELEC,Eleclink (INTELEC),2022-05-28 00:00:00+00:00,48,-514.0416666666666,18.125,532.1666666666666,0.435,12.772,-12.337,5516.844291666665,5529.639625,12.79533333333334,2022-05-28 00:00:00+00:00,2022,5,May,2022-05,5,Saturday,0.0,Spring,2022,export
INTELEC,Eleclink (INTELEC),2022-05-29 00:00:00+00:00,48,316.0833333333333,332.9166666666667,16.833333333333332,7.99,0.404,7.586,4317.0356249999995,4409.05325,92.01762500000014,2022-05-29 00:00:00+00:00,2022,5,May,2022-05,6,Sunday,0.0,Spring,2022,import
INTELEC,Eleclink (INTELEC),2022-05-30 00:00:00+00:00,48,-284.3333333333333,0.6666666666666666,285.0,0.016,6.84,-6.824,1574.1383333333333,1574.1383333333333,0.0,2022-05-30 00:00:00+00:00,2022,5,May,2022-05,0,Monday,0.0,Spring,2022,export
INTELEC,Eleclink (INTELEC),2022-05-31 00:00:00+00:00,48,-492.5416666666667,0.0,492.5416666666667,0.0,11.821,-11.821,1779.8834583333335,1779.8834583333335,0.0,2022-05-31 00:00:00+00:00,2022,5,May,2022-05,1,Tuesday,0.0,Spring,2022,export
INTELEC,Eleclink (INTELEC),2022-06-01 00:00:00+00:00,48,-489.7916666666667,0.0,489.7916666666667,0.0,11.755,-11.755,661.995625,661.995625,0.0,2022-06-01 00:00:00+00:00,2022,6,June,2022-06,2,Wednesday,0.0,Summer,2022,export
INTELEC,Eleclink (INTELEC),2022-06-02 00:00:00+00:00,48,-856.875,0.0,856.875,0.0,20.565,-20.565,865.7025416666667,865.7025416666667,0.0,2022-06-02 00:00:00+00:00,2022,6,June,2022-06,3,Thursday,0.0,Summer,2022,export
