interconnectorId,interconnectorName,month,month_name,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTELEC,Eleclink (INTELEC),1,January,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,93,0.08754359996237873,0.0968218002706437,8937.444468503583,4251.655975833333,13293.152530833335,260.6505376344086,-323.1999999999998,900.3
INTELEC,Eleclink (INTELEC),1,January,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,93,0.1874717798749016,0.1903007202435437,8937.444468503583,4251.655975833333,13293.152530833335,353.35887096774195,0.0,900.3
INTELEC,Eleclink (INTELEC),1,January,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,93,0.15818122930694276,0.23471773165571652,8937.444468503583,4251.655975833333,13293.152530833335,92.70833333333333,0.0,340.54999999999984
INTELEC,Eleclink (INTELEC),1,January,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,93,0.06696687942928373,0.06813104381481697,9547.340059614511,4307.217508425924,14523.325010282428,260.6505376344086,-323.1999999999998,900.3
INTELEC,Eleclink (INTELEC),1,January,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,93,0.14694007093419506,0.1289628571513459,9547.340059614511,4307.217508425924,14523.325010282428,353.35887096774195,0.0,900.3
INTELEC,Eleclink (INTELEC),1,January,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,93,0.1281399549645682,0.20229220194868727,9547.340059614511,4307.217508425924,14523.325010282428,92.70833333333333,0.0,340.54999999999984
INTELEC,Eleclink (INTELEC),2,February,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,85,-0.29173941841273954,-0.2813367207348056,8577.081802058823,3886.159786666667,12998.798568333337,466.45784313725477,-16.358333333333327,971.3083333333334
INTELEC,Eleclink (INTELEC),2,February,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,85,-0.23651580281524562,-0.22881041259817136,8577.081802058823,3886.159786666667,12998.798568333337,528.2254901960785,71.25833333333334,971.3083333333334
INTELEC,Eleclink (INTELEC),2,February,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,85,0.3614186950180163,0.39917502895755563,8577.081802058823,3886.159786666667,12998.798568333337,61.76764705882354,0.0,244.9000000000002
INTELEC,Eleclink (INTELEC),2,February,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,85,-0.29641845372419595,-0.29785030291186243,9564.538208962624,4054.6535036110827,15292.79874873509,466.45784313725477,-16.358333333333327,971.3083333333334
INTELEC,Eleclink (INTELEC),2,February,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,85,-0.2426242672765899,-0.2488029862305534,9564.538208962624,4054.6535036110827,15292.79874873509,528.2254901960785,71.25833333333334,971.3083333333334
INTELEC,Eleclink (INTELEC),2,February,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,85,0.35975523850446245,0.3909019199029765,9564.538208962624,4054.6535036110827,15292.79874873509,61.76764705882354,0.0,244.9000000000002
INTELEC,Eleclink (INTELEC),3,March,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,93,0.04833442422844618,-0.16488738688790203,7348.329228897851,3440.482100833334,11913.507748333335,738.9870071684588,329.8583333333334,993.3583333333333
INTELEC,Eleclink (INTELEC),3,March,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,93,0.009078952854913672,-0.16042613191735794,7348.329228897851,3440.482100833334,11913.507748333335,778.8042114695342,409.0,993.3583333333333
INTELEC,Eleclink (INTELEC),3,March,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,93,-0.1253294329210186,0.030571844417741786,7348.329228897851,3440.482100833334,11913.507748333335,39.81720430107527,0.0,90.68333333333332
INTELEC,Eleclink (INTELEC),3,March,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,93,0.038689167461595536,-0.20038345904483978,8104.051946728247,3440.4388341666668,13437.420204120337,738.9870071684588,329.8583333333334,993.3583333333333
INTELEC,Eleclink (INTELEC),3,March,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,93,-0.012892883766805845,-0.19787680073363104,8104.051946728247,3440.4388341666668,13437.420204120337,778.8042114695342,409.0,993.3583333333333
INTELEC,Eleclink (INTELEC),3,March,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,93,-0.14388860345879398,0.0493714618551068,8104.051946728247,3440.4388341666668,13437.420204120337,39.81720430107527,0.0,90.68333333333332
INTELEC,Eleclink (INTELEC),4,April,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,90,-0.08034577074590597,-0.17069616991655095,6275.2183269867155,2250.8371337500002,10858.940106666667,749.1805354267309,137.81250000000003,996.0458333333333
INTELEC,Eleclink (INTELEC),4,April,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,90,-0.06697197303192658,-0.15732760413990748,6275.2183269867155,2250.8371337500002,10858.940106666667,781.1268317230274,269.075,996.0458333333333
INTELEC,Eleclink (INTELEC),4,April,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,90,0.11550389435153324,0.14411277703557437,6275.2183269867155,2250.8371337500002,10858.940106666667,31.946296296296296,0.0,112.50416666666679
INTELEC,Eleclink (INTELEC),4,April,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,90,-0.09467790392354232,-0.19027980167925712,6888.7052982013765,2321.3156204479264,12557.316250921866,749.1805354267309,137.81250000000003,996.0458333333333
INTELEC,Eleclink (INTELEC),4,April,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,90,-0.07879229402915135,-0.17432642700244982,6888.7052982013765,2321.3156204479264,12557.316250921866,781.1268317230274,269.075,996.0458333333333
INTELEC,Eleclink (INTELEC),4,April,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,90,0.1365813330362235,0.1638118599175794,6888.7052982013765,2321.3156204479264,12557.316250921866,31.946296296296296,0.0,112.50416666666679
INTELEC,Eleclink (INTELEC),5,May,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,101,-0.42579662317033046,-0.3330947340753685,4834.573299628712,1779.8834583333335,8773.887391666665,655.6142739273927,0.0,996.5416666666666
INTELEC,Eleclink (INTELEC),5,May,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,101,-0.4119471149224347,-0.34140070489982605,4834.573299628712,1779.8834583333335,8773.887391666665,690.8490099009902,0.0,996.5416666666666
INTELEC,Eleclink (INTELEC),5,May,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,101,0.27395147861568914,0.23245909313224877,4834.573299628712,1779.8834583333335,8773.887391666665,35.23473597359736,0.0,12.166666666666666
