wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,wind_bucket_observations,direction_observations,direction_share_pct,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,old_summary_mean_level_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_wind_mw,min_wind_mw,max_wind_mw,mean_level_mw,median_level_mw,min_level_mw,max_level_mw,mode_bin_lower_mw,mode_bin_upper_mw,most_probable_level_mw,mode_bin_count,mode_bin_probability_pct,mode_pdf_density_per_mw
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15712,12931,82.30015274949083,2916.7809317718943,3684.0,3311.9643584521386,395.1834266802444,3311.9643584521386,22914.231,12931,2776,5,82.30015274949083,17.668024439918533,0.03182281059063136,1651.2823973523425,-115.2388,2830.466,4024.2505606681616,4056.0,2.0,9148.0,3700.0,3800.0,3750.0,424.0,3.2789420771788724,0.00032789420771788723
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15712,2776,17.668024439918533,2916.7809317718943,3684.0,3311.9643584521386,395.1834266802444,395.1834266802444,22914.231,12931,2776,5,82.30015274949083,17.668024439918533,0.03182281059063136,1651.2823973523425,-115.2388,2830.466,2236.715417867435,1985.0,2.0,6350.0,200.0,300.0,250.0,102.0,3.674351585014409,0.0003674351585014409
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,20_40pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15705,12895,82.10760904170647,2856.055651066539,3472.0,3261.1628143903217,405.10716332378223,3261.1628143903217,22427.177,12895,2806,4,82.10760904170647,17.86692136262337,0.025469595670168738,3893.593370518943,2830.6159999999995,5018.745599999998,3971.815587436991,4066.0,2.0,9230.0,4400.0,4500.0,4450.0,270.0,2.093834819697557,0.00020938348196975572
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15705,2806,17.86692136262337,2856.055651066539,3472.0,3261.1628143903217,405.10716332378223,405.10716332378223,22427.177,12895,2806,4,82.10760904170647,17.86692136262337,0.025469595670168738,3893.593370518943,2830.6159999999995,5018.745599999998,2267.35851746258,2075.0,8.0,6584.0,1100.0,1200.0,1150.0,82.0,2.9223093371347115,0.00029223093371347116
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,40_60pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15712,12487,79.47428716904277,2475.2856415478614,3014.0,2956.9727596741345,481.68711812627294,2956.9727596741345,19445.844,12487,3222,3,79.47428716904277,20.50661914460285,0.019093686354378817,6261.010603245926,5018.818,7611.486599999997,3720.665972611516,3766.0,2.0,9026.0,4200.0,4300.0,4250.0,272.0,2.1782653960118523,0.00021782653960118522
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15712,3222,20.50661914460285,2475.2856415478614,3014.0,2956.9727596741345,481.68711812627294,481.68711812627294,19445.844,12487,3222,3,79.47428716904277,20.50661914460285,0.019093686354378817,6261.010603245926,5018.818,7611.486599999997,2348.934823091248,2172.0,2.0,6774.0,200.0,300.0,250.0,101.0,3.134698944754811,0.0003134698944754811
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,60_80pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15705,11900,75.772047118752,2032.4971665074818,2294.0,2540.4933460681314,507.99617956064947,2540.4933460681314,15960.184,11900,3804,1,75.772047118752,24.221585482330468,0.006367398917542184,9147.22514184018,7611.787199999998,10784.568000000005,3352.810756302521,3280.0,2.0,8832.0,2700.0,2800.0,2750.0,219.0,1.8403361344537814,0.00018403361344537816
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15705,3804,24.221585482330468,2032.4971665074818,2294.0,2540.4933460681314,507.99617956064947,507.99617956064947,15960.184,11900,3804,1,75.772047118752,24.221585482330468,0.006367398917542184,9147.22514184018,7611.787199999998,10784.568000000005,2097.287066246057,1685.0,2.0,6302.0,100.0,200.0,150.0,156.0,4.100946372239748,0.00041009463722397477
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,highest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,15710,10810,68.80967536600892,1597.0171865054106,1801.0,2300.727943984723,703.7107574793125,2300.727943984723,12544.57,10810,4894,6,68.80967536600892,31.152132399745387,0.03819223424570337,12713.216694793125,10784.598000000004,17142.889999999996,3343.6111008325624,3180.0,2.0,8530.0,2000.0,2100.0,2050.0,225.0,2.0814061054579094,0.00020814061054579092
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,15710,4894,31.152132399745387,1597.0171865054106,1801.0,2300.727943984723,703.7107574793125,703.7107574793125,12544.57,10810,4894,6,68.80967536600892,31.152132399745387,0.03819223424570337,12713.216694793125,10784.598000000004,17142.889999999996,2258.948917041275,2046.0,2.0,7914.0,1100.0,1200.0,1150.0,152.0,3.1058438904781367,0.00031058438904781364
