analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,bin_width_mw,bin_lower_mw,bin_upper_mw,bin_midpoint_mw,bin_observations,direction_observations,probability,probability_pct,probability_density_per_mw,cumulative_probability,cumulative_probability_pct
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2100.0,2200.0,2150.0,202,15442,0.013081207097526228,1.3081207097526228,0.00013081207097526227,0.23351897422613652,23.35189742261365
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2200.0,2300.0,2250.0,198,15442,0.012822173293614817,1.2822173293614818,0.00012822173293614817,0.24634114751975134,24.634114751975133
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2300.0,2400.0,2350.0,196,15442,0.012692656391659111,1.2692656391659112,0.00012692656391659113,0.25903380391141045,25.903380391141045
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2400.0,2500.0,2450.0,198,15442,0.012822173293614817,1.2822173293614818,0.00012822173293614817,0.27185597720502525,27.185597720502525
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2500.0,2600.0,2550.0,201,15442,0.013016448646548374,1.3016448646548373,0.00013016448646548375,0.28487242585157363,28.487242585157365
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2600.0,2700.0,2650.0,220,15442,0.014246859215127574,1.4246859215127574,0.00014246859215127575,0.2991192850667012,29.911928506670122
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2700.0,2800.0,2750.0,212,15442,0.013728791607304754,1.3728791607304753,0.00013728791607304754,0.31284807667400594,31.284807667400592
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2800.0,2900.0,2850.0,240,15442,0.015542028234684627,1.5542028234684626,0.00015542028234684626,0.3283901049086906,32.83901049086906
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,2900.0,3000.0,2950.0,217,15442,0.014052583862194016,1.4052583862194017,0.00014052583862194016,0.3424426887708846,34.24426887708846
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3000.0,3100.0,3050.0,275,15442,0.01780857401890947,1.7808574018909469,0.0001780857401890947,0.3602512627897941,36.02512627897941
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3100.0,3200.0,3150.0,206,15442,0.013340240901437638,1.3340240901437639,0.00013340240901437637,0.37359150369123173,37.35915036912317
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3200.0,3300.0,3250.0,179,15442,0.011591762725035617,1.1591762725035617,0.00011591762725035617,0.3851832664162673,38.51832664162673
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3300.0,3400.0,3350.0,230,15442,0.0148944437249061,1.4894443724906101,0.00014894443724906102,0.40007771014117344,40.007771014117345
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3400.0,3500.0,3450.0,208,15442,0.013469757803393342,1.3469757803393343,0.0001346975780339334,0.41354746794456676,41.35474679445667
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3500.0,3600.0,3550.0,192,15442,0.012433622587747701,1.2433622587747701,0.00012433622587747702,0.4259810905323145,42.59810905323145
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3600.0,3700.0,3650.0,224,15442,0.014505893019038985,1.4505893019038985,0.00014505893019038985,0.44048698355135346,44.04869835513534
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3700.0,3800.0,3750.0,209,15442,0.013534516254371196,1.3534516254371196,0.00013534516254371196,0.45402149980572465,45.40214998057247
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3800.0,3900.0,3850.0,240,15442,0.015542028234684627,1.5542028234684626,0.00015542028234684626,0.4695635280404093,46.95635280404093
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,3900.0,4000.0,3950.0,219,15442,0.014182100764149722,1.4182100764149723,0.00014182100764149723,0.483745628804559,48.374562880455905
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4000.0,4100.0,4050.0,229,15442,0.014829685273928247,1.4829685273928246,0.00014829685273928247,0.49857531407848726,49.857531407848725
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100.0,4100.0,4200.0,4150.0,292,15442,0.018909467685532963,1.8909467685532964,0.00018909467685532963,0.5174847817640202,51.748478176402024
