aggregation_level,interconnectorId,interconnectorName,first_timestamp,last_timestamp,operational_observations,operational_hours,import_observations,export_observations,near_zero_observations,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,mean_import_mw_all_half_hours,mean_export_mw_all_half_hours,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,mean_capacity_mw,mean_active_capacity_mw,mean_available_interconnector_count
fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,15442,2076,2,88.1392694063927,11.849315068493151,0.01141552511415525,3327.19200913242,3525.5602739726028,198.36826484018266,3999.98808444502,1674.0905587668594,9230.0,6746.0,12552.0,12511.002739726027,9.92054794520548
interconnector,INTELEC,Eleclink (INTELEC),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,13881,674,2965,79.22945205479452,3.8470319634703194,16.92351598173516,672.4077625570776,682.8909817351598,10.483219178082193,861.9155680426483,272.5014836795252,1102.0,1024.0,1102.0,,
interconnector,INTEW,Ireland(East-West),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,867,9627,7026,4.948630136986301,54.948630136986296,40.102739726027394,-192.41232876712328,7.170091324200913,199.5824200913242,144.89042675893887,363.21637062428584,504.0,588.0,588.0,,
interconnector,INTFR,France(IFA),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,16191,1312,17,92.41438356164383,7.488584474885844,0.09703196347031963,1179.870091324201,1216.3989726027398,36.52888127853881,1316.2442097461553,487.7942073170732,2548.0,2072.0,2548.0,,
interconnector,INTGRNL,Ireland (Greenlink),2025-01-30 00:00:00+00:00,2025-12-31 23:30:00+00:00,16128,8064.0,2124,13796,208,13.169642857142858,85.54067460317461,1.2896825396825395,-348.57886904761904,32.92943948412698,381.508308531746,250.04048964218455,445.9963757610902,506.0,516.0,516.0,,
interconnector,INTIFA2,IFA2 (INTIFA2),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,13922,3584,14,79.4634703196347,20.456621004566212,0.07990867579908677,651.886301369863,683.2127853881278,31.32648401826484,859.7822151989657,153.13616071428572,1156.0,1028.0,1156.0,,
interconnector,INTIRL,Northern Ireland(Moyle),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,1790,13791,1939,10.21689497716895,78.71575342465754,11.067351598173516,-255.00422374429223,16.176141552511414,271.18036529680364,158.32737430167597,344.50583714016386,400.0,592.0,592.0,,
interconnector,INTNED,Netherlands(BritNed),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,8278,7250,1992,47.24885844748859,41.381278538812786,11.36986301369863,50.19429223744292,332.26552511415525,282.0712328767123,703.2244503503262,681.639724137931,1080.0,1092.0,1092.0,,
interconnector,INTNEM,Belgium (Nemolink),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,10958,6181,381,62.545662100456624,35.279680365296805,2.1746575342465753,227.2570776255708,427.44794520547947,200.19086757990868,683.4174119364848,567.4395728846465,1020.0,1024.0,1024.0,,
interconnector,INTNSL,North Sea Link (INTNSL),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,15605,1372,543,89.06963470319634,7.831050228310503,3.099315068493151,1023.4210045662101,1077.0114155251142,53.59041095890411,1209.1791092598526,684.332361516035,1420.0,1454.0,1454.0,,
interconnector,INTVKL,Denmark (Viking link),2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00,17520,8760.0,10609,6172,739,60.55365296803653,35.22831050228311,4.218036529680366,290.45559360730596,542.9811643835617,252.5255707762557,896.6943161466679,716.8256642903435,2480.0,1454.0,2480.0,,
