analysis_period,aggregation_level,interconnectorId,interconnectorName,direction,level_metric,percentile,percentile_label,level_mw,direction_observations,direction_duration_hours,direction_share_of_operational_half_hours_pct,operational_observations,first_timestamp,last_timestamp
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,85,P85,6320.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,90,P90,6690.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,95,P95,7182.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,import,import_mw_conditional_on_importing,100,P100,9230.0,15442,7721.0,88.1392694063927,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,0,P0,2.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,5,P5,6.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,10,P10,10.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,20,P20,46.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,30,P30,83.80000000000001,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,40,P40,106.39999999999998,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,50,P50,178.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,60,P60,250.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,70,P70,350.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,75,P75,405.5,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,85,P85,602.0999999999999,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,90,P90,716.8000000000002,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,95,P95,842.7,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),export,export_mw_positive_magnitude_conditional_on_exporting,100,P100,1024.0,674,337.0,3.8470319634703194,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,0,P0,2.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,5,P5,206.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,10,P10,416.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,20,P20,760.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,30,P30,946.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,40,P40,994.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,50,P50,996.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,60,P60,996.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,70,P70,996.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,75,P75,998.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,85,P85,998.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,90,P90,998.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
2025,interconnector,INTELEC,Eleclink (INTELEC),import,import_mw_conditional_on_importing,95,P95,1000.0,13881,6940.5,79.22945205479452,17520,2025-01-01 00:00:00+00:00,2025-12-31 23:30:00+00:00
