aggregation_level,interconnectorId,interconnectorName,first_timestamp,last_timestamp,operational_observations,operational_hours,import_observations,export_observations,near_zero_observations,import_share_pct,export_share_pct,near_zero_share_pct,mean_signed_mw,mean_import_mw_all_half_hours,mean_export_mw_all_half_hours,mean_import_mw_when_importing,mean_export_mw_when_exporting,max_import_mw,max_export_mw,mean_capacity_mw,mean_active_capacity_mw,mean_available_interconnector_count
fleet_total,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,96300,48150.0,76832,19444,24,79.78400830737279,20.191069574247145,0.024922118380062305,2491.8194600207685,2930.616323987539,438.7968639667705,3673.1876301541024,2173.2224850853736,9230.0,7914.0,14398.0,12074.106625129803,8.312336448598131
interconnector,INTELEC,Eleclink (INTELEC),2022-05-24 23:00:00+00:00,2026-06-30 22:30:00+00:00,71898,35949.0,49009,14038,8851,68.16462210353556,19.524882472391443,12.310495424072993,429.36657486995466,556.1979470917132,126.8313722217586,815.9627823460997,649.5884029063969,1260.0,1028.0,1260.0,,
interconnector,INTEW,Ireland(East-West),2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,96300,48150.0,17102,49912,29286,17.759086188992733,51.82969885773624,30.411214953271028,-139.45831775700935,41.455368639667704,180.91368639667706,233.43187931236113,349.0540952075653,504.0,588.0,588.0,,
interconnector,INTFR,France(IFA),2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,96300,48150.0,71786,21302,3212,74.54413291796469,22.120456905503634,3.3354101765316715,784.7569470404984,932.5014953271028,147.74454828660436,1250.9388181539575,667.9091165148812,2630.0,2072.0,2630.0,,
interconnector,INTGRNL,Ireland (Greenlink),2025-01-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,24814,12407.0,3487,20581,746,14.052550979285888,82.94108164745708,3.0063673732570324,-338.1699846860643,28.945353429515595,367.1153381155799,205.9793518784055,442.6218356736796,506.0,518.0,518.0,,
interconnector,INTIFA2,IFA2 (INTIFA2),2021-01-23 00:00:00+00:00,2026-06-30 22:30:00+00:00,95244,47622.0,59907,35268,69,62.89845029608164,37.02910419553987,0.07244550837848053,350.0865566334887,496.4876737642266,146.4011171307379,789.3480227686247,395.36769876375183,1398.0,1626.0,1626.0,,
interconnector,INTIRL,Northern Ireland(Moyle),2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,96300,48150.0,24916,66123,5261,25.87331256490135,68.66355140186916,5.463136033229491,-174.89040498442367,56.52519210799585,231.41559709241952,218.46909616310805,337.0282957518564,682.0,592.0,682.0,,
interconnector,INTNED,Netherlands(BritNed),2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,96300,48150.0,54531,27598,14171,56.626168224299064,28.658359293873314,14.715472481827621,231.50434060228451,420.1083904465213,188.60404984423676,741.8979662944014,658.1118196970795,1402.0,1094.0,1402.0,,
interconnector,INTNEM,Belgium (Nemolink),2021-01-01 00:00:00+00:00,2026-06-30 22:30:00+00:00,96300,48150.0,68726,25446,2128,71.36656282450676,26.423676012461062,2.209761163032191,372.2813499480789,521.3447975077881,149.06344755970923,730.5168931699793,564.1283502318636,1366.0,1044.0,1366.0,,
interconnector,INTNSL,North Sea Link (INTNSL),2021-10-01 23:00:00+00:00,2026-06-30 22:30:00+00:00,83152,41576.0,68260,12997,1895,82.09062920915913,15.63041177602463,2.27895901481624,798.1884019626708,898.1087646719261,99.92036270925534,1094.0454145912686,639.2689082095868,1846.0,1454.0,1846.0,,
interconnector,INTVKL,Denmark (Viking link),2023-12-30 00:00:00+00:00,2026-06-30 22:30:00+00:00,43870,21935.0,26921,13868,3081,61.365397766127195,31.61157966719854,7.023022566674266,326.4984271711876,548.462183724641,221.96375655345338,893.7645704097173,702.1596481107586,2480.0,1456.0,2480.0,,
