trend_case,trend_case_label,excluded_period,slope_mw_per_year,intercept_mw,r2,observations,fit_start_date,fit_end_date,fit_start_value_mw,fit_end_value_mw,fit_delta_mw
including_2022_trough,Including 2022 trough,,585.5506510683279,998.7161460112991,0.19105454659952925,1817,2021-07-10 00:00:00+00:00,2026-06-30 00:00:00+00:00,998.7161460112991,3910.037110665873,2911.320964654574
excluding_2022_trough,Excluding calendar-year 2022,2022-01-01 to 2022-12-31,117.80542967519783,2854.2352367302337,0.02820591562092789,1452,2021-07-10 00:00:00+00:00,2026-06-30 00:00:00+00:00,2854.2352367302337,3439.9564148004847,585.721178070251
