focal_interconnectorId,other_interconnectorId,focal_state,observations,other_import_share_pct,other_export_share_pct,other_near_zero_share_pct
INTELEC,INTEW,import,49009,7.545552857638393,63.47405578567202,28.980391356689587
INTELEC,INTEW,export,14038,39.585411027211855,35.418150733722754,24.996438239065395
INTELEC,INTFR,import,49009,95.60080801485441,4.097206635515926,0.3019853496296599
INTELEC,INTFR,export,14038,17.167687704801253,74.91807949850407,7.9142327966946855
INTELEC,INTGRNL,import,22317,13.061791459425551,84.06147779719497,2.876730743379486
INTELEC,INTGRNL,export,888,39.414414414414416,55.968468468468465,4.617117117117117
INTELEC,INTIFA2,import,49009,79.25279030382175,20.71048174825032,0.0367279479279316
INTELEC,INTIFA2,export,14038,10.186636272973358,89.69226385525003,0.12109987177660636
INTELEC,INTIRL,import,49009,12.542594217388642,80.94839723316124,6.509008549450101
INTELEC,INTIRL,export,14038,45.26285795697393,44.8924348197749,9.844707223251175
INTELEC,INTNED,import,49009,58.383154114550386,32.77969352567895,8.837152359770654
INTELEC,INTNED,export,14038,43.39649522724035,50.00712352186921,6.59638125089044
INTELEC,INTNEM,import,49009,74.29859821665409,23.818074231263644,1.8833275520822705
INTELEC,INTNEM,export,14038,32.932041601367715,61.333523293916514,5.734435104715772
INTELEC,INTNSL,import,49009,86.2372217347834,11.428513130241384,2.3342651349752086
INTELEC,INTNSL,export,14038,63.769767773187056,35.27568029633851,0.9545519304744265
INTELEC,INTVKL,import,34511,59.89394685752368,33.070615166178904,7.035437976297413
INTELEC,INTVKL,export,1881,53.48219032429559,43.16852737905369,3.349282296650718
INTEW,INTELEC,import,10440,35.421455938697314,53.227969348659,11.350574712643677
INTEW,INTELEC,export,41721,74.5619711895688,11.917259893099398,13.520768917331798
INTEW,INTFR,import,14774,42.168674698795186,50.954379315012865,6.876945986191958
INTEW,INTFR,export,46302,84.14971275538853,13.621441838365515,2.2288454062459504
INTEW,INTGRNL,import,1272,73.74213836477988,19.18238993710692,7.0754716981132075
INTEW,INTGRNL,export,12923,2.8398978565348605,93.80948696123191,3.3506151822332275
INTEW,INTIFA2,import,14774,37.76905374306214,62.1429538378232,0.0879924191146609
INTEW,INTIFA2,export,46302,68.99270009934776,30.955466286553495,0.05183361409874304
INTEW,INTIRL,import,14774,84.43211046432923,8.305130634899147,7.262758900771626
INTEW,INTIRL,export,46302,2.211567534879703,94.63738067470088,3.15105179041942
INTEW,INTNED,import,14774,53.55354000270746,39.14308921077569,7.303370786516854
INTEW,INTNED,export,46302,61.59993088851453,26.957798799187938,11.442270312297525
INTEW,INTNEM,import,14774,53.37755516447814,43.96913496683363,2.653309868688236
INTEW,INTNEM,export,46302,75.67059738240249,22.14591162368796,2.18349099390955
INTEW,INTNSL,import,14259,72.02468616312504,26.411389297987238,1.56392453888772
INTEW,INTNSL,export,43891,86.46191702171288,10.737964502973275,2.8001184753138455
INTEW,INTVKL,import,2877,52.971845672575604,39.694125825512685,7.334028501911713
INTEW,INTVKL,export,27572,64.84477005657914,28.503554330480195,6.6516756129406645
INTFR,INTELEC,import,56034,83.61530499339686,4.300960131348823,12.08373487525431
INTFR,INTELEC,export,14407,13.937669188588881,72.99923648226556,13.063094329145555
INTFR,INTEW,import,63643,9.788979149317285,61.22118693336266,28.989833917320052
INTFR,INTEW,export,20761,36.260295746833,30.379076152401137,33.36062810076586
INTFR,INTGRNL,import,23399,12.919355528014018,84.2087268686696,2.871917603316381
INTFR,INTGRNL,export,1392,32.974137931034484,61.853448275862064,5.172413793103448
INTFR,INTIFA2,import,63643,79.40700469808148,20.539572301745675,0.05342300017283912
INTFR,INTIFA2,export,20761,8.910938779442223,90.98791002360194,0.10115119695583064
INTFR,INTIRL,import,63643,15.561805697405843,78.7156482252565,5.7225460773376495
INTFR,INTIRL,export,20761,49.10168103655893,43.4661143490198,7.43220461442127
INTFR,INTNED,import,63643,62.22679634838081,28.17434753232877,9.598856119290417
INTFR,INTNED,export,20761,50.0650257694716,41.785077790087186,8.149896440441212
INTFR,INTNEM,import,63643,77.79960089876342,20.481435507439937,1.718963593796647
INTFR,INTNEM,export,20761,42.223399643562445,54.77578151341458,3.0008188430229756
INTFR,INTNSL,import,60009,87.75017080771218,9.481911046676332,2.7679181456114916
INTFR,INTNSL,export,20746,67.23705774607153,31.75551913621903,1.007423117709438
INTFR,INTVKL,import,40680,62.018190757128814,30.835791543756148,7.146017699115044
INTFR,INTVKL,export,3148,52.827191867852605,41.7725540025413,5.400254129606099
INTGRNL,INTELEC,import,3487,83.59621451104101,10.037281330656725,6.366504158302265
INTGRNL,INTELEC,export,20581,91.15203342889072,2.4148486468101646,6.43311792429911
INTGRNL,INTEW,import,3487,26.89991396616002,10.524806423860051,62.57527960997993
INTGRNL,INTEW,export,20581,1.185559496623099,58.90384335066323,39.91059715271367
INTGRNL,INTFR,import,3487,86.69343275021508,13.163177516489819,0.14338973329509608
INTGRNL,INTFR,export,20581,95.73878820271123,4.1834701909528205,0.07774160633594092
INTGRNL,INTIFA2,import,3487,73.7310008603384,26.154287353025524,0.11471178663607685
INTGRNL,INTIFA2,export,20581,84.03381759875613,15.917593897283902,0.04858850395996307
INTGRNL,INTIRL,import,3487,62.718669343275025,12.962431889876685,24.318898766848292
INTGRNL,INTIRL,export,20581,1.311889606919003,88.39706525436083,10.291045138720179
INTGRNL,INTNED,import,3487,32.86492687123602,60.39575566389447,6.739317464869515
INTGRNL,INTNED,export,20581,55.56095427821778,38.681308002526606,5.7577377192556245
INTGRNL,INTNEM,import,3487,44.07800401491253,53.85718382563809,2.0648121594493833
INTGRNL,INTNEM,export,20581,68.34458967008405,30.076283951217142,1.5791263786988
INTGRNL,INTNSL,import,3487,68.62632635503299,29.108115858904505,2.265557786062518
INTGRNL,INTNSL,export,20581,82.83368155094504,14.863223361352704,2.30309508770225
INTGRNL,INTVKL,import,3487,48.12159449383424,49.125322626899916,2.7530828792658446
INTGRNL,INTVKL,export,20581,59.588941256498714,34.07511782712211,6.335940916379185
INTIFA2,INTELEC,import,44966,86.37859716230041,3.1801805808833343,10.44122225681626
INTIFA2,INTELEC,export,26880,37.76041666666667,46.841517857142854,15.398065476190476
INTIFA2,INTEW,import,54107,10.312898515903672,59.04041990869943,30.6466815753969
INTIFA2,INTEW,export,33440,27.45514354066986,42.86184210526316,29.683014354066984
INTIFA2,INTFR,import,54107,93.40196277745947,3.419150941652651,3.17888628088787
INTIFA2,INTFR,export,33440,39.09090909090909,56.48923444976076,4.419856459330144
INTIFA2,INTGRNL,import,20447,12.573971731794394,84.58453562869859,2.841492639507018
INTIFA2,INTGRNL,export,4351,20.96069868995633,75.29303608365893,3.7462652263847396
INTIFA2,INTIRL,import,54107,16.284399430757574,77.78475982774872,5.930840741493707
INTIFA2,INTIRL,export,33440,37.86483253588517,56.05263157894736,6.082535885167465
INTIFA2,INTNED,import,54107,62.94194836157983,26.45868371929695,10.59936791912322
INTIFA2,INTNED,export,33440,53.244617224880386,39.34808612440192,7.4072966507177025
INTIFA2,INTNEM,import,54107,78.05459552368455,20.195168832128928,1.7502356441865194
INTIFA2,INTNEM,export,33440,53.70813397129187,42.84688995215311,3.4449760765550237
INTIFA2,INTNSL,import,49760,88.79019292604502,9.163987138263666,2.0458199356913185
INTIFA2,INTNSL,export,33328,72.10453672587614,25.306048967834855,2.5894143062890063
INTIFA2,INTVKL,import,31825,59.90259230164965,32.267085624509036,7.8303220738413195
INTIFA2,INTVKL,export,12022,65.23041091332557,29.886874064215608,4.882715022458826
INTIRL,INTELEC,import,14145,43.457051961823964,44.92046659597031,11.622481442205727
INTIRL,INTELEC,export,52802,75.13351766978523,11.935153971440476,12.931328358774289
INTIRL,INTEW,import,21488,58.05100521221147,4.7654504839910645,37.18354430379747
INTIRL,INTEW,export,60867,2.01587066883533,71.99139106576634,25.99273826539833
INTIRL,INTFR,import,21488,46.09084139985108,47.440431868950114,6.468726731198808
INTIRL,INTFR,export,60867,82.30568288235004,14.825767657351275,2.868549460298684
INTIRL,INTGRNL,import,2609,83.82522039095439,10.348792640858566,5.825986968187045
INTIRL,INTGRNL,export,19123,2.3636458714636825,95.13674632641323,2.499607802123098
INTIRL,INTIFA2,import,21488,41.00428145941921,58.9259121370067,0.06980640357408786
INTIRL,INTIFA2,export,60867,69.14584257479423,30.7950120755089,0.05914534969688008
INTIRL,INTNED,import,21488,54.29542069992554,38.077066269545796,7.627513030528667
INTIRL,INTNED,export,60867,61.77074605286938,27.860745559991457,10.368508387139173
INTIRL,INTNEM,import,21488,56.15692479523455,41.111317944899476,2.731757259865972
INTIRL,INTNEM,export,60867,74.55928499843922,23.125831731480112,2.3148832700806676
INTIRL,INTNSL,import,20541,72.66442724307483,25.641400126576112,1.694172630349058
INTIRL,INTNSL,export,57616,85.92752013329631,11.559289086364899,2.5131907803387947
INTIRL,INTVKL,import,5025,51.223880597014926,42.96517412935324,5.810945273631841
INTIRL,INTVKL,export,35498,63.3331455293256,29.145303960786524,7.521550509887881
INTNED,INTELEC,import,38771,73.80000515849476,15.712775012251425,10.487219829253824
INTNED,INTELEC,export,25575,62.815249266862175,27.44868035190616,9.736070381231672
INTNED,INTEW,import,51894,15.246463945735538,54.96203800053956,29.7914980537249
INTNED,INTEW,export,27494,21.033680075652867,45.39899614461337,33.56732377973376
INTNED,INTFR,import,51894,76.31518094577407,20.02929047674105,3.6555285774848727
INTNED,INTFR,export,27494,65.21786571615625,31.55233869207827,3.229795591765476
INTNED,INTGRNL,import,12868,8.905812869132733,88.86384830587504,2.230338824992229
INTNED,INTGRNL,export,10510,20.038058991436728,75.74690770694576,4.215033301617507
INTNED,INTIFA2,import,51894,65.62608394033992,34.31032489305122,0.06359116660885651
