interconnectorId,interconnectorName,trend_label,date,rolling_30d_mean_signed_mw,rolling_30d_mean_import_mw,rolling_30d_mean_export_mw,rolling_30d_import_share_pct,rolling_30d_export_share_pct
INTELEC,Eleclink (INTELEC),more_importing,2022-05-24 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-25 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-26 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-27 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-28 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-29 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-30 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-05-31 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-06-01 00:00:00+00:00,,,,,
INTELEC,Eleclink (INTELEC),more_importing,2022-06-02 00:00:00+00:00,-436.0,35.170833333333334,471.1708333333333,9.447004608294932,78.80184331797236
INTELEC,Eleclink (INTELEC),more_importing,2022-06-03 00:00:00+00:00,-478.2310606060606,31.97348484848485,510.20454545454544,8.506224066390043,80.91286307053942
INTELEC,Eleclink (INTELEC),more_importing,2022-06-04 00:00:00+00:00,-511.8541666666667,29.309027777777782,541.1631944444445,7.735849056603775,82.64150943396227
INTELEC,Eleclink (INTELEC),more_importing,2022-06-05 00:00:00+00:00,-509.0769230769231,30.32051282051282,539.3974358974359,8.477508650519033,82.69896193771626
INTELEC,Eleclink (INTELEC),more_importing,2022-06-06 00:00:00+00:00,-487.9702380952381,28.68154761904762,516.6517857142857,8.785942492012781,83.06709265175719
INTELEC,Eleclink (INTELEC),more_importing,2022-06-07 00:00:00+00:00,-485.9277777777778,26.769444444444446,512.6972222222222,8.160237388724036,83.82789317507418
INTELEC,Eleclink (INTELEC),more_importing,2022-06-08 00:00:00+00:00,-512.25,25.096354166666668,537.3463541666666,7.617728531855956,84.90304709141274
INTELEC,Eleclink (INTELEC),more_importing,2022-06-09 00:00:00+00:00,-535.0220588235294,23.620098039215687,558.6421568627451,7.142857142857144,85.84415584415585
INTELEC,Eleclink (INTELEC),more_importing,2022-06-10 00:00:00+00:00,-550.0300925925926,22.30787037037037,572.337962962963,6.723716381418093,86.67481662591688
INTELEC,Eleclink (INTELEC),more_importing,2022-06-11 00:00:00+00:00,-562.7478070175439,21.13377192982456,583.8815789473684,6.351039260969977,87.4133949191686
INTELEC,Eleclink (INTELEC),more_importing,2022-06-12 00:00:00+00:00,-563.0854166666667,20.077083333333334,583.1625,6.017505470459519,87.08971553610503
INTELEC,Eleclink (INTELEC),more_importing,2022-06-13 00:00:00+00:00,-564.8353174603175,19.121031746031747,583.9563492063493,5.717255717255719,86.38253638253637
INTELEC,Eleclink (INTELEC),more_importing,2022-06-14 00:00:00+00:00,-578.5018939393939,18.25189393939394,596.7537878787879,5.445544554455446,87.02970297029702
INTELEC,Eleclink (INTELEC),more_importing,2022-06-15 00:00:00+00:00,-592.3967391304348,17.458333333333336,609.8550724637681,5.198487712665407,87.61814744801512
INTELEC,Eleclink (INTELEC),more_importing,2022-06-16 00:00:00+00:00,-604.046875,16.73090277777778,620.7777777777777,4.9728752260397835,88.15551537070525
INTELEC,Eleclink (INTELEC),more_importing,2022-06-17 00:00:00+00:00,-611.7183333333334,16.061666666666667,627.78,4.766031195840555,88.64818024263431
INTELEC,Eleclink (INTELEC),more_importing,2022-06-18 00:00:00+00:00,-612.7339743589744,15.443910256410257,628.1778846153846,4.575707154742097,88.35274542429285
INTELEC,Eleclink (INTELEC),more_importing,2022-06-19 00:00:00+00:00,-611.0601851851852,14.871913580246915,625.9320987654321,4.4,87.68
INTELEC,Eleclink (INTELEC),more_importing,2022-06-20 00:00:00+00:00,-621.3571428571429,14.34077380952381,635.6979166666667,4.237288135593221,88.13559322033898
INTELEC,Eleclink (INTELEC),more_importing,2022-06-21 00:00:00+00:00,-630.6063218390805,13.846264367816092,644.4525862068965,4.0861812778603275,88.55869242199108
INTELEC,Eleclink (INTELEC),more_importing,2022-06-22 00:00:00+00:00,-639.8513888888889,13.384722222222223,653.2361111111111,3.9454806312769013,88.95265423242468
INTELEC,Eleclink (INTELEC),more_importing,2022-06-23 00:00:00+00:00,-669.8791666666667,13.384722222222223,683.2638888888889,3.8194444444444446,89.44444444444444
INTELEC,Eleclink (INTELEC),more_importing,2022-06-24 00:00:00+00:00,-683.2569444444445,13.384722222222223,696.6416666666667,3.8194444444444446,90.83333333333333
